Compound,CAS,smiles,Solvents normalized,Solvent count,Solvent system/raw phrase,Method notes,Extraction confidence,Review flags,Source context,record_id,compound_name_clean,smiles_status,smiles_canonical,inchi_key,largest_fragment_smiles,largest_fragment_inchikey,fragment_count,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_aromatic_rings,rdkit_ring_count,rdkit_fraction_csp3,formal_charge,morgan2_2048_num_onbits,morgan2_2048_onbits,fg_carboxylic_acid,fg_sulfonic_acid,fg_phosphonic_acid,fg_acid_any,fg_phenol,fg_alcohol,fg_amide,fg_urea,fg_imide,fg_ester,fg_anhydride,fg_acyl_halide,fg_aldehyde,fg_ketone,fg_amine_nonamide,fg_basic_aromatic_n,fg_nitro,fg_aromatic_halide,fg_acetal_like,fg_boc_carbamate_like,fg_quinone_like,entry_salt_or_ionic_flag,salt_terms_detected,derivative_terms_detected,primary_recryst_class,secondary_recryst_classes,nearest_neighbor_ready,solvent_list_clean,solvent_count_calc,solvent_families,has_water,has_alcohol,has_hydrocarbon,has_aromatic_hydrocarbon,has_ether,has_ketone_or_ester_solvent,has_halogenated_solvent,has_acidic_solvent,has_polar_aprotic_or_strong_solvent,has_legacy_solvent,legacy_solvents,modernized_solvent_suggestions,solvent_safety_classes,system_type_estimated,likely_pair_families,has_colon_ratio,colon_ratios_detected,has_percent_composition,percent_values_detected,has_aqueous_word,has_hot_or_reflux_word,has_charcoal_or_carbon,has_wash_word,has_additive_or_few_drops_word,has_acid_additive_hint,has_base_additive_hint,compatibility_warning_candidates,class_default_single_panel,class_default_pair_panel,recommendation_use_weight
"(��)-trans-1,2-Cyclohexanediol",1460-57-7,OC1CCCCC1O,acetone; ethyl acetate; carbon tetrachloride; benzene,4,Me2CO; CCl4 or EtOAc and it can be distilled.; *C6H6 or EtOAc.,,High,benzene legacy,Crystallise the diol from Me2CO and dry it at 50o for several days. | It can also be recrystallised from CCl4 or EtOAc and it can be distilled. | The enantiomers have been recrystallised from *C6H6 or EtOAc.,RC00506,"(��)-trans-1,2-Cyclohexanediol",valid,OC1CCCCC1O,PFURGBBHAOXLIO-UHFFFAOYSA-N,OC1CCCCC1O,PFURGBBHAOXLIO-UHFFFAOYSA-N,1,116.160,0.282,40.46,2,2,0,0,1,1.000,0,10,807 849 890 926 1019 1028 1041 1257 1304 1325,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,acetone; ethyl acetate; carbon tetrachloride; benzene,4,aromatic hydrocarbon; halogenated; ketone/ester,N,N,Y,Y,N,Y,Y,N,N,Y,carbon tetrachloride; benzene,acetone; ethyl acetate; heptane; cyclohexane; toluene; toluene/heptane,carbon tetrachloride:red_legacy; benzene:red_legacy,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"C8H12O4, M 172.2, m 191- 192o, 191-194o, pK 1 25 4.25, pK 2 25 6.74",2305-32-0,O=C(O)C1CCCCC1C(=O)O,ethanol; water,2,EtOH or H2O.,,High,,It is purified by recrystallisation from EtOH or H2O.,RC00507,"C8H12O4, M 172.2, m 191- 192o, 191-194o, pK 1 25 4.25, pK 2 25 6.74",valid,O=C(O)C1CCCCC1C(=O)O,QSAWQNUELGIYBC-UHFFFAOYSA-N,O=C(O)C1CCCCC1C(=O)O,QSAWQNUELGIYBC-UHFFFAOYSA-N,1,172.180,0.962,74.60,2,2,2,0,1,0.750,0,14,209 285 389 650 807 890 926 1019 1028 1235 1325 1431 1521 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Crystallise the cis-diol from ethyl acetate and acetone or distil it in a vacuum,5515-64-0,C1C[C@H](C[C@@H](C1)O)O,acetone; ethyl acetate,2,ethyl acetate or Me2CO.,,High,,Crystallise the trans-diol from ethyl acetate or Me2CO.,RC00508,Crystallise the cis-diol from ethyl acetate and acetone or distil it in a vacuum,valid,O[C@@H]1CCC[C@@H](O)C1,RLMGYIOTPQVQJR-PHDIDXHHSA-N,O[C@@H]1CCC[C@@H](O)C1,RLMGYIOTPQVQJR-PHDIDXHHSA-N,1,116.160,0.282,40.46,2,2,0,0,1,1.000,0,12,590 641 807 926 1019 1028 1050 1063 1257 1292 1325 1462,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,acetone; ethyl acetate,2,ketone/ester,N,N,N,N,N,Y,N,N,N,N,,acetone; ethyl acetate,,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"cis-1,3-Cyclohexanediol (hexahydroresorcinol)",823-18-7,OC1CCCC(O)C1,acetone; ethyl acetate,2,ethyl acetate and acetone or distil it in a vacuum.,,High,,Crystallise the cis-diol from ethyl acetate and acetone or distil it in a vacuum.,RC00509,"cis-1,3-Cyclohexanediol (hexahydroresorcinol)",valid,OC1CCCC(O)C1,RLMGYIOTPQVQJR-UHFFFAOYSA-N,OC1CCCC(O)C1,RLMGYIOTPQVQJR-UHFFFAOYSA-N,1,116.160,0.282,40.46,2,2,0,0,1,1.000,0,12,590 641 807 926 1019 1028 1050 1063 1257 1292 1325 1462,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,acetone; ethyl acetate,2,ketone/ester,N,N,N,N,N,Y,N,N,N,N,,acetone; ethyl acetate,,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"cis-Cyclohexane-1,2-dicarboxylic acid (cis-hexahydrophthalic acid)",610-09-3,O=C(O)C1CCCCC1C(=O)O,ethanol; water,2,EtOH or H2O.,,High,,"It is purified by recrystallisation from EtOH or H2O. [Smith & Byrne J Am Chem Soc 72 4406 1950, DOI: 10.1021/ja01166a019; Abell J Org Chem 22 769 1957, DOI: 10.1021/jo01358a012; Beilstein 9 III 3812, 9 IV 2801.] trans-Cyclohexane-1,2-dicarboxylic acid (trans- hexahydrophthalic acid)",RC00510,"cis-Cyclohexane-1,2-dicarboxylic acid (cis-hexahydrophthalic acid)",valid,O=C(O)C1CCCCC1C(=O)O,QSAWQNUELGIYBC-UHFFFAOYSA-N,O=C(O)C1CCCCC1C(=O)O,QSAWQNUELGIYBC-UHFFFAOYSA-N,1,172.180,0.962,74.60,2,2,2,0,1,0.750,0,14,209 285 389 650 807 890 926 1019 1028 1235 1325 1431 1521 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,N,N,N,N,Y,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
"cis-Cyclohexane-1,2-dicarboxylic anhydride (cis-hexahydrophthalic anhydride)","85-42-7, 13149-00-3",Oc1oc(O)c2c1CCCC2,diethyl ether; benzene,2,*C6H6/Et2O or distil it.,,High,benzene legacy,"Crystallise it from *C6H6/Et2O or distil it. [Kohler & Jansen J Am Chem Soc 60 2142 1938, DOI: 10.1021/ja01276a034; Abell J Org Chem 22 769 1957, DOI: 10.1021/jo01358a012; Beilstein 17 H 452, 17 III/IV 5931.] trans-Cyclohexane-1,2-dicarboxylic anhydride (trans-hexahydrophthalic anhydride)",RC00511,"cis-Cyclohexane-1,2-dicarboxylic anhydride (cis-hexahydrophthalic anhydride)",valid,Oc1oc(O)c2c1CCCC2,JVJJTXWOOYJWPQ-UHFFFAOYSA-N,Oc1oc(O)c2c1CCCC2,JVJJTXWOOYJWPQ-UHFFFAOYSA-N,1,154.165,1.570,53.60,2,3,0,1,2,0.500,0,15,310 361 656 807 926 1028 1100 1281 1380 1391 1478 1493 1602 1604 1738,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,phenol,Y,diethyl ether; benzene,2,aromatic hydrocarbon; ether,N,N,Y,Y,Y,N,N,N,N,Y,benzene,diethyl ether; toluene; toluene/heptane,benzene:red_legacy,explicit_mixed_or_pair_system,,N,,N,,N,N,N,N,Y,N,Y,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"trans-Cyclohexane-1,2-dicarboxylic anhydride (trans-hexahydrophthalic anhydride)",14166-21-3,C1CC[C@@H]2[C@@H](C1)C(=O)OC2=O,diethyl ether; benzene,2,*C6H6/Et2O.,,High,benzene legacy,Crystallise the anhydride from *C6H6/Et2O.,RC00512,"trans-Cyclohexane-1,2-dicarboxylic anhydride (trans-hexahydrophthalic anhydride)",valid,O=C1OC(=O)[C@@H]2CCCC[C@@H]12,MUTGBJKUEZFXGO-PHDIDXHHSA-N,O=C1OC(=O)[C@@H]2CCCC[C@@H]12,MUTGBJKUEZFXGO-PHDIDXHHSA-N,1,154.165,0.876,43.37,0,3,0,0,2,0.750,0,16,314 348 455 650 656 854 890 926 941 1019 1028 1325 1380 1447 1810 1852,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,ester; hydrolysis_sensitive,Y,diethyl ether; benzene,2,aromatic hydrocarbon; ether,N,N,Y,Y,Y,N,N,N,N,Y,benzene,diethyl ether; toluene; toluene/heptane,benzene:red_legacy,explicit_mixed_or_pair_system,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
"1,4-Cyclohexanedione monoethylene acetal (1,4-dioxa-spiro[4.5]decan-8-one)",4746-97-8,O=C1CCC2(CC1)OCCO2,petroleum ether,1,petroleum ether.,,High,,Recrystallise it from petroleum ether.,RC00513,"1,4-Cyclohexanedione monoethylene acetal (1,4-dioxa-spiro[4.5]decan-8-one)",valid,O=C1CCC2(CC1)OCCO2,VKRKCBWIVLSRBJ-UHFFFAOYSA-N,O=C1CCC2(CC1)OCCO2,VKRKCBWIVLSRBJ-UHFFFAOYSA-N,1,156.181,0.873,35.53,0,3,0,0,2,0.875,0,18,67 225 314 650 656 723 926 950 1017 1060 1128 1162 1380 1657 1686 1712 1738 1745,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,,,ester_lactone_carbonyl,acid_sensitive_possible,Y,petroleum ether,1,aliphatic hydrocarbon,N,N,Y,N,N,N,N,N,N,Y,petroleum ether,heptane; cyclohexane,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
"Cyclohexane-1,2-dione dioxime (Nioxime)",492-99-9,ON=C1CCCCC1=NO,water,1,alcohol/water; 550ml of H2O using Fe free Norit.; H2O.,,High,,"Crystallise Nioxime from alcohol/water and dry it in a vacuum at 40o. | Also 2.5g of oxime have been recrystallised from 550ml of H2O using Fe free Norit. [Hach et al. | 2CH4N2O, m 116-117o, crystallises from H2O. [Banks et al.",RC00514,"Cyclohexane-1,2-dione dioxime (Nioxime)",valid,ON=C1CCCCC1=NO,CUNNCKOPAWXYDX-UHFFFAOYSA-N,ON=C1CCCCC1=NO,CUNNCKOPAWXYDX-UHFFFAOYSA-N,1,142.158,1.221,65.18,2,4,0,0,1,0.667,0,13,67 310 343 428 542 725 807 808 926 1028 1380 1682 1738,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,oxime,polar_hbond_neutral,,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; methanol/water 90:10; acetone; ethyl acetate; acetonitrile,ethanol/water; methanol/water; ethanol/diethyl ether; acetone/water; ethyl acetate/heptane,1.0
"Cyclohexane-1,3-dione (dihydroresorcinol)",504-02-9,O=C1CCCC(=O)C1,benzene,1,*benzene.,,High,benzene legacy,Crystallise the dione from *benzene.,RC00515,"Cyclohexane-1,3-dione (dihydroresorcinol)",valid,O=C1CCCC(=O)C1,HJSLFCCWAKVHIW-UHFFFAOYSA-N,O=C1CCCC(=O)C1,HJSLFCCWAKVHIW-UHFFFAOYSA-N,1,112.128,0.699,34.14,0,2,0,0,1,0.667,0,12,225 249 314 576 642 650 892 926 1028 1380 1564 1738,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,,Y,benzene,1,aromatic hydrocarbon,N,N,Y,Y,N,N,N,N,N,Y,benzene,toluene; toluene/heptane,benzene:red_legacy,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
"Cyclohexane-1,4-dione",637-88-7,O=C1CCC(=O)CC1,water; diethyl ether; petroleum ether; chloroform; carbon tetrachloride,5,water; CHCl3/petroleum ether or Et2O.; CCl4 (14.3 g/100 ml) and has m 77-79o.,,High,,"Crystallise the dione from water, then *benzene. | It can also be recrystallised from CHCl3/petroleum ether or Et2O. | It has been purified by distillation in a vacuum, and the pale yellow distillate which solidified is then recrystallised from CCl4 (14.3 g/100 ml) and has m 77-79o.",RC00516,"Cyclohexane-1,4-dione",valid,O=C1CCC(=O)CC1,DCZFGQYXRKMVFG-UHFFFAOYSA-N,O=C1CCC(=O)CC1,DCZFGQYXRKMVFG-UHFFFAOYSA-N,1,112.128,0.699,34.14,0,2,0,0,1,0.667,0,8,225 314 650 723 798 926 1380 1738,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,,Y,water; diethyl ether; petroleum ether; chloroform; carbon tetrachloride,5,aliphatic hydrocarbon; ether; halogenated; water/aqueous,Y,N,Y,N,Y,N,Y,N,N,Y,petroleum ether; chloroform; carbon tetrachloride,water; diethyl ether; heptane; cyclohexane; ethyl acetate; acetone; dichloromethane_if_needed; toluene,chloroform:orange_limit; carbon tetrachloride:red_legacy,aqueous_or_water_containing_system,chlorinated/hydrocarbon,N,,N,,N,N,N,N,N,Y,N,legacy_toxic_solvent_replace; halogenated_solvent_limit,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
Cyclohexanol,108-93-0,OC1CCCCC1,,0,the melt in dry air.,,Medium,no solvent normalized; medium/low confidence,It is further purified by fractional crystallisation from the melt in dry air.,RC00517,Cyclohexanol,valid,OC1CCCCC1,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,HPXRVTGHNJAIIH-UHFFFAOYSA-N,1,100.161,1.311,20.23,1,1,0,0,1,1.000,0,11,2 590 641 806 807 890 926 1019 1028 1257 1325,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,,0,,N,N,N,N,N,N,N,N,N,N,,,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,0.5
It also crystallises from Me2CO or Me2CO/*C6H6,6995-79-5,C1CC(CCC1O)O,methanol; acetone,2,MeOH or Me2CO.,,High,review name,Crystallise the trans-diol from MeOH or Me2CO.,RC00518,It also crystallises from Me2CO or Me2CO/*C6H6,valid,OC1CCC(O)CC1,VKONPUDBRVKQLM-UHFFFAOYSA-N,OC1CCC(O)CC1,VKONPUDBRVKQLM-UHFFFAOYSA-N,1,116.160,0.282,40.46,2,2,0,0,1,1.000,0,8,590 802 806 807 926 1019 1257 1325,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,methanol; acetone,2,alcohol; ketone/ester,N,Y,N,N,N,Y,N,N,N,N,,methanol; acetone,,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"cis,cis-1,3,5-Cyclohexane tricarboxylic acid",16526-68-4,O=C(O)C1CC(C(=O)O)CC(C(=O)O)C1,ethanol; water; toluene; diethyl ether,4,"toluene/EtOH or H2O.; Et2O, m 48-49o.",,High,,"Purify the acid by recrystallisation from toluene/EtOH or H2O. | The trimethyl ester can be distilled and recrystallised from Et2O, m 48-49o. [Newman & Lowrie J Am Chem Soc 76 4598 1954, DOI: 10.1021/ja01647a028; Lukes &S Galik Coll Czech Chem Comm 19 712 1954, DOI: 10.1135/cccc19540712; Beilstein 9 III 4749, 9 IV 3723.] Cyclohexanol",RC00519,"cis,cis-1,3,5-Cyclohexane tricarboxylic acid",valid,O=C(O)C1CC(C(=O)O)CC(C(=O)O)C1,FTHDNRBKSLBLDA-UHFFFAOYSA-N,O=C(O)C1CC(C(=O)O)CC(C(=O)O)C1,FTHDNRBKSLBLDA-UHFFFAOYSA-N,1,216.189,0.273,111.90,3,3,3,0,1,0.667,0,12,389 650 807 926 974 1019 1250 1292 1431 1622 1677 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; high_tpsa,Y,ethanol; water; toluene; diethyl ether,4,alcohol; aromatic hydrocarbon; ether; water/aqueous,Y,Y,Y,Y,Y,N,N,N,N,N,,ethanol; water; toluene; diethyl ether,,aqueous_or_water_containing_system,alcohol/water; alcohol/ether,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
"cis-1,4-Cyclohexanediol (hexahydrohydroquinone)",931-71-5,C1CC(CCC1O)O,acetone; benzene,2,acetone (charcoal); Me2CO or Me2CO/*C6H6.,charcoal; sublim,High,benzene legacy,"Crystallise the cis-diol from acetone (charcoal), then dry and sublime it under vacuum. | It also crystallises from Me2CO or Me2CO/*C6H6.",RC00520,"cis-1,4-Cyclohexanediol (hexahydrohydroquinone)",valid,OC1CCC(O)CC1,VKONPUDBRVKQLM-UHFFFAOYSA-N,OC1CCC(O)CC1,VKONPUDBRVKQLM-UHFFFAOYSA-N,1,116.160,0.282,40.46,2,2,0,0,1,1.000,0,8,590 802 806 807 926 1019 1257 1325,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,,Y,acetone; benzene,2,aromatic hydrocarbon; ketone/ester,N,N,Y,Y,N,Y,N,N,N,Y,benzene,acetone; toluene; toluene/heptane,benzene:red_legacy,explicit_mixed_or_pair_system,,N,,N,,N,N,Y,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
Cyclohexanone,108-94-1,O=C1CCCCC1,water,1,water) and Na2CO3 are dissolved in hot water and,hot,High,,"More thorough purification is possible by conversion to the bisulfite addition compound, or the semicarbazone, followed by decomposition with Na2CO3 and steam distillation. [For example, equal weights of the bisulfite adduct (crystallised from water) and Na2CO3 are dissolved in hot water and, after steam distillation, the distillate is saturated with NaCl and extracted with Et2O which is then dried (anhydrous MgSO4 or Na2SO4), filtered, and the solvent evaporated prior to further distillation.] Its solubility in H2O is 15%w/v (at 10o) and 5%w/v (at 30o).",RC00521,Cyclohexanone,valid,O=C1CCCCC1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,1,98.145,1.520,17.07,0,1,0,0,1,0.833,0,11,2 225 249 310 314 650 723 926 1028 1380 1738,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,semicarbazone,ester_lactone_carbonyl,,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,Y,5%; 15%,N,Y,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
Cyclohexanone oxime,100-64-1,ON=C1CCCCC1,water; petroleum ether,2,water or petroleum ether (b 60-80o).,,High,,"Crystallise the oxime from water or petroleum ether (b 60-80o). [Bousquet Org Synth Coll Vol 2 313 1943, DOI: 10.15227/orgsyn.011.0054; Beilstein 7 III 32, 7 IV 21.] Cyclohexanone phenylhydrazone",RC00522,Cyclohexanone oxime,valid,ON=C1CCCCC1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,ON=C1CCCCC1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,1,113.160,1.781,32.59,1,2,0,0,1,0.833,0,14,2 290 310 343 542 725 807 926 975 1028 1380 1401 1540 1738,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,hydrazone; oxime,neutral_other,,Y,water; petroleum ether,2,aliphatic hydrocarbon; water/aqueous,Y,N,Y,N,N,N,N,N,N,Y,petroleum ether,water; heptane; cyclohexane,,aqueous_or_water_containing_system,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; isopropanol; acetone; ethyl acetate; water or ethanol/water 90:10; toluene; heptane/cyclohexane,ethanol/water; methanol/water; ethyl acetate/heptane; acetone/heptane; toluene/heptane,1.0
Cyclohexanone phenylhydrazone,946-82-7,c1ccc(NN=C2CCCCC2)cc1,ethanol,1,EtOH.,,High,,Crystallise it from EtOH.,RC00523,Cyclohexanone phenylhydrazone,valid,c1ccc(NN=C2CCCCC2)cc1,GSTPSOUIPIOTMQ-UHFFFAOYSA-N,c1ccc(NN=C2CCCCC2)cc1,GSTPSOUIPIOTMQ-UHFFFAOYSA-N,1,188.274,3.419,24.39,1,2,2,1,2,0.417,0,23,2 191 290 310 369 389 606 703 725 926 975 1028 1088 1152 1199 1221 1380 1385 1738 1750 1779 1873 1880,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,hydrazone,basic_amine_heterocycle,basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,ethyl acetate/heptane; toluene/heptane; ethanol/water; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,1.0
Cyclohexanone-2-carboxylic acid (2-oxocyclohexane carboxylic acid),18709-01-8,O=C(O)C1CCCCC1=O,diethyl ether,1,Et2O to form colourless needles.,vacuo,High,,"The combined extracts are dried (MgSO4), filtered and evaporated in vacuo to give the carboxylic acid (29g, 41%) which can be recrystallised from Et2O to form colourless needles. [Christie & Reid JCS Perkin Trans I 880 1976, DOI: 10.1039/P19760000880; Gardner et al.",RC00524,Cyclohexanone-2-carboxylic acid (2-oxocyclohexane carboxylic acid),valid,O=C(O)C1CCCCC1=O,POROIMOHDIEBBO-UHFFFAOYSA-N,O=C(O)C1CCCCC1=O,POROIMOHDIEBBO-UHFFFAOYSA-N,1,142.154,0.830,54.37,1,2,1,0,1,0.714,0,21,310 314 370 389 650 807 890 926 1019 1028 1075 1094 1098 1325 1380 1431 1464 1485 1738 1917 2033,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic,Y,diethyl ether,1,ether,N,N,N,N,Y,N,N,N,N,N,,diethyl ether,,single_or_single_reported,,N,,Y,41%,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Cyclohexylamine,108-91-8,NC1CCCCC1,water,1,water),,High,,"Also purify it by conversion to the hydrochloride (which is crystallised several times from water), then liberation of the amine with alkali and fractional distillation under N2.",RC00525,Cyclohexylamine,valid,NC1CCCCC1,PAFZNILMFXTMIY-UHFFFAOYSA-N,NC1CCCCC1,PAFZNILMFXTMIY-UHFFFAOYSA-N,1,99.177,1.278,26.02,1,1,0,0,1,1.000,0,11,2 890 926 1019 1028 1053 1171 1284 1325 1764 1832,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; hydrochloride,hydrochloride,salt_or_ionic,basic,Y,water,1,water/aqueous,Y,N,N,N,N,N,N,N,N,N,,water,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
