No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
13,Bartoli indole synthesis,Bartoli indole synthesis,26,No,,Reaction,Heterocycle synthesis,7-Substituted indoles from the reaction of ortho-substituted nitroarenes and vinyl Grignard reagents.,Cc1ccccc1[N+](=O)[O-].C=C>>Cc1cccc2[nH]ccc12,Representative; RDKit-parsable,RXNO:0000494,Bartoli indole synthesis,Reaction of an ortho-substituted nitroarene with a vinyl Grignard reagent to yield a 7-substituted indole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 26",https://purl.obolibrary.org/obo/RXNO_0000494
14,Barton radical decarboxylation,Barton radical decarboxylation,28,No,,Reaction,Functional-group interconversion / method,Radical decarboxylation via the corresponding thiocarbonyl derivatives of the carboxylic acids.,O=C(O)C1CCCCC1>>C1CCCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 28",
15,Barton–McCombie deoxygenation,Barton–McCombie deoxygenation,30,No,,Reaction,Reduction,Deoxygenation of alcohols by means of radical scission of their corresponding thiocarbonyl derivatives.,OC1CCCCC1>>C1CCCCC1,Representative; RDKit-parsable,RXNO:0000134,Barton-McCombie deoxygenation,The deoxygenation of an alcohol to the corresponding alkane using a thiochloroformate. It proceeds by a radical mechanism.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 30",https://purl.obolibrary.org/obo/RXNO_0000134
16,Barton nitrite photolysis,Barton nitrite photolysis,32,No,,Reaction,Functional-group interconversion / method,"Photolysis of a nitrite ester followed by 1,5-hydrogen abstraction to give a δ-nitroso alcohol, usually isolated as the δ-oximino alcohol.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 32",
17,Barton–Zard reaction,Barton–Zard reaction,34,No,,Reaction,Heterocycle synthesis,Base-induced reaction of nitroalkenes with alkyl α-isocyanoacetates to afford pyrroles.,C=C[N+](=O)[O-].CCOC(=O)C[N+]#[C-]>>CCOC(=O)c1cc[nH]c1,Representative; RDKit-parsable,RXNO:0000496,Barton-Zard reaction,Reaction of a nitroalkene with an alpha-isocyanoacetate to yield a substituted pyrrole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 34",https://purl.obolibrary.org/obo/RXNO_0000496
18,Batcho–Leimgruber indole synthesis,Batcho–Leimgruber indole synthesis,36,No,,Reaction,Heterocycle synthesis,"Condensation of an o-nitrotoluene derivative with a formamide acetal, followed by reductive cyclization of the resulting enamine to an indole.",Cc1ccccc1[N+](=O)[O-]>>c1ccc2[nH]ccc2c1,Representative; RDKit-parsable,RXNO:0000672,Leimgruber-Batcho indole synthesis,Condensation of a formamide acetal with a derivative of o-nitrotoluene to yield an enamine intermediate that subsequently undergoes reductive cyclization to give the corresponding indole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 36",https://purl.obolibrary.org/obo/RXNO_0000672
19,Baylis–Hillman reaction,Baylis–Hillman reaction,39,No,,Reaction,Cross-coupling / organometallic coupling,Tertiary-amine-catalyzed coupling of an activated alkene with an aldehyde or related electrophile to give an α-methylene-β-hydroxy product.,COC(=O)C=C.O=Cc1ccccc1>>COC(=O)C(=C)C(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000076,Baylis-Hillman reaction,A carbon-carbon coupling of an aldehyde to an activated alkene in the presence of a nucleophilic base to give an alpha-hydroxyalkylated compound.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 39",https://purl.obolibrary.org/obo/RXNO_0000076
20,Beckmann rearrangement,Beckmann rearrangement,41,No,,Reaction,Rearrangement / fragmentation,Acid-mediated isomerization of oximes to amides.,ON=C1CCCCC1>>O=C1CCCCCN1,Representative; RDKit-parsable,RXNO:0000026,Beckmann rearrangement,A rearrangement where an oxime rearranges to form an amide. Often there is selective migration of one group.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 41",https://purl.obolibrary.org/obo/RXNO_0000026
21,Beirut reaction,Beirut reaction,43,No,,Reaction,Heterocycle synthesis,"Synthesis of quinoxaline-1,4-dioxides from benzofurazan oxide.",,Not encoded,RXNO:0000499,Beirut reaction,"Reaction of a benzofurazan 1-oxide with an enamine or enolate to yield a quinoxaline-1,4-dioxide.",,"Li, Name Reactions, 3rd ed. (2006), p. 43",https://purl.obolibrary.org/obo/RXNO_0000499
22,Benzilic acid rearrangement,Benzilic acid rearrangement,45,No,,Reaction,Rearrangement / fragmentation,Rearrangement of benzil to benzylic acid via aryl migration.,O=C(c1ccccc1)C(=O)c1ccccc1>>O=C(O)C(O)(c1ccccc1)c1ccccc1,Representative; RDKit-parsable,RXNO:0000075,benzilic acid rearrangement,"A rearrangement of a 1,2-diketone to an alpha-hydroxy carboxylic acid. It can also be applied to alpha-keto aldehydes. The first exmaple of this reaction was with benzil (PhC(=O)C(=O)Ph) to form benzilic acid, hence the name.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 45",https://purl.obolibrary.org/obo/RXNO_0000075
23,Benzoin condensation,Benzoin condensation,47,No,,Reaction,C–C bond formation / condensation / multicomponent,Cyanide-catalyzed condensation of aryl aldehyde to benzoin. Now cyanide is mostly replaced by a thiazolium salt.,O=Cc1ccccc1.O=Cc1ccccc1>>O=C(C(O)c1ccccc1)c1ccccc1,Representative; RDKit-parsable,RXNO:0000138,benzoin condensation,A reaction between two aromatic aldehydes to give a benzoin (an alpha-hydroxyketone).,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 47",https://purl.obolibrary.org/obo/RXNO_0000138
24,Bergman cyclization,Bergman cyclization,49,No,,Reaction,Cycloaddition / annulation / ring formation,"1,4-Benzenediyl diradical formation from enediyne via electrocyclization.",C#CC=CC#C>>c1ccccc1,Representative; RDKit-parsable,RXNO:0000240,Bergman cyclisation,"The cyclisation of an ene-diyne to give a 1,4-diradical cyclohexatriene. The diradical usually aromatises.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 49",https://purl.obolibrary.org/obo/RXNO_0000240
25,Biginelli pyrimidone synthesis,Biginelli pyrimidone synthesis,51,No,,Reaction,Heterocycle synthesis,"Acid-catalyzed three-component condensation of an aldehyde, a β-ketoester, and urea or thiourea to form a dihydropyrimidinone.",CCOC(=O)CC(C)=O.O=Cc1ccccc1.NC(N)=O>>CCOC(=O)C1=C(C)NC(=O)N=C1c1ccccc1,Representative; RDKit-parsable,RXNO:0000236,Biginelli reaction,"A three-component coupling of a beta-keto ester, an aldehyde and urea to give a 3,4-dihydropyrimidinone.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 51",https://purl.obolibrary.org/obo/RXNO_0000236
26,Birch reduction,Birch reduction,53,No,,Reaction,Reduction,"The Birch reduction is the 1,4-reduction of aromatics to their corresponding cyclohexadienes by alkali metals (Li, K, Na) dissolved in liquid ammonia in the presence of an alcohol.",COc1ccccc1>>COC1=CCC=CC1,Representative; RDKit-parsable,RXNO:0000042,Birch reduction,Addition of hydrogen atoms to aromatic rings by means of alkali metals in liquid ammonia.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 53",https://purl.obolibrary.org/obo/RXNO_0000042
27,Bischler–Möhlau indole synthesis,Bischler–Möhlau indole synthesis,55,No,,Reaction,Heterocycle synthesis,"Cyclization of an α-anilino ketone, commonly generated from an aniline and an α-haloketone, to furnish a 3-arylindole.",O=C(CBr)c1ccccc1.Nc1ccccc1>>c1ccc2[nH]c(-c3ccccc3)cc2c1,Representative; RDKit-parsable,RXNO:0000523,Bischler-Möhlau indole synthesis,Reaction of a terminal hydroxyketone or terminal halogenoketone with an aromatic amine to yield a 2-substituted indole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 55",https://purl.obolibrary.org/obo/RXNO_0000523
28,Bischler–Napieralski reaction,Bischler–Napieralski reaction,57,No,,Reaction,Heterocycle synthesis,Dihydroisoquinolines from β-phenethylamides using phosphorus oxychloride.,CC(=O)NCCc1ccccc1>>CC1=NCCc2ccccc21,Representative; RDKit-parsable,RXNO:0000053,Bischler-Napieralski reaction,"A cyclodehydration of a beta-phenethylamide to give a 3,4-dihydroisoquinoline.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 57",https://purl.obolibrary.org/obo/RXNO_0000053
29,Blaise reaction,Blaise reaction,59,No,,Reaction,Functional-group interconversion / method,β-Ketoesters from nitriles and α-haloesters using Zn.,CC#N.CCOC(=O)CBr>>CC(=O)CC(=O)OCC,Representative; RDKit-parsable,RXNO:0000237,Blaise reaction,"The coupling of an alpha-bromo ester with a nitrile to give a beta-ketoester, in the presence of zinc.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 59",https://purl.obolibrary.org/obo/RXNO_0000237
30,Blanc chloromethylation,Blanc chloromethylation,61,No,,Reaction,Functional-group interconversion / method,Lewis-acid-promoted chloromethylation of an aromatic ring using formaldehyde or trioxane and hydrogen chloride.,c1ccccc1>>ClCc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 61",
31,Blum aziridine synthesis,Blum aziridine synthesis,63,No,,Reaction,Heterocycle synthesis,Ring opening of oxiranes using azide is followed by Staudinger reduction of the intermediate azido alcohol to give aziridines.,O1CC1c1ccccc1>>c1ccccc1C1CN1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 63",
32,Boekelheide reaction,Boekelheide reaction,65,No,,Reaction,Heterocycle synthesis,Treatment of 2-methylpyridine N-oxide with trifluoroacetic anhydride gives rise to 2-hydroxymethylpyridine.,Cc1cccc[n+]1[O-]>>OCc1ccccn1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 65",
33,Boger pyridine synthesis,Boger pyridine synthesis,67,No,,Reaction,Heterocycle synthesis,"Inverse-electron-demand hetero-Diels–Alder reaction of a 1,2,4-triazine with a dienophile, followed by N₂ extrusion to form a pyridine.",n1nccnc1.C=C>>n1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 67",
34,Borch reductive amination,Borch reductive amination,69,No,,Reaction,Reduction,"Reduction (often using NaCNBH3) of the imine formed by an amine and a carbonyl to afford the corresponding amine—basically, reductive amination.",CC(C)=O.CN>>CNC(C)C,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 69",
35,Borsche–Drechsel cyclization,Borsche–Drechsel cyclization,71,No,,Reaction,Heterocycle synthesis,Fischer-type cyclization of a cyclohexanone arylhydrazone to form a tetrahydrocarbazole.,C1CCC(=NNc2ccccc2)CC1>>c1ccc2c3c([nH]c2c1)CCCCC3,Representative; RDKit-parsable,RXNO:0000532,Borsche-Drechsel cyclisation,Rearrangement of a cyclohexanone phenylhydrazone followed by oxidation to yield a carbazole.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 71",https://purl.obolibrary.org/obo/RXNO_0000532
36,Boulton–Katritzky rearrangement,Boulton–Katritzky rearrangement,73,No,,Reaction,Rearrangement / fragmentation,Rearrangement of one five-membered heterocycle into another under thermolysis.,,Not encoded,RXNO:0000502,Boulton-Katritzky rearrangement,Rearrangement of a mancude eight-membered system containing a pentacycle into a different pentacycle where two of the ring atoms are ring atoms in the original molecule.,,"Li, Name Reactions, 3rd ed. (2006), p. 73",https://purl.obolibrary.org/obo/RXNO_0000502
37,Bouveault aldehyde synthesis,Bouveault aldehyde synthesis,75,No,,Reaction,Functional-group interconversion / method,"Formylation of an alkyl or aryl halide by metal–halogen exchange or metal insertion, followed by addition of the organometallic reagent to DMF.",Brc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000533,Bouveault aldehyde synthesis,"Reaction of an organomagnesium or organolithium compound with an N,N'-disubstituted formamide to yield the next homologous aldehyde.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 75",https://purl.obolibrary.org/obo/RXNO_0000533
38,Bouveault–Blanc reduction,Bouveault–Blanc reduction,77,No,,Reaction,Reduction,Reduction of esters to the corresponding alcohols using sodium in an alcoholic solvent.,CCOC(=O)c1ccccc1>>OCc1ccccc1,Representative; RDKit-parsable,RXNO:0000119,Bouveault-Blanc reaction,The reduction of an ester using sodium to give two alcohols.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 77",https://purl.obolibrary.org/obo/RXNO_0000119
39,Boyland–Sims oxidation,Boyland–Sims oxidation,79,No,,Reaction,Oxidation / alkene functionalization,Oxidation of anilines to phenols using alkaline persulfate.,Nc1ccccc1>>Nc1ccc(O)cc1,Representative; RDKit-parsable,RXNO:0000181,Boyland-Sims oxidation,The oxidation of an aromatic amine to give a (predominantly ortho) amino aryl sulfate using potassium persulfate followed by hydrolysis to yield the corresponding aminophenol.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 79",https://purl.obolibrary.org/obo/RXNO_0000181
40,Bradsher reaction,Bradsher reaction,81,No,,Reaction,Cycloaddition / annulation / ring formation,Anthracenes from ortho-acyl diarylmethanes via acid-catalyzed cyclodehydration.,,Not encoded,RXNO:0000535,Bradsher reaction,"Reaction of an ortho-acyldiarylmethane, catalysed by acid, to yield an anthracene.",,"Li, Name Reactions, 3rd ed. (2006), p. 81",https://purl.obolibrary.org/obo/RXNO_0000535
41,Brook rearrangement,Brook rearrangement,83,No,,Reaction,Rearrangement / fragmentation,"Base-induced [1,2]-migration of a silyl group from carbon to oxygen, converting an α-silyl alkoxide into an α-silyloxy carbanion.",,Not encoded,RXNO:0000113,Brook rearrangement,"The rearrangement of an alpha-, beta- or gamma-hydroxy silane to give a silyl ether. It is catalysed by a base.",,"Li, Name Reactions, 3rd ed. (2006), p. 83",https://purl.obolibrary.org/obo/RXNO_0000113
42,Brown hydroboration,Brown hydroboration,85,No,,Reaction,Oxidation / alkene functionalization,"Addition of boranes to olefins, followed by basic oxidation of the organoborane adducts, resulting in alcohols.",CC=C>>CCCO,Representative; RDKit-parsable,RXNO:0000293,hydroboration-oxidation,"The formal addition of water across a double bond of an alkene or alkyne by formation of an organoborane and in situ oxidation, typically with basic peroxide. The product is usually the less substituted alcohol.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 85",https://purl.obolibrary.org/obo/RXNO_0000293
43,Bucherer carbazole synthesis,Bucherer carbazole synthesis,87,No,,Reaction,Heterocycle synthesis,Carbazoles from naphthols and aryl hydrazines promoted by sodium bisulfite.,Oc1cccc2ccccc12.NNc1ccccc1>>c1ccc2c(c1)[nH]c1ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 87",
44,Bucherer reaction,Bucherer reaction,90,No,,Reaction,Functional-group interconversion / method,Reversible conversion of a naphthol into the corresponding naphthylamine using ammonia and bisulfite/sulfite.,Oc1cccc2ccccc12>>Nc1cccc2ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 90",
45,Bucherer–Bergs reaction,Bucherer–Bergs reaction,92,No,,Reaction,Heterocycle synthesis,Formation of hydantoins from carbonyl compounds with potassium cyanide (KCN) and ammonium carbonate [(NH4)2CO3] or from cyanohydrins and ammonium carbonate.,CC(C)=O.N#C.NC(=O)O>>CC1(C)NC(=O)NC1=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 92",
46,Büchner–Curtius–Schlotterbeck reaction,Büchner–Curtius–Schlotterbeck reaction,94,No,,Reaction,Functional-group interconversion / method,Reaction of carbonyl compounds with aliphatic diazo compounds to deliver homologated ketones.,CC(C)=O.C=[N+]=[N-]>>CCC(C)=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 94",
47,Büchner method of ring expansion,Büchner method of ring expansion,96,No,,Reagent/method,Cycloaddition / annulation / ring formation,"Metal-carbenoid addition of a diazoacetate to an arene, followed by electrocyclic ring opening to form a cycloheptatriene carboxylate.",c1ccccc1.CCOC(=O)C=[N+]=[N-]>>CCOC(=O)C1C=CC=CC=C1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 96",
48,Buchwald–Hartwig C–N bond and C–O bond formation reactions,Buchwald–Hartwig C–N/C–O coupling,98,No,,Reaction,Cross-coupling / organometallic coupling,"Palladium-catalyzed formation of aryl C–N or C–O bonds from aryl halides or pseudohalides, amines or alcohols, and base.",Brc1ccccc1.CN>>CNc1ccccc1,Representative; RDKit-parsable,RXNO:0000192,Buchwald-Hartwig amination,A reaction in which an aryl halide or aryl triflate reacts with a primary or secondary amine in the presence of base to give a secondary or tertiary amine. It is catalysed by a palladium catalyst.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 98",https://purl.obolibrary.org/obo/RXNO_0000192
49,Burgess dehydrating reagent,Burgess dehydrating reagent,100,No,,Reagent/method,Olefination / elimination,"Intramolecular syn dehydration of a secondary or tertiary alcohol to an alkene using Burgess reagent under mild, anhydrous conditions.",CCC(C)O>>CC=CC,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 100",
50,Cadiot–Chodkiewicz coupling,Cadiot–Chodkiewicz coupling,102,No,,Reaction,Cross-coupling / organometallic coupling,"Copper-mediated cross-coupling of a terminal alkyne with a haloalkyne to form an unsymmetrical 1,3-diyne.",BrC#C.CC#C>>CC#CC#C,Representative; RDKit-parsable,RXNO:0000100,Cadiot-Chodkiewicz coupling,A coupling reaction between a terminal alkyne and an alkynyl halide catalysed by Cu(I) salts.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 102",https://purl.obolibrary.org/obo/RXNO_0000100
51,Camps quinolinol synthesis,Camps quinolinol synthesis,104,No,,Reaction,Heterocycle synthesis,Base-promoted intramolecular condensation of an o-acylaminoaryl ketone to form a substituted quinolin-2-ol or quinolin-4-ol.,,Not encoded,RXNO:0000524,Camps quinoline synthesis,Cyclisation of an o-acylaminoacetophenone in alcoholic sodium hydroxide to form a substituted hydroxyquinoline.,,"Li, Name Reactions, 3rd ed. (2006), p. 104",https://purl.obolibrary.org/obo/RXNO_0000524
