FG token,Meaning (proposed),Notes / typical role
RSO2F,sulfonyl fluoride (R–SO2F),Electrophile for SuFEx / sulfonylation-type chemistry.
RSO2NHR,sulfonamide (R–SO2–NHR),N-nucleophile / substrate feature.
RSnR3,organostannane (R–SnR3),Nucleophile in Stille-type chemistry / stannylation entries.
Thiourea,thiourea motif (–NH–C(=S)–NH–),N/S-nucleophile / substrate feature.
Urea,urea motif (–NH–C(=O)–NH–),N-nucleophile / substrate feature.
alkene,alkene (C=C),"Reacting π-bond for additions, Heck, etc."
alkene-Br,alkenyl bromide (vinyl bromide),Electrophile in cross-coupling.
alkene-I,alkenyl iodide (vinyl iodide),Electrophile in cross-coupling.
alkeneB(OR)2,alkenyl boronate ester (vinyl–B(OR)2),Boronate nucleophile in Suzuki-type couplings.
alkyne,alkyne (C≡C),"Coupling partner (e.g., Sonogashira) or cyclizations."
arene,arene (aromatic ring),Often substrate class in reductions/hydrogenations.
arom. NH,aromatic N–H (heteroarene N–H; “pyrrolic” or similar),Nucleophile for N-alkylation/acylation etc.
enolether,enol ether (vinyl ether),Electron-rich alkene used in condensations/derivatizations.
hydrazide,acyl hydrazide (R–CONH–NH2 or related),N-nucleophile in condensations/derivatizations.
