notation,expected,detected_ids,detected_names,smiles
Boc-protected amine,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1
TBS-protected phenol,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1
Vinylboronic acid to styrene,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1
(E)-Propenylboronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1
Isopropenylboronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1
Ethynylboronic acid,Suzuki,,,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1
Macrocyclization precursor,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1
Potassium phenyltrifluoroborate,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1
BF3K + ArCl,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1
Pyridine N-oxide,Suzuki,suzuki_miyaura,Suzuki-Miyaura,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1
Cyclopropyl bromide,Suzuki,,,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1
Ph-Ph,Stille,,,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Stille,,,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1
Diphenylacetylene,Sonogashira,sonogashira,Sonogashira,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1
Pyridine acetylene,Sonogashira,sonogashira,Sonogashira,Ic1ccncc1.C#CC>>C#Cc1ccncc1
tert-butyl,Sonogashira,sonogashira,Sonogashira,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1
Electron-rich ArBr,Sonogashira,sonogashira,Sonogashira,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1
TMS-acetylene,Sonogashira,,,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>CC(C)(C)[Si]C#Cc1ccc(C(F)(F)F)cc1
Thiophene coupling,Sonogashira,sonogashira,Sonogashira,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1
Ether-substituted alkyne,Sonogashira,sonogashira,Sonogashira,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1
Indole substrate,Sonogashira,sonogashira,Sonogashira,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1
Simple styrene,Heck,,,Brc1ccccc1.C=C>>C(=Cc1ccccc1)
Acrylate,Heck,,,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1
Acrylonitrile,Heck,,,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1
Methyl acrylate,Heck,,,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1
Naphthyl iodide,Heck,,,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1)
Thiophene + acrylamide,Heck,,,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1
Electron-poor chloride,Heck,,,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1
Ph-Ph,Negishi,,,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Negishi,,,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1
CF3 substrate,Negishi,,,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1
Alkyl zinc + ArCl,Negishi,,,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1
Ph-Ph,Kumada,,,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Kumada,,,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1
Alkyl Grignard,Kumada,,,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1
Activated ArCl,Kumada,,,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1
Diphenylamine,Buchwald-Hartwig,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Pyridine ethylamine,Buchwald-Hartwig,buchwald_hartwig,Buchwald-Hartwig,Clc1ccncc1.NCC>>CCNc1ccncc1
Cyclohexylamine,B-H,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1
Aldehyde substrate,B-H,buchwald_hartwig|reductive_amination,Buchwald-Hartwig|Reductive Amination,Ic1ccc(C=O)cc1.Nc1ccccc1>>O=Cc1ccc(Nc2ccccc2)cc1
Naphthylamine,B-H,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc2ccccc2c1.NCC>>CCNc1ccc2ccccc2c1
Benzimidazole,B-H,buchwald_hartwig,Buchwald-Hartwig,Clc1nc2ccccc2[nH]1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2[nH]1
Ph-Br + aniline → diphenylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Ph-Cl + aniline → diphenylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Ph-I + aniline → diphenylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Ic1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
4-MeO-Ph-Br + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(OC)cc1.Nc1ccccc1>>COc1ccc(Nc2ccccc2)cc1
4-Me-Ph-Br + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(C)cc1.Nc1ccccc1>>Cc1ccc(Nc2ccccc2)cc1
4-CF3-Ph-Br + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
4-CN-Ph-Br + aniline,C-N,snar_cn|buchwald_hartwig,SNAr C-N|Buchwald-Hartwig,Brc1ccc(C#N)cc1.Nc1ccccc1>>N#Cc1ccc(Nc2ccccc2)cc1
4-NO2-Ph-Br + aniline,C-N,snar_cn|buchwald_hartwig|reduction_nitro,SNAr C-N|Buchwald-Hartwig|Nitro Reduction,Brc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(Nc2ccccc2)cc1
4-acetyl-Ph-Br + aniline,C-N,buchwald_hartwig|reductive_amination,Buchwald-Hartwig|Reductive Amination,Brc1ccc(C(=O)C)cc1.Nc1ccccc1>>CC(=O)c1ccc(Nc2ccccc2)cc1
4-F-Ph-Br + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(F)cc1.Nc1ccccc1>>Fc1ccc(Nc2ccccc2)cc1
4-Cl-pyridine + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
4-Br-pyridine + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
3-Cl-pyridine + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1cccnc1.Nc1ccccc1>>c1ccccc1Nc1cccnc1
2-Br-pyrimidine + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1cnccn1.Nc1ccccc1>>c1ccccc1Nc1cnccn1
4-Cl-quinoline + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1cccc2ncccc12.Nc1ccccc1>>c1ccccc1Nc1cccc2ncccc12
5-Br-indole + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc2[nH]ccc2c1.Nc1ccccc1>>c1ccccc1Nc1ccc2[nH]ccc2c1
3-Br-furan + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccco1.Nc1ccccc1>>c1ccccc1Nc1ccco1
2-Cl-thiophene + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1cccs1.Nc1ccccc1>>c1ccccc1Nc1cccs1
2-Br-4-methylpyrimidine + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1cnc(C)cn1.Nc1ccccc1>>Cc1cnc(Nc2ccccc2)cn1
Ph-Br + 4-methylaniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccc(C)cc1>>Cc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-methoxyaniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccc(OC)cc1>>COc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-fluoroaniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-CF3-aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
Ph-Br + 3-methylaniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1cccc(C)c1>>Cc1cccc(Nc2ccccc2)c1
"Ph-Br + 3,5-dimethylaniline",C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.Nc1cc(C)cc(C)c1>>Cc1cc(C)cc(Nc2ccccc2)c1
Ph-Br + methylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CN>>CNc1ccccc1
Ph-Br + ethylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CCN>>CCNc1ccccc1
Ph-Br + propylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CCCN>>CCCNc1ccccc1
Ph-Br + isopropylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CC(C)N>>CC(C)Nc1ccccc1
Ph-Br + tert-butylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CC(C)(C)N>>CC(C)(C)Nc1ccccc1
Ph-Br + benzylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.NCc1ccccc1>>c1ccccc1CNc1ccccc1
Ph-Br + 2-methoxyethylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.NCCOC>>COCCNc1ccccc1
4-Br-pyridine + propylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccncc1.NCCC>>CCCNc1ccncc1
4-Cl-benzonitrile + isopropylamine,C-N,snar_cn|buchwald_hartwig,SNAr C-N|Buchwald-Hartwig,Clc1ccc(C#N)cc1.CC(C)N>>CC(C)Nc1ccc(C#N)cc1
Ph-Br + diethylamine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.CCNCC>>CCN(CC)c1ccccc1
Ph-Br + pyrrolidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1CCCC1>>c1ccccc1N1CCCC1
Ph-Br + piperidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1CCCCC1>>c1ccccc1N1CCCCC1
Ph-Br + morpholine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1CCOCC1>>c1ccccc1N1CCOCC1
Ph-Br + N-methylpiperazine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1CCN(C)CC1>>CN1CCN(c2ccccc2)CC1
Ph-Br + 4-hydroxypiperidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1CCC(O)CC1>>OC1CCN(c2ccccc2)CC1
Ph-Br + tetrahydroisoquinoline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.N1Cc2ccccc2C1>>c1ccccc1N1Cc2ccccc2C1
4-Br-pyridine + pyrrolidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccncc1.N1CCCC1>>c1ccncc1N1CCCC1
4-Cl-benzotrifluoride + morpholine,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1ccc(C(F)(F)F)cc1.N1CCOCC1>>FC(F)(F)c1ccc(N2CCOCC2)cc1
4-Br-anisole + piperidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(OC)cc1.N1CCCCC1>>COc1ccc(N2CCCCC2)cc1
"1,4-dibromobenzene + aniline",C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc(Br)cc1.Nc1ccccc1>>c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
2-methylbromobenzene + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1C.Nc1ccccc1>>Cc1ccccc1Nc1ccccc1
2-bromoanisole + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1OC.Nc1ccccc1>>COc1ccccc1Nc1ccccc1
2-bromoacetophenone + aniline,C-N,buchwald_hartwig|reductive_amination,Buchwald-Hartwig|Reductive Amination,Brc1ccccc1C(=O)C.Nc1ccccc1>>CC(=O)c1ccccc1Nc1ccccc1
"4,7-dichloroquinoline + aniline",C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1ccc2nc(Cl)ccc2c1.Nc1ccccc1>>c1ccc(Nc2ccc3cc(Nc4ccccc4)ccc3n2)cc1
"5-bromobenzo[d][1,3]dioxole + aniline",C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccc2c(c1)OCO2.Nc1ccccc1>>c1ccc(Nc2ccc3c(c2)OCO3)cc1
2-chlorobenzothiazole + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1nc2ccccc2s1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2s1
2-bromobenzoxazole + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1nc2ccccc2o1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2o1
2-chloroquinoxaline + aniline,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1cnc2ccccc2n1.Nc1ccccc1>>c1ccccc1Nc1cnc2ccccc2n1
Ph-Br + pyrrole → N-phenylpyrrole,C-N,,,Brc1ccccc1.c1cc[nH]c1>>c1ccccc1n1cccc1
4-bromotoluene + pyrrole,C-N,,,Brc1ccc(C)cc1.c1cc[nH]c1>>Cc1ccc(n2cccc2)cc1
4-chlorobenzonitrile + pyrrole,C-N,,,Clc1ccc(C#N)cc1.c1cc[nH]c1>>N#Cc1ccc(n2cccc2)cc1
Ph-Br + indole → N-phenylindole,C-N,,,Brc1ccccc1.c1ccc2[nH]ccc2c1>>c1ccc2c(c1)ccn2c1ccccc1
4-bromoanisole + indole,C-N,,,Brc1ccc(OC)cc1.c1ccc2[nH]ccc2c1>>COc1ccc(n2ccc3ccccc32)cc1
4-chloropyridine + indole,C-N,,,Clc1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21
4-bromobenzotrifluoride + indole,C-N,,,Brc1ccc(C(F)(F)F)cc1.c1ccc2[nH]ccc2c1>>FC(F)(F)c1ccc(n2ccc3ccccc32)cc1
4-iodopyridine + indole,C-N,,,Ic1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21
Ph-Br + pyrazole → N-phenylpyrazole,C-N,,,Brc1ccccc1.c1c[nH]nc1>>c1ccccc1n1ccnc1
4-bromochlorobenzene + pyrazole,C-N,,,Brc1ccc(Cl)cc1.c1c[nH]nc1>>Clc1ccc(n2ccnc2)cc1
4-bromopyridine + pyrazole,C-N,,,Brc1ccncc1.c1c[nH]nc1>>c1ccncc1n1ccnc1
4-bromonitrobenzene + pyrazole,C-N,reduction_nitro,Nitro Reduction,Brc1ccc([N+](=O)[O-])cc1.c1c[nH]nc1>>[O-][N+](=O)c1ccc(n2ccnc2)cc1
Ph-Br + 3-methylpyrazole,C-N,,,Brc1ccccc1.c1c[nH]nc1C>>Cc1nn(c2ccccc2)cc1
4-chloroanisole + 3-methylpyrazole,C-N,,,Clc1ccc(OC)cc1.c1c[nH]nc1C>>Cc1nn(c2ccc(OC)cc2)cc1
Ph-Br + imidazole → N-phenylimidazole,C-N,,,Brc1ccccc1.c1cnc[nH]1>>c1ccccc1n1cncc1
4-bromofluorobenzene + imidazole,C-N,,,Brc1ccc(F)cc1.c1cnc[nH]1>>Fc1ccc(n2cncc2)cc1
4-chloropyridine + imidazole,C-N,,,Clc1ccncc1.c1cnc[nH]1>>c1ccncc1n1cncc1
Ph-Br + carbazole → N-phenylcarbazole,C-N,,,Brc1ccccc1.c1ccc2c(c1)c1ccccc1[nH]2>>c1ccc2c(c1)c1ccccc1n2c1ccccc1
4-bromotoluene + carbazole,C-N,,,Brc1ccc(C)cc1.c1ccc2c(c1)c1ccccc1[nH]2>>Cc1ccc(n2c3ccccc3c3ccccc32)cc1
4-iodoanisole + carbazole,C-N,,,Ic1ccc(OC)cc1.c1ccc2c(c1)c1ccccc1[nH]2>>COc1ccc(n2c3ccccc3c3ccccc32)cc1
"Ph-Br + 1,2,4-triazole → N-phenyltriazole",C-N,,,Brc1ccccc1.c1nc[nH]n1>>c1ccccc1n1ncnc1
"4-bromobenzonitrile + 1,2,4-triazole",C-N,,,Brc1ccc(C#N)cc1.c1nc[nH]n1>>N#Cc1ccc(n2ncnc2)cc1
Ph-Br + 2-aminopyrimidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Brc1ccccc1.c1ncncc1N>>Nc1cnccn1c1ccccc1
4-chloropyridine + 2-aminopyrimidine,C-N,buchwald_hartwig,Buchwald-Hartwig,Clc1ccncc1.c1ncncc1N>>Nc1cnccn1c1ccncc1
"4-bromoanisole + 1,2,4-triazole",C-N,,,Brc1ccc(OC)cc1.c1cn[nH]c1>>COc1ccc(n2nccn2)cc1
"2-bromotoluene + indole, ortho-substituted",C-N,,,Brc1ccccc1C.c1ccc2[nH]ccc2c1>>Cc1ccccc1n1ccc2ccccc21
"2,6-dimethylbromobenzene + indole, sterically hindered",C-N,,,Brc1c(C)cccc1C.c1ccc2[nH]ccc2c1>>Cc1cccc(C)c1n1ccc2ccccc21
"2-bromoanisole + pyrrole, ortho-substituted",C-N,,,Brc1ccccc1OC.c1cc[nH]c1>>COc1ccccc1n1cccc1
"2-bromonaphthalene + indole, fused ring",C-N,,,Ic1ccc2ccccc2c1.c1ccc2[nH]ccc2c1>>c1ccc(n2ccc3ccccc32)c2ccccc12
"1,4-dibromobenzene + indole, bis-coupling",C-N,,,Brc1ccc(Br)cc1.c1ccc2[nH]ccc2c1>>c1ccc(n2ccc3ccccc32)cc1n1ccc2ccccc21
"1,3-dibromobenzene + pyrrole, bis-coupling",C-N,,,Brc1cccc(Br)c1.c1cc[nH]c1>>c1cccc(n2cccc2)c1n1cccc1
3-bromoquinoxaline + indole,C-N,,,Brc1cnc2ccccc2n1.c1ccc2[nH]ccc2c1>>c1ccc2c(c1)ccn2c1cnc2ccccc2n1
4-chloroindole + bromobenzene,C-N,,,Clc1cccc2c1cc[nH]2.c1ccccc1Br>>c1ccccc1n1ccc2c(Cl)cccc21
Ph-Br + acetamide → N-phenylacetamide,C-N,,,Brc1ccccc1.NC(=O)C>>CC(=O)Nc1ccccc1
4-bromotoluene + acetamide,C-N,,,Brc1ccc(C)cc1.NC(=O)C>>CC(=O)Nc1ccc(C)cc1
