example,expected,detected_ids,detected_names,smiles
Mixed halide pyridine,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1
Indole heterobiaryl,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1
Trifluoromethyl aryl chloride + pyrimidine boronate,Suzuki,buchwald_hartwig|chan_lam_cn|suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Buchwald-Hartwig|Chan-Lam C-N|Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1
Chloropyridyl boronic acid with aryl bromide,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1
Bis-coupling to biphenyl,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
Meta-dibromobenzene,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1
Pyrimidine-5-boronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1
Furan-2-boronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1
Thiophene-2-boronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1
Pyrrole-3-boronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1
3-Bromoquinoxaline,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1
4-Chloroindole + pyridine boronic acid,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1
2-Bromobenzothiazole,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1
2-Iodobenzoxazole,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1
Benzothiadiazole,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1
2-Isopropyl-bromobenzene,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1
"2,6-Dimethyl-chlorobenzene",Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1
Ortho-ethoxy + ortho-methyl,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C
Pentafluorobromobenzene,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F
"3,5-Dichloro-bromobenzene",Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1
"2,5-Dinitro-bromobenzene",Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol|reduction_nitro,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation|Nitro Reduction,Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
Ethyl ester protected,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1
Boc-protected amine,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1
TBS-protected phenol,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1
Vinylboronic acid to styrene,Suzuki,heck|suzuki_miyaura|ullmann_ether|epoxidation|halogenation_aromatic|oxidation_alcohol|ring_closing_metathesis,Heck|Suzuki-Miyaura|Ullmann Ether Synthesis|Epoxidation|Aromatic Halogenation|Alcohol Oxidation|Ring-Closing Metathesis,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1
(E)-Propenylboronic acid,Suzuki,heck|suzuki_miyaura|ullmann_ether|epoxidation|halogenation_aromatic|oxidation_alcohol|ring_closing_metathesis,Heck|Suzuki-Miyaura|Ullmann Ether Synthesis|Epoxidation|Aromatic Halogenation|Alcohol Oxidation|Ring-Closing Metathesis,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1
Isopropenylboronic acid,Suzuki,heck|suzuki_miyaura|ullmann_ether|epoxidation|halogenation_aromatic|oxidation_alcohol|ring_closing_metathesis,Heck|Suzuki-Miyaura|Ullmann Ether Synthesis|Epoxidation|Aromatic Halogenation|Alcohol Oxidation|Ring-Closing Metathesis,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1
Ethynylboronic acid,Suzuki,ullmann_ether|halogenation_aromatic|oxidation_alcohol,Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1
Macrocyclization precursor,Suzuki,esterification|suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Esterification|Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1
Potassium phenyltrifluoroborate,Suzuki,suzuki_miyaura|halogenation_aromatic,Suzuki-Miyaura|Aromatic Halogenation,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1
BF3K + ArCl,Suzuki,suzuki_miyaura|halogenation_aromatic,Suzuki-Miyaura|Aromatic Halogenation,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1
Pyridine N-oxide,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1
Cyclopropyl bromide,Suzuki,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1
Ph-Ph,Stille,stille|halogenation_aromatic,Stille|Aromatic Halogenation,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Stille,heck|stille|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Stille|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1
Diphenylacetylene,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1
Pyridine acetylene,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Ic1ccncc1.C#CC>>C#Cc1ccncc1
tert-butyl,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1
Electron-rich ArBr,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1
TMS-acetylene,Sonogashira,halogenation_aromatic,Aromatic Halogenation,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>CC(C)(C)[Si]C#Cc1ccc(C(F)(F)F)cc1
Thiophene coupling,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1
Ether-substituted alkyne,Sonogashira,halogenation_aromatic,Aromatic Halogenation,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1
Indole substrate,Sonogashira,sonogashira|halogenation_aromatic,Sonogashira|Aromatic Halogenation,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1
Simple styrene,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1ccccc1.C=C>>C(=Cc1ccccc1)
Acrylate,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1
Acrylonitrile,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1
Methyl acrylate,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1
Naphthyl iodide,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1)
Thiophene + acrylamide,Heck,buchwald_hartwig|heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Buchwald-Hartwig|Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1
Electron-poor chloride,Heck,heck|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1
Ph-Ph,Negishi,negishi|halogenation_aromatic,Negishi|Aromatic Halogenation,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Negishi,heck|negishi|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Negishi|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1
CF3 substrate,Negishi,negishi|halogenation_aromatic,Negishi|Aromatic Halogenation,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1
Alkyl zinc + ArCl,Negishi,negishi|halogenation_aromatic,Negishi|Aromatic Halogenation,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1
Ph-Ph,Kumada,kumada|halogenation_aromatic,Kumada|Aromatic Halogenation,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1
Vinyl pyridine,Kumada,heck|kumada|epoxidation|halogenation_aromatic|ring_closing_metathesis,Heck|Kumada|Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1
Alkyl Grignard,Kumada,kumada|halogenation_aromatic,Kumada|Aromatic Halogenation,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1
Activated ArCl,Kumada,kumada|halogenation_aromatic,Kumada|Aromatic Halogenation,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1
Diphenylamine,Buchwald-Hartwig,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Pyridine ethylamine,Buchwald-Hartwig,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1ccncc1.NCC>>CCNc1ccncc1
Cyclohexylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1
Aldehyde substrate,BuchwaldâHartwig amination,buchwald_hartwig|reductive_amination|halogenation_aromatic,Buchwald-Hartwig|Reductive Amination|Aromatic Halogenation,Ic1ccc(C=O)cc1.Nc1ccccc1>>O=Cc1ccc(Nc2ccccc2)cc1
Naphthylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc2ccccc2c1.NCC>>CCNc1ccc2ccccc2c1
Benzimidazole,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1nc2ccccc2[nH]1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2[nH]1
Ph-Br + aniline â?diphenylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Ph-Cl + aniline â?diphenylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Ph-I + aniline â?diphenylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Ic1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
4-MeO-Ph-Br + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(OC)cc1.Nc1ccccc1>>COc1ccc(Nc2ccccc2)cc1
4-Me-Ph-Br + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(C)cc1.Nc1ccccc1>>Cc1ccc(Nc2ccccc2)cc1
4-CF3-Ph-Br + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
4-CN-Ph-Br + aniline,BuchwaldâHartwig amination,snar_cn|buchwald_hartwig|halogenation_aromatic,SNAr C-N|Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(C#N)cc1.Nc1ccccc1>>N#Cc1ccc(Nc2ccccc2)cc1
4-NO2-Ph-Br + aniline,BuchwaldâHartwig amination,snar_cn|buchwald_hartwig|halogenation_aromatic|reduction_nitro,SNAr C-N|Buchwald-Hartwig|Aromatic Halogenation|Nitro Reduction,Brc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(Nc2ccccc2)cc1
4-acetyl-Ph-Br + aniline,BuchwaldâHartwig amination,buchwald_hartwig|reductive_amination|halogenation_aromatic,Buchwald-Hartwig|Reductive Amination|Aromatic Halogenation,Brc1ccc(C(=O)C)cc1.Nc1ccccc1>>CC(=O)c1ccc(Nc2ccccc2)cc1
4-F-Ph-Br + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc(F)cc1.Nc1ccccc1>>Fc1ccc(Nc2ccccc2)cc1
4-Cl-pyridine + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
4-Br-pyridine + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
3-Cl-pyridine + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1cccnc1.Nc1ccccc1>>c1ccccc1Nc1cccnc1
2-Br-pyrimidine + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1cnccn1.Nc1ccccc1>>c1ccccc1Nc1cnccn1
4-Cl-quinoline + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1cccc2ncccc12.Nc1ccccc1>>c1ccccc1Nc1cccc2ncccc12
5-Br-indole + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccc2[nH]ccc2c1.Nc1ccccc1>>c1ccccc1Nc1ccc2[nH]ccc2c1
3-Br-furan + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccco1.Nc1ccccc1>>c1ccccc1Nc1ccco1
2-Cl-thiophene + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Clc1cccs1.Nc1ccccc1>>c1ccccc1Nc1cccs1
2-Br-4-methylpyrimidine + aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1cnc(C)cn1.Nc1ccccc1>>Cc1cnc(Nc2ccccc2)cn1
Ph-Br + 4-methylaniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccc(C)cc1>>Cc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-methoxyaniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccc(OC)cc1>>COc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-fluoroaniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1
Ph-Br + 4-CF3-aniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
Ph-Br + 3-methylaniline,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1cccc(C)c1>>Cc1cccc(Nc2ccccc2)c1
"Ph-Br + 3,5-dimethylaniline",BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.Nc1cc(C)cc(C)c1>>Cc1cc(C)cc(Nc2ccccc2)c1
Ph-Br + methylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.CN>>CNc1ccccc1
Ph-Br + ethylamine,BuchwaldâHartwig amination,buchwald_hartwig|halogenation_aromatic,Buchwald-Hartwig|Aromatic Halogenation,Brc1ccccc1.CCN>>CCNc1ccccc1
