index,reaction_smiles,detected_reaction_types,product_motifs,rxn_match_count,reactant_1_motifs,reactant_2_motifs,reactant_3_motifs,reactant_4_motifs
19,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1,suzuki_miyaura,Ar-Ar|Ar-CN,1,Ar-CN|Ar-Cl,Ar-B(OH)2,,
20,Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
21,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1,suzuki_miyaura,Ar-Ar|Ar-Ester|AromN-H,1,Ar-Ester|Ar-I,Ar-B(OH)2|AromN-H,,
22,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
23,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1,suzuki_miyaura,Ar-Ar|AromN-H,1,Ar-Cl|AromN-H,Ar-B(OH)2,,
24,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1,suzuki_miyaura,Ar-Ar|Ar-R,1,Ar-Br,Ar-B(OH)2|Ar-R,,
25,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1,suzuki_miyaura,Ar-Ar|Ar-OR,1,Ar-I,Ar-B(OH)2|Ar-OR,,
26,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
27,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1,suzuki_miyaura,Ar-Ar|Ar-R,1,Ar-Br|Ar-R,Ar-B(OH)2,,
28,Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1,suzuki_miyaura,Ar-Ar|Ar-OR|Ar-R,1,Ar-Cl|Ar-R,Ar-B(OH)2|Ar-OR,,
29,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C,suzuki_miyaura,Ar-Ar|Ar-R|RCH2-OR,1,Ar-Br|RCH2-OR,Ar-B(OH)2|Ar-R,,
30,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-F,2,Ar-Br|Ar-F,Ar-B(OH)2,,
31,Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-Cl,2,Ar-Br|Ar-Cl,Ar-B(OH)2,,
32,Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,suzuki_miyaura,Ar-Ar|Ar-NO2,1,Ar-Br|Ar-NO2,Ar-B(OH)2,,
33,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-Ester,1,Ar-Br|Ar-Ester,Ar-B(OH)2,,
34,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1,"buchwald_hartwig,chan_lam_cn,suzuki_miyaura",Ar-Ar|Ar-Carbamate|Ar-NHR,3,Ar-Carbamate|Ar-I|Ar-NHR,Ar-B(OH)2,,
35,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1,suzuki_miyaura,Any-OR|Ar-Ar|R-Si,1,Any-OR|Ar-Br|R-Si,Ar-B(OH)2,,
36,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1,"heck,suzuki_miyaura,ring_closing_metathesis",Ar-CHCH2,3,Ar-Br,Alkenyl-B(OH)2,,
37,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1,ring_closing_metathesis,Ar-Alkenyl|Ar-CHO,1,Ar-CHO|Ar-I,Alkenyl-B(OH)2,,
38,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1,ring_closing_metathesis,Ar-Alkenyl,1,Ar-Br,Alkenyl-B(OH)2,,
39,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1,,Ar-Alkyne|Ar-CCH|Ar-OR,0,Ar-Br|Ar-OR,Any-B(OH)2,,
40,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1,suzuki_miyaura,Ar-Ar|Ar-R|RCH2-CO2H,1,Ar-Br|Ar-R|RCH2-CO2H,Ar-B(OH)2,,
41,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,,Ar-BF3K,
42,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,suzuki_miyaura,Ar-Ar|Ar-OR|Ar-R|R-F,1,Ar-Cl|Ar-R|R-F,,Ar-BF3K|Ar-OR,
43,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
44,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1,,Ar-R,0,Ar-R|R-Br,Ar-B(OH)2,,
45,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1,stille,Ar-Ar,1,Ar-Br,Ar-Sn,,
46,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1,"heck,stille,ring_closing_metathesis",Ar-CHCH2,3,Ar-I,Alkenyl-Sn,,
47,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1,sonogashira,Ar-Alkynyl,1,Ar-Br,Ar-Alkyne|Ar-CCH,,
48,Ic1ccncc1.C#CC>>C#Cc1ccncc1,,Ar-Alkyne|Ar-CCH,0,Ar-I,R-CCH,,
49,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1,sonogashira,Ar-Alkynyl|Ar-CN,1,Ar-CN|Ar-Cl,R-CCH,,
50,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1,sonogashira,Ar-Alkynyl|Ar-OR,1,Ar-Br|Ar-OR,Ar-Alkyne|Ar-CCH,,
51,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>CC(C)(C)[Si]C#Cc1ccc(C(F)(F)F)cc1,,Alkynyl-Si|Ar-Alkynyl|Ar-R|R-F|R-Si,0,Ar-I|Ar-R|R-F,Alkynyl-Si|R-Si,,
52,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1,sonogashira,Ar-Alkynyl,1,Ar-Br,Ar-Alkyne|Ar-CCH,,
53,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1,sonogashira,Ar-Alkynyl|R2CH-OR,1,Ar-Cl,Propargyl-H|R-CCH|RCH2-OR,,
54,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1,,Ar-Alkyne|Ar-CCH|AromN-H,0,Ar-Br|AromN-H,R-CCH,,
55,Brc1ccccc1.C=C>>C(=Cc1ccccc1),"heck,ring_closing_metathesis",Ar-CHCH2,2,Ar-Br,Alkenyl-H,,
56,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1,ring_closing_metathesis,Alkenyl-Ester|Ar-Alkenyl|Ar-CHO,1,Ar-CHO|Ar-I,Alkenyl-Ester,,
57,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1,ring_closing_metathesis,Alkenyl-CN|Ar-Alkenyl,1,Ar-Br,Alkenyl-CN,,
58,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1,ring_closing_metathesis,Alkenyl-Ester|Ar-Alkenyl|Ar-OR,1,Ar-Br|Ar-OR,Alkenyl-Ester,,
59,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1),"heck,ring_closing_metathesis",Ar-CHCH2,2,Ar-I,Alkenyl-H,,
60,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1,ring_closing_metathesis,Any-CONH2|Any-NH2|Ar-Alkenyl,1,Ar-Br,Any-CONH2|Any-NH2,,
61,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1,"heck,ring_closing_metathesis",Ar-CHCH2|Ar-CN,2,Ar-CN|Ar-Cl,Alkenyl-H,,
62,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1,negishi,Ar-Ar,1,Ar-Br,Ar-Zn,,
63,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1,"heck,negishi,ring_closing_metathesis",Ar-CHCH2,3,Ar-I,Alkenyl-Zn,,
64,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,negishi,Ar-Ar|Ar-R|R-F,1,Ar-Br|Ar-R|R-F,Ar-Zn,,
65,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1,,Ar-CN|Ar-R,0,Ar-CN|Ar-Cl,R-Zn,,
66,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1,kumada,Ar-Ar,1,Ar-Br,Ar-Mg,,
67,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1,"heck,kumada,ring_closing_metathesis",Ar-CHCH2,3,Ar-I,Alkenyl-Mg,,
68,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1,,Ar-OR|Ar-R,0,Ar-Br|Ar-OR,R-Mg,,
69,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1,kumada,Ar-Ar|Ar-CN,1,Ar-CN|Ar-Cl,Ar-Mg,,
70,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
71,Clc1ccncc1.NCC>>CCNc1ccncc1,,RCH2-NHR,0,Ar-Cl,RCH2-NH2,,
72,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1,,Ar-R|R-F|R2CH-NHR,0,Ar-Br|Ar-R|R-F,R2CH-NH2,,
73,Ic1ccc(C=O)cc1.Nc1ccccc1>>O=Cc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,reductive_amination",Ar-CHO|Ar-NHR,2,Ar-CHO|Ar-I,Ar-NH2,,
74,Brc1ccc2ccccc2c1.NCC>>CCNc1ccc2ccccc2c1,,RCH2-NHR,0,Ar-Br,RCH2-NH2,,
75,Clc1nc2ccccc2[nH]1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2[nH]1,buchwald_hartwig,Ar-NHR|AromN-H,1,Ar-Cl|AromN-H,Ar-NH2,,
76,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
77,Clc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
78,Ic1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR,1,Ar-I,Ar-NH2,,
79,Brc1ccc(OC)cc1.Nc1ccccc1>>COc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-OR,1,Ar-Br|Ar-OR,Ar-NH2,,
80,Brc1ccc(C)cc1.Nc1ccccc1>>Cc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br|Ar-R,Ar-NH2,,
81,Brc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-R|R-F,1,Ar-Br|Ar-R|R-F,Ar-NH2,,
82,Brc1ccc(C#N)cc1.Nc1ccccc1>>N#Cc1ccc(Nc2ccccc2)cc1,"snar_cn,buchwald_hartwig",Ar-CN|Ar-NHR,2,Ar-Br|Ar-CN,Ar-NH2,,
83,Brc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(Nc2ccccc2)cc1,"snar_cn,buchwald_hartwig",Ar-NHR|Ar-NO2,2,Ar-Br|Ar-NO2,Ar-NH2,,
84,Brc1ccc(C(=O)C)cc1.Nc1ccccc1>>CC(=O)c1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,reductive_amination",Any-CO-R|Ar-NHR,2,Any-CO-R|Ar-Br,Ar-NH2,,
85,Brc1ccc(F)cc1.Nc1ccccc1>>Fc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,halogenation_aromatic",Ar-F|Ar-NHR,2,Ar-Br|Ar-F,Ar-NH2,,
86,Clc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
87,Brc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
88,Clc1cccnc1.Nc1ccccc1>>c1ccccc1Nc1cccnc1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
89,Brc1cnccn1.Nc1ccccc1>>c1ccccc1Nc1cnccn1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
90,Clc1cccc2ncccc12.Nc1ccccc1>>c1ccccc1Nc1cccc2ncccc12,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
91,Brc1ccc2[nH]ccc2c1.Nc1ccccc1>>c1ccccc1Nc1ccc2[nH]ccc2c1,buchwald_hartwig,Ar-NHR|AromN-H,1,Ar-Br|AromN-H,Ar-NH2,,
92,Brc1ccco1.Nc1ccccc1>>c1ccccc1Nc1ccco1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
93,Clc1cccs1.Nc1ccccc1>>c1ccccc1Nc1cccs1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
94,Brc1cnc(C)cn1.Nc1ccccc1>>Cc1cnc(Nc2ccccc2)cn1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br|Ar-R,Ar-NH2,,
95,Brc1ccccc1.Nc1ccc(C)cc1>>Cc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br,Ar-NH2|Ar-R,,
96,Brc1ccccc1.Nc1ccc(OC)cc1>>COc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-OR,1,Ar-Br,Ar-NH2|Ar-OR,,
97,Brc1ccccc1.Nc1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,halogenation_aromatic",Ar-F|Ar-NHR,2,Ar-Br,Ar-F|Ar-NH2,,
98,Brc1ccccc1.Nc1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Ar-NHR|Ar-R|R-F,1,Ar-Br,Ar-NH2|Ar-R|R-F,,
99,Brc1ccccc1.Nc1cccc(C)c1>>Cc1cccc(Nc2ccccc2)c1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br,Ar-NH2|Ar-R,,
100,Brc1ccccc1.Nc1cc(C)cc(C)c1>>Cc1cc(C)cc(Nc2ccccc2)c1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br,Ar-NH2|Ar-R,,
101,Brc1ccccc1.CN>>CNc1ccccc1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Any-NH2,,
102,Brc1ccccc1.CCN>>CCNc1ccccc1,,RCH2-NHR,0,Ar-Br,RCH2-NH2,,
103,Brc1ccccc1.CCCN>>CCCNc1ccccc1,,RCH2-NHR,0,Ar-Br,RCH2-NH2,,
104,Brc1ccccc1.CC(C)N>>CC(C)Nc1ccccc1,,R2CH-NHR,0,Ar-Br,R2CH-NH2,,
105,Brc1ccccc1.CC(C)(C)N>>CC(C)(C)Nc1ccccc1,,R3C-NHR,0,Ar-Br,R3C-NH2,,
106,Brc1ccccc1.NCc1ccccc1>>c1ccccc1CNc1ccccc1,,Bn-NHR,0,Ar-Br,Bn-NH2,,
107,Brc1ccccc1.NCCOC>>COCCNc1ccccc1,,RCH2-NHR|RCH2-OR,0,Ar-Br,RCH2-NH2|RCH2-OR,,
108,Brc1ccncc1.NCCC>>CCCNc1ccncc1,,RCH2-NHR,0,Ar-Br,RCH2-NH2,,
109,Clc1ccc(C#N)cc1.CC(C)N>>CC(C)Nc1ccc(C#N)cc1,,Ar-CN|R2CH-NHR,0,Ar-CN|Ar-Cl,R2CH-NH2,,
110,Brc1ccccc1.CCNCC>>CCN(CC)c1ccccc1,,RCH2-NR2,0,Ar-Br,RCH2-NHR,,
111,Brc1ccccc1.N1CCCC1>>c1ccccc1N1CCCC1,,RCH2-NR2,0,Ar-Br,RCH2-NHR,,
112,Brc1ccccc1.N1CCCCC1>>c1ccccc1N1CCCCC1,,RCH2-NR2,0,Ar-Br,RCH2-NHR,,
113,Brc1ccccc1.N1CCOCC1>>c1ccccc1N1CCOCC1,,RCH2-NR2|RCH2-OR,0,Ar-Br,RCH2-NHR|RCH2-OR,,
114,Brc1ccccc1.N1CCN(C)CC1>>CN1CCN(c2ccccc2)CC1,,RCH2-NR2,0,Ar-Br,RCH2-NHR|RCH2-NR2,,
115,Brc1ccccc1.N1CCC(O)CC1>>OC1CCN(c2ccccc2)CC1,,R2CH-OH|RCH2-NR2,0,Ar-Br,R2CH-OH|RCH2-NHR,,
116,Brc1ccccc1.N1Cc2ccccc2C1>>c1ccccc1N1Cc2ccccc2C1,,Bn-NR2,0,Ar-Br,Bn-NHR,,
117,Brc1ccncc1.N1CCCC1>>c1ccncc1N1CCCC1,,RCH2-NR2,0,Ar-Br,RCH2-NHR,,
118,Clc1ccc(C(F)(F)F)cc1.N1CCOCC1>>FC(F)(F)c1ccc(N2CCOCC2)cc1,,Ar-R|R-F|RCH2-NR2|RCH2-OR,0,Ar-Cl|Ar-R|R-F,RCH2-NHR|RCH2-OR,,
119,Brc1ccc(OC)cc1.N1CCCCC1>>COc1ccc(N2CCCCC2)cc1,,Ar-OR|RCH2-NR2,0,Ar-Br|Ar-OR,RCH2-NHR,,
120,Brc1ccc(Br)cc1.Nc1ccccc1>>c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
121,Brc1ccccc1C.Nc1ccccc1>>Cc1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR|Ar-R,1,Ar-Br|Ar-R,Ar-NH2,,
122,Brc1ccccc1OC.Nc1ccccc1>>COc1ccccc1Nc1ccccc1,buchwald_hartwig,Ar-NHR|Ar-OR,1,Ar-Br|Ar-OR,Ar-NH2,,
123,Brc1ccccc1C(=O)C.Nc1ccccc1>>CC(=O)c1ccccc1Nc1ccccc1,"buchwald_hartwig,reductive_amination",Any-CO-R|Ar-NHR,2,Any-CO-R|Ar-Br,Ar-NH2,,
124,Clc1ccc2nc(Cl)ccc2c1.Nc1ccccc1>>c1ccc(Nc2ccc3cc(Nc4ccccc4)ccc3n2)cc1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
125,Brc1ccc2c(c1)OCO2.Nc1ccccc1>>c1ccc(Nc2ccc3c(c2)OCO3)cc1,buchwald_hartwig,Ar-NHR|RCH2-OR,1,Ar-Br|RCH2-OR,Ar-NH2,,
126,Clc1nc2ccccc2s1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2s1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
127,Brc1nc2ccccc2o1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2o1,buchwald_hartwig,Ar-NHR,1,Ar-Br,Ar-NH2,,
128,Clc1cnc2ccccc2n1.Nc1ccccc1>>c1ccccc1Nc1cnc2ccccc2n1,buchwald_hartwig,Ar-NHR,1,Ar-Cl,Ar-NH2,,
129,Brc1ccccc1.c1cc[nH]c1>>c1ccccc1n1cccc1,,Ar-H,0,Ar-Br,AromN-H,,
130,Brc1ccc(C)cc1.c1cc[nH]c1>>Cc1ccc(n2cccc2)cc1,,Ar-R,0,Ar-Br|Ar-R,AromN-H,,
131,Clc1ccc(C#N)cc1.c1cc[nH]c1>>N#Cc1ccc(n2cccc2)cc1,,Ar-CN,0,Ar-CN|Ar-Cl,AromN-H,,
132,Brc1ccccc1.c1ccc2[nH]ccc2c1>>c1ccc2c(c1)ccn2c1ccccc1,,Ar-H,0,Ar-Br,AromN-H,,
133,Brc1ccc(OC)cc1.c1ccc2[nH]ccc2c1>>COc1ccc(n2ccc3ccccc32)cc1,,Ar-OR,0,Ar-Br|Ar-OR,AromN-H,,
134,Clc1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21,,Ar-H,0,Ar-Cl,AromN-H,,
135,Brc1ccc(C(F)(F)F)cc1.c1ccc2[nH]ccc2c1>>FC(F)(F)c1ccc(n2ccc3ccccc32)cc1,,Ar-R|R-F,0,Ar-Br|Ar-R|R-F,AromN-H,,
136,Ic1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21,,Ar-H,0,Ar-I,AromN-H,,
137,Brc1ccccc1.c1c[nH]nc1>>c1ccccc1n1ccnc1,,Ar-H,0,Ar-Br,AromN-H,,
138,Brc1ccc(Cl)cc1.c1c[nH]nc1>>Clc1ccc(n2ccnc2)cc1,halogenation_aromatic,Ar-Cl,1,Ar-Br|Ar-Cl,AromN-H,,
139,Brc1ccncc1.c1c[nH]nc1>>c1ccncc1n1ccnc1,,Ar-H,0,Ar-Br,AromN-H,,
