index,name,smiles,detected_motifs,motif_count
41,Ethyl bromide,CCBr,R-Br,1
42,Ethyl chloride,CCCl,R-Cl,1
43,Ethyl iodide,CCI,R-I,1
44,Isopropyl bromide,CC(C)Br,R-Br,1
45,tert-Butyl bromide,CC(C)(C)Br,R-Br,1
46,Benzyl bromide,BrCc1ccccc1,Bn-Br,1
47,2-Phenylethyl bromide,C(Br)Cc1ccccc1,Ar-R|R-Br,2
48,4-Bromo-1-butene,C=CCCBr,Any-CHCH2|R-Br|R-CHCH2,3
49,3-Bromo-2-methylpropene (allylic),C=C(C)CBr,R-Br,1
50,Neopentyl bromide,CC(C)(C)CBr,R-Br,1
51,Phenylboronic acid,c1ccc(B(O)O)cc1,Ar-B(OH)2,1
52,4-Methoxyphenylboronic acid,COc1ccc(B(O)O)cc1,Ar-B(OH)2|Ar-OR,2
53,4-Cyanophenylboronic acid,N#Cc1ccc(B(O)O)cc1,Ar-B(OH)2|Ar-CN,2
54,Phenylboronic acid pinacol ester,c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,Ar-Bpin,1
55,Potassium phenyltrifluoroborate,c1ccc([B-](F)(F)F)cc1.[K+],Ar-BF3K,1
56,Vinylboronic acid,C=CB(O)O,Alkenyl-B(OH)2,1
57,(E)-Propenylboronic acid,C/C=C/B(O)O,Alkenyl-B(OH)2,1
58,Ethylboronic acid,CCB(O)O,R-B(OH)2,1
59,Pyridine-4-boronic acid,c1ccncc1B(O)O,Ar-B(OH)2,1
60,Furan-2-boronic acid,c1coc(B(O)O)c1,Ar-B(OH)2,1
61,Thiophene-2-boronic acid,c1csc(B(O)O)c1,Ar-B(OH)2,1
62,Aniline,c1ccc(N)cc1,Ar-NH2,1
63,Ethylamine,CCN,Any-NH2,1
64,Isopropylamine,CC(C)N,Any-NH2,1
65,tert-Butylamine,CC(C)(C)N,Any-NH2,1
66,N-Methylethylamine,CCNC,Any-NHR,1
67,N-Methylaniline,c1ccc(NC)cc1,Ar-NHR,1
68,"N,N-Dimethylaniline",c1ccc(N(C)C)cc1,Ar-NR2,1
69,4-Methoxyaniline,COc1ccc(N)cc1,Ar-NH2|Ar-OR,2
70,4-Aminobenzonitrile,N#Cc1ccc(N)cc1,Ar-CN|Ar-NH2,2
71,4-Aminopyridine,Nc1ccncc1,Ar-NH2,1
72,Indole,c1ccc2[nH]ccc2c1,AromN-H,1
73,3-Aminopyrrole,c1c[nH]c(N)c1,Ar-NH2|AromN-H,2
74,2-Methylaniline,Nc1ccccc1C,Ar-NH2|Ar-R,2
75,"3,5-Dimethylaniline",Nc1cc(C)cc(C)c1,Ar-NH2|Ar-R,2
76,Benzylamine,NCc1ccccc1,Bn-NH2,1
77,Phenol,c1ccc(O)cc1,Ar-OH,1
78,Ethanol,CCO,RCH2-OH,1
79,Isopropanol,CC(C)O,R2CH-OH,1
80,tert-Butanol,CC(C)(C)O,R3C-OH,1
81,4-Methoxyphenol,COc1ccc(O)cc1,Ar-OH|Ar-OR,2
82,4-Hydroxybenzonitrile,N#Cc1ccc(O)cc1,Ar-CN|Ar-OH,2
83,Benzyl alcohol,OCc1ccccc1,Bn-OH,1
84,4-Hydroxypyridine,Oc1ccncc1,Ar-OH,1
85,Thiophenol,c1ccc(S)cc1,Any-SR,1
86,Ethanethiol,CCS,Any-SR,1
87,2-Propanethiol,CC(C)S,Any-SR,1
88,Thioanisole,CSc1ccccc1,Ar-SR,1
89,Acetylene,C#C,Alkynyl-H,1
90,Phenylacetylene,C#Cc1ccccc1,Ar-Alkyne|Ar-CCH,2
91,"3,3-Dimethylbut-1-yne",C#CC(C)(C)C,R-CCH,1
92,Trimethylsilylacetylene,C#C[Si](C)(C)C,Alkynyl-Si|R-Si,2
93,Methyl propargyl ether,C#CCOC,Any-OR|Propargyl-H|R-CCH,3
94,4-Ethynylpyridine,C#Cc1ccncc1,Ar-Alkyne|Ar-CCH,2
95,Phenylmagnesium bromide,[Mg]Brc1ccccc1,Ar-Br,1
96,Ethylmagnesium bromide,CC[Mg]Br,R-Mg,1
97,Phenylzinc chloride,Cl[Zn]c1ccccc1,Ar-Zn*,1
98,Ethylzinc bromide,CC[Zn]Br,R-Zn,1
99,Phenyltrimethylstannane,c1ccc([Sn](C)(C)C)cc1,Ar-Sn*,1
100,Vinyltrimethylstannane,C=C[Sn](C)(C)C,Alkenyl-Sn,1
101,4-Bromophenylboronic acid,Brc1ccc(B(O)O)cc1,Ar-B(OH)2|Ar-Br,2
102,4-Bromoaniline,Brc1ccc(N)cc1,Ar-Br|Ar-NH2,2
103,4-Bromophenol,Brc1ccc(O)cc1,Ar-Br|Ar-OH,2
104,4-Bromophenylacetylene,Brc1ccc(C#C)cc1,Ar-Alkyne|Ar-Br|Ar-CCH,3
105,"1,4-Dibromobenzene",Brc1ccc(Br)cc1,Ar-Br,1
106,"1,4-Phenylenediamine",Nc1ccc(N)cc1,Ar-NH2,1
107,4-Bromo-N-Boc-aniline,Brc1ccc(NC(=O)OC(C)(C)C)cc1,Ar-Br|Ar-Carbamate|Ar-NHR,3
108,4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,Any-OR|Ar-Br|R-Si,3
109,Methyl 4-bromobenzoate,Brc1ccc(C(=O)OC)cc1,Ar-Br|Ar-Ester,2
110,4-Bromobenzaldehyde,Brc1ccc(C=O)cc1,Ar-Br|Ar-CHO,2
111,Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,Ar-Br|Ar-R,2
112,4-Bromo-tert-butylbenzene,Brc1ccc(C(C)(C)C)cc1,Ar-Br|Ar-R,2
113,tert-Butylamine,CC(C)(C)N,Any-NH2,1
114,4-tert-Butylaniline,CC(C)(C)c1ccc(N)cc1,Ar-NH2|Ar-R,2
115,4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,Ar-Br|Ar-NO2,2
116,"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,Ar-Br|Ar-NR2,2
117,"1-Bromo-2,3,4,5-tetramethoxybenzene",COc1cc(OC)c(Br)c(OC)c1OC,Ar-Br|Ar-OR,2
118,Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,Ar-Br|Ar-F,2
119,"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,Ar-Br,1
120,Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,Ar-Br|Ar-F,2
121,"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,Ar-Cl,1
122,"2,6-Dichloro-iodobenzene",Ic1c(Cl)cccc1Cl,Ar-Cl|Ar-I,2
123,2-tert-Butylbromobenzene,Brc1ccccc1C(C)(C)C,Ar-Br|Ar-R,2
124,"3,5-Diisopropylchlorobenzene",Clc1cc(C(C)C)ccc1C(C)C,Ar-Cl|Ar-R,2
125,"2,6-Dimethoxyiodobenzene",Ic1c(OC)cccc1OC,Ar-I|Ar-OR,2
126,Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,Ar-Br|Ar-R,2
127,4-Iodo-N-Boc-aniline,Ic1ccc(NC(=O)OC(C)(C)C)cc1,Ar-Carbamate|Ar-I|Ar-NHR,3
128,4-Bromo-N-Cbz-aniline,Brc1ccc(NC(=O)OCc2ccccc2)cc1,Ar-Br|Ar-Carbamate|Ar-NHR|Ar-R,4
129,4-Chloro-N-Fmoc-aniline,Clc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,Ar-Ar|Ar-Carbamate|Ar-Cl|Ar-NHR|Ar-R,5
130,4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,Any-OR|Ar-Br|R-Si,3
131,4-Iodo-TIPS-phenol,Ic1ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc1,Any-OR|Ar-I|R-Si,3
132,4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,Ar-Br|Ar-NO2,2
133,4-Chlorobenzonitrile,Clc1ccc(C#N)cc1,Ar-CN|Ar-Cl,2
134,"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,Ar-Br|Ar-NR2,2
135,4-Iodoanisole,Ic1ccc(OC)cc1,Ar-I|Ar-OR,2
136,2-Bromophenyl diphenylphosphine,Brc1ccccc1P(c2ccccc2)c2ccccc2,Any-Phosphino|Ar-Br,2
137,Phenylalanine,NC(Cc1ccccc1)C(=O)O,Any-CO2H|Any-NH2|Ar-R,3
138,Triphenylphosphine,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Any-Phosphino,1
139,"1,8-Bis(dimethylphosphino)naphthalene",c1ccc2c(c1)c(P(C)C)ccc2P(C)C,Any-Phosphino,1
140,Ethane,CC,R-H,1
141,Anthracene,c1ccc2cc3ccccc3cc2c1,Ar-H,1
142,Coronene,c1ccc2cc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,Ar-Ar,1
143,2-Bromonaphthalene,Brc1ccc2ccccc2c1,Ar-Br,1
144,9-Chloroanthracene,Clc1ccc2c3ccccc3ccc2c1,Ar-Cl,1
145,Spiro[5.5]undecane,C1CCC2(CC1)CCCC2,R-H,1
146,"6-Bromo-spiro[chroman-2,1'-cyclohexane]",Brc1ccc2c(c1)C1(CCCC1)CCCC2,Ar-Br|Ar-R,2
147,(S)-Alanine,C[C@H](N)C(=O)O,Any-CO2H|Any-NH2,2
148,"(2R,3R)-Butane-2,3-diol",C[C@H](O)[C@H](C)O,R2CH-OH,1
149,"(1R,3R,5S)-1,3,5-Trimethylcyclohexane",C[C@H]1CC[C@@H](C)C[C@H]1C,R-H,1
150,(R)-Bromochlorofluoromethane,Br[C@H](Cl)F,R-Br|R-Cl|R-F,3
151,"2,4,5,6-Tetrachlorobromobenzene",Clc1cc(Cl)c(Br)c(Cl)c1,Ar-Br|Ar-Cl,2
152,4-Bromo-N-benzoylaniline,Brc1ccc(NC(=O)c2ccccc2)cc1,Ar-Br|Ar-CONHR|Ar-NHR,3
153,"(1S,2R,5S)-1,2,5-Trimethylcyclohexane",C[C@@H]1CCC[C@@H](C)[C@@H]1C,R-H,1
