reaction_type,example,rxn_smiles
Suzuki,Trifluoromethyl aryl chloride + pyrimidine boronate,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1
Suzuki,Chloropyridyl boronic acid with aryl bromide,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1
Suzuki,Bis-coupling to biphenyl,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
Suzuki,Meta-dibromobenzene,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1
Suzuki,Pyrimidine-5-boronic acid,Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1
Suzuki,Furan-2-boronic acid,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1
Suzuki,Thiophene-2-boronic acid,Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1
Suzuki,Pyrrole-3-boronic acid,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1
Suzuki,3-Bromoquinoxaline,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1
Suzuki,4-Chloroindole + pyridine boronic acid,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1
Suzuki,2-Bromobenzothiazole,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1
Suzuki,2-Iodobenzoxazole,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1
Suzuki,Benzothiadiazole,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1
Suzuki,2-Isopropyl-bromobenzene,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1
Suzuki,"2,6-Dimethyl-chlorobenzene",Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1
Suzuki,Ortho-ethoxy + ortho-methyl,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C
Suzuki,Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F
Suzuki,"3,5-Dichloro-bromobenzene",Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1
Suzuki,"2,5-Dinitro-bromobenzene",Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
Suzuki,Ethyl ester protected,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1
Suzuki,Boc-protected amine,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1
Suzuki,TBS-protected phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1
Suzuki,Vinylboronic acid to styrene,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1
Suzuki,(E)-Propenylboronic acid,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1
Suzuki,Isopropenylboronic acid,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1
Suzuki,Ethynylboronic acid,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1
Suzuki,Macrocyclization precursor,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1
Suzuki,Potassium phenyltrifluoroborate,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1
Suzuki,BF3K + ArCl,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1
Suzuki,Pyridine N-oxide,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1
Suzuki,Cyclopropyl bromide,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1
Stille,Ph-Ph,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1
Stille,Vinyl pyridine,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1
Sonogashira,Diphenylacetylene,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1
Sonogashira,Pyridine acetylene,Ic1ccncc1.C#CC>>C#Cc1ccncc1
Sonogashira,tert-butyl,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1
Sonogashira,Electron-rich ArBr,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1
Sonogashira,TMS-acetylene,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>C[Si](C)(C)C#Cc2ccc(C(F)(F)F)cc2
Sonogashira,Thiophene coupling,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1
Sonogashira,Ether-substituted alkyne,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1
Sonogashira,Indole substrate,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1
Heck,Simple styrene,Brc1ccccc1.C=C>>C(=Cc1ccccc1)
Heck,Acrylate,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1
Heck,Acrylonitrile,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1
Heck,Methyl acrylate,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1
Heck,Naphthyl iodide,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1)
Heck,Thiophene + acrylamide,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1
Heck,Electron-poor chloride,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1
Negishi,Ph-Ph,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1
Negishi,Vinyl pyridine,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1
Negishi,CF3 substrate,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1
Negishi,Alkyl zinc + ArCl,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1
Kumada,Ph-Ph,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1
Kumada,Vinyl pyridine,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1
Kumada,Alkyl Grignard,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1
Kumada,Activated ArCl,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1
Buchwald-Hartwig,Diphenylamine,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Buchwald-Hartwig,Pyridine ethylamine,Clc1ccncc1.NCC>>CCNc1ccncc1
Buchwald-Hartwig amination,Cyclohexylamine,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1
Buchwald-Hartwig amination,Aldehyde substrate,Ic1ccc(C=O)cc1.Nc1ccccc1>>O=Cc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,Naphthylamine,Brc1ccc2ccccc2c1.NCC>>CCNc1ccc2ccccc2c1
Buchwald-Hartwig amination,Benzimidazole,Clc1nc2ccccc2[nH]1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2[nH]1
Buchwald-Hartwig amination,Ph-Br + aniline diphenylamine,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,Ph-Cl + aniline diphenylamine,Clc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,Ph-I + aniline diphenylamine,Ic1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,4-MeO-Ph-Br + aniline,Brc1ccc(OC)cc1.Nc1ccccc1>>COc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-Me-Ph-Br + aniline,Brc1ccc(C)cc1.Nc1ccccc1>>Cc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-CF3-Ph-Br + aniline,Brc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-CN-Ph-Br + aniline,Brc1ccc(C#N)cc1.Nc1ccccc1>>N#Cc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-NO2-Ph-Br + aniline,Brc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-acetyl-Ph-Br + aniline,Brc1ccc(C(=O)C)cc1.Nc1ccccc1>>CC(=O)c1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-F-Ph-Br + aniline,Brc1ccc(F)cc1.Nc1ccccc1>>Fc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-Cl-pyridine + aniline,Clc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
Buchwald-Hartwig amination,4-Br-pyridine + aniline,Brc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1
Buchwald-Hartwig amination,3-Cl-pyridine + aniline,Clc1cccnc1.Nc1ccccc1>>c1ccccc1Nc1cccnc1
Buchwald-Hartwig amination,2-Br-pyrimidine + aniline,Brc1cnccn1.Nc1ccccc1>>c1ccccc1Nc1cnccn1
Buchwald-Hartwig amination,4-Cl-quinoline + aniline,Clc1cccc2ncccc12.Nc1ccccc1>>c1ccccc1Nc1cccc2ncccc12
Buchwald-Hartwig amination,5-Br-indole + aniline,Brc1ccc2[nH]ccc2c1.Nc1ccccc1>>c1ccccc1Nc1ccc2[nH]ccc2c1
Buchwald-Hartwig amination,3-Br-furan + aniline,Brc1ccco1.Nc1ccccc1>>c1ccccc1Nc1ccco1
Buchwald-Hartwig amination,2-Cl-thiophene + aniline,Clc1cccs1.Nc1ccccc1>>c1ccccc1Nc1cccs1
Buchwald-Hartwig amination,2-Br-4-methylpyrimidine + aniline,Brc1cnc(C)cn1.Nc1ccccc1>>Cc1cnc(Nc2ccccc2)cn1
Buchwald-Hartwig amination,Ph-Br + 4-methylaniline,Brc1ccccc1.Nc1ccc(C)cc1>>Cc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 4-methoxyaniline,Brc1ccccc1.Nc1ccc(OC)cc1>>COc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 4-fluoroaniline,Brc1ccccc1.Nc1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 4-CF3-aniline,Brc1ccccc1.Nc1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 3-methylaniline,Brc1ccccc1.Nc1cccc(C)c1>>Cc1cccc(Nc2ccccc2)c1
Buchwald-Hartwig amination,"Ph-Br + 3,5-dimethylaniline",Brc1ccccc1.Nc1cc(C)cc(C)c1>>Cc1cc(C)cc(Nc2ccccc2)c1
Buchwald-Hartwig amination,Ph-Br + methylamine,Brc1ccccc1.CN>>CNc1ccccc1
Buchwald-Hartwig amination,Ph-Br + ethylamine,Brc1ccccc1.CCN>>CCNc1ccccc1
Buchwald-Hartwig amination,Ph-Br + propylamine,Brc1ccccc1.CCCN>>CCCNc1ccccc1
Buchwald-Hartwig amination,Ph-Br + isopropylamine,Brc1ccccc1.CC(C)N>>CC(C)Nc1ccccc1
Buchwald-Hartwig amination,Ph-Br + tert-butylamine,Brc1ccccc1.CC(C)(C)N>>CC(C)(C)Nc1ccccc1
Buchwald-Hartwig amination,Ph-Br + benzylamine,Brc1ccccc1.NCc1ccccc1>>c1ccccc1CNc1ccccc1
Buchwald-Hartwig amination,Ph-Br + 2-methoxyethylamine,Brc1ccccc1.NCCOC>>COCCNc1ccccc1
Buchwald-Hartwig amination,4-Br-pyridine + propylamine,Brc1ccncc1.NCCC>>CCCNc1ccncc1
Buchwald-Hartwig amination,4-Cl-benzonitrile + isopropylamine,Clc1ccc(C#N)cc1.CC(C)N>>CC(C)Nc1ccc(C#N)cc1
Buchwald-Hartwig amination,Ph-Br + diethylamine,Brc1ccccc1.CCNCC>>CCN(CC)c1ccccc1
Buchwald-Hartwig amination,Ph-Br + pyrrolidine,Brc1ccccc1.N1CCCC1>>c1ccccc1N1CCCC1
Buchwald-Hartwig amination,Ph-Br + piperidine,Brc1ccccc1.N1CCCCC1>>c1ccccc1N1CCCCC1
Buchwald-Hartwig amination,Ph-Br + morpholine,Brc1ccccc1.N1CCOCC1>>c1ccccc1N1CCOCC1
Buchwald-Hartwig amination,Ph-Br + N-methylpiperazine,Brc1ccccc1.N1CCN(C)CC1>>CN1CCN(c2ccccc2)CC1
Buchwald-Hartwig amination,Ph-Br + 4-hydroxypiperidine,Brc1ccccc1.N1CCC(O)CC1>>OC1CCN(c2ccccc2)CC1
Buchwald-Hartwig amination,Ph-Br + tetrahydroisoquinoline,Brc1ccccc1.N1Cc2ccccc2C1>>c1ccccc1N1Cc2ccccc2C1
Buchwald-Hartwig amination,4-Br-pyridine + pyrrolidine,Brc1ccncc1.N1CCCC1>>c1ccncc1N1CCCC1
Buchwald-Hartwig amination,4-Cl-benzotrifluoride + morpholine,Clc1ccc(C(F)(F)F)cc1.N1CCOCC1>>FC(F)(F)c1ccc(N2CCOCC2)cc1
Buchwald-Hartwig amination,4-Br-anisole + piperidine,Brc1ccc(OC)cc1.N1CCCCC1>>COc1ccc(N2CCCCC2)cc1
Buchwald-Hartwig amination,"1,4-dibromobenzene + aniline",Brc1ccc(Br)cc1.Nc1ccccc1>>c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
Buchwald-Hartwig amination,2-methylbromobenzene + aniline,Brc1ccccc1C.Nc1ccccc1>>Cc1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,2-bromoanisole + aniline,Brc1ccccc1OC.Nc1ccccc1>>COc1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,2-bromoacetophenone + aniline,Brc1ccccc1C(=O)C.Nc1ccccc1>>CC(=O)c1ccccc1Nc1ccccc1
Buchwald-Hartwig amination,"4,7-dichloroquinoline + aniline",Clc1ccc2nc(Cl)ccc2c1.Nc1ccccc1>>c1ccc(Nc2ccc3cc(Nc4ccccc4)ccc3n2)cc1
Buchwald-Hartwig amination,"5-bromobenzo[d][1,3]dioxole + aniline",Brc1ccc2c(c1)OCO2.Nc1ccccc1>>c1ccc(Nc2ccc3c(c2)OCO3)cc1
Buchwald-Hartwig amination,2-chlorobenzothiazole + aniline,Clc1nc2ccccc2s1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2s1
Buchwald-Hartwig amination,2-bromobenzoxazole + aniline,Brc1nc2ccccc2o1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2o1
Buchwald-Hartwig amination,2-chloroquinoxaline + aniline,Clc1cnc2ccccc2n1.Nc1ccccc1>>c1ccccc1Nc1cnc2ccccc2n1
Buchwald-Hartwig amination,Ph-Br + pyrrole -> N-phenylpyrrole,Brc1ccccc1.c1cc[nH]c1>>c1ccccc1n1cccc1
Buchwald-Hartwig amination,4-bromotoluene + pyrrole,Brc1ccc(C)cc1.c1cc[nH]c1>>Cc1ccc(n2cccc2)cc1
Buchwald-Hartwig amination,4-chlorobenzonitrile + pyrrole,Clc1ccc(C#N)cc1.c1cc[nH]c1>>N#Cc1ccc(n2cccc2)cc1
Buchwald-Hartwig amination,Ph-Br + indole -> N-phenylindole,Brc1ccccc1.c1ccc2[nH]ccc2c1>>c1ccc2c(c1)ccn2c1ccccc1
Buchwald-Hartwig amination,4-bromoanisole + indole,Brc1ccc(OC)cc1.c1ccc2[nH]ccc2c1>>COc1ccc(n2ccc3ccccc32)cc1
Buchwald-Hartwig amination,4-chloropyridine + indole,Clc1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21
Buchwald-Hartwig amination,4-bromobenzotrifluoride + indole,Brc1ccc(C(F)(F)F)cc1.c1ccc2[nH]ccc2c1>>FC(F)(F)c1ccc(n2ccc3ccccc32)cc1
Buchwald-Hartwig amination,4-iodopyridine + indole,Ic1ccncc1.c1ccc2[nH]ccc2c1>>c1ccncc1n1ccc2ccccc21
Buchwald-Hartwig amination,Ph-Br + pyrazole -> N-phenylpyrazole,Brc1ccccc1.c1c[nH]nc1>>c1ccccc1n1ccnc1
Buchwald-Hartwig amination,4-bromochlorobenzene + pyrazole,Brc1ccc(Cl)cc1.c1c[nH]nc1>>Clc1ccc(n2ccnc2)cc1
Buchwald-Hartwig amination,4-bromopyridine + pyrazole,Brc1ccncc1.c1c[nH]nc1>>c1ccncc1n1ccnc1
Buchwald-Hartwig amination,4-bromonitrobenzene + pyrazole,Brc1ccc([N+](=O)[O-])cc1.c1c[nH]nc1>>[O-][N+](=O)c1ccc(n2ccnc2)cc1
Buchwald-Hartwig amination,Ph-Br + 3-methylpyrazole,Brc1ccccc1.c1c[nH]nc1C>>Cc1nn(c2ccccc2)cc1
Buchwald-Hartwig amination,4-chloroanisole + 3-methylpyrazole,Clc1ccc(OC)cc1.c1c[nH]nc1C>>Cc1nn(c2ccc(OC)cc2)cc1
Buchwald-Hartwig amination,Ph-Br + imidazole -> N-phenylimidazole,Brc1ccccc1.c1cnc[nH]1>>c1ccccc1n1cncc1
Buchwald-Hartwig amination,4-bromofluorobenzene + imidazole,Brc1ccc(F)cc1.c1cnc[nH]1>>Fc1ccc(n2cncc2)cc1
Buchwald-Hartwig amination,4-chloropyridine + imidazole,Clc1ccncc1.c1cnc[nH]1>>c1ccncc1n1cncc1
Buchwald-Hartwig amination,Ph-Br + carbazole -> N-phenylcarbazole,Brc1ccccc1.c1ccc2c(c1)c1ccccc1[nH]2>>c1ccc2c(c1)c1ccccc1n2c1ccccc1
Buchwald-Hartwig amination,4-bromotoluene + carbazole,Brc1ccc(C)cc1.c1ccc2c(c1)c1ccccc1[nH]2>>Cc1ccc(n2c3ccccc3c3ccccc32)cc1
Buchwald-Hartwig amination,4-iodoanisole + carbazole,Ic1ccc(OC)cc1.c1ccc2c(c1)c1ccccc1[nH]2>>COc1ccc(n2c3ccccc3c3ccccc32)cc1
Buchwald-Hartwig amination,"Ph-Br + 1,2,4-triazole N-phenyltriazole",Brc1ccccc1.c1nc[nH]n1>>c1ccccc1n1ncnc1
Buchwald-Hartwig amination,"4-bromobenzonitrile + 1,2,4-triazole",Brc1ccc(C#N)cc1.c1nc[nH]n1>>N#Cc1ccc(n2ncnc2)cc1
Buchwald-Hartwig amination,Ph-Br + 2-aminopyrimidine,Brc1ccccc1.c1ncncc1N>>Nc1cnccn1c1ccccc1
Buchwald-Hartwig amination,4-chloropyridine + 2-aminopyrimidine,Clc1ccncc1.c1ncncc1N>>Nc1cnccn1c1ccncc1
Buchwald-Hartwig amination,"4-bromoanisole + 1,2,4-triazole",Brc1ccc(OC)cc1.c1cn[nH]c1>>COc1ccc(n2nccn2)cc1
Buchwald-Hartwig amination,"2-bromotoluene + indole, ortho-substituted",Brc1ccccc1C.c1ccc2[nH]ccc2c1>>Cc1ccccc1n1ccc2ccccc21
Buchwald-Hartwig amination,"2,6-dimethylbromobenzene + indole, sterically hindered",Brc1c(C)cccc1C.c1ccc2[nH]ccc2c1>>Cc1cccc(C)c1n1ccc2ccccc21
Buchwald-Hartwig amination,"2-bromoanisole + pyrrole, ortho-substituted",Brc1ccccc1OC.c1cc[nH]c1>>COc1ccccc1n1cccc1
Buchwald-Hartwig amination,"2-bromonaphthalene + indole, fused ring",Ic1ccc2ccccc2c1.c1ccc2[nH]ccc2c1>>c1ccc(n2ccc3ccccc32)c2ccccc12
Buchwald-Hartwig amination,"1,4-dibromobenzene + indole, bis-coupling",Brc1ccc(Br)cc1.c1ccc2[nH]ccc2c1>>c1ccc(n2ccc3ccccc32)cc1n1ccc2ccccc21
Buchwald-Hartwig amination,"1,3-dibromobenzene + pyrrole, bis-coupling",Brc1cccc(Br)c1.c1cc[nH]c1>>c1cccc(n2cccc2)c1n1cccc1
Buchwald-Hartwig amination,3-bromoquinoxaline + indole,Brc1cnc2ccccc2n1.c1ccc2[nH]ccc2c1>>c1ccc2c(c1)ccn2c1cnc2ccccc2n1
Buchwald-Hartwig amination,4-chloroindole + bromobenzene,Clc1cccc2c1cc[nH]2.c1ccccc1Br>>c1ccccc1n1ccc2c(Cl)cccc21
Buchwald-Hartwig amination,Ph-Br + acetamide N-phenylacetamide,Brc1ccccc1.NC(=O)C>>CC(=O)Nc1ccccc1
Buchwald-Hartwig amination,4-bromotoluene + acetamide,Brc1ccc(C)cc1.NC(=O)C>>CC(=O)Nc1ccc(C)cc1
Buchwald-Hartwig amination,4-chloroanisole + acetamide,Clc1ccc(OC)cc1.NC(=O)C>>CC(=O)Nc1ccc(OC)cc1
Buchwald-Hartwig amination,4-bromopyridine + acetamide,Brc1ccncc1.NC(=O)C>>CC(=O)Nc1ccncc1
Buchwald-Hartwig amination,4-iodobenzotrifluoride + acetamide,Ic1ccc(C(F)(F)F)cc1.NC(=O)C>>CC(=O)Nc1ccc(C(F)(F)F)cc1
Buchwald-Hartwig amination,Ph-Br + propionamide,Brc1ccccc1.NC(=O)CC>>CCC(=O)Nc1ccccc1
Buchwald-Hartwig amination,4-bromochlorobenzene + propionamide,Brc1ccc(Cl)cc1.NC(=O)CC>>CCC(=O)Nc1ccc(Cl)cc1
Buchwald-Hartwig amination,Ph-Br + benzamide N-phenylbenzamide,Brc1ccccc1.NC(=O)c1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
Buchwald-Hartwig amination,4-bromoanisole + benzamide,Brc1ccc(OC)cc1.NC(=O)c1ccccc1>>COc1ccc(NC(=O)c2ccccc2)cc1
Buchwald-Hartwig amination,4-chloropyridine + benzamide,Clc1ccncc1.NC(=O)c1ccccc1>>O=C(Nc1ccncc1)c1ccccc1
Buchwald-Hartwig amination,4-bromobenzonitrile + benzamide,Brc1ccc(C#N)cc1.NC(=O)c1ccccc1>>N#Cc1ccc(NC(=O)c2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 4-methoxybenzamide,Brc1ccccc1.NC(=O)c1ccc(OC)cc1>>COc1ccc(C(=O)Nc2ccccc2)cc1
Buchwald-Hartwig amination,4-bromofluorobenzene + 4-fluorobenzamide,Brc1ccc(F)cc1.NC(=O)c1ccc(F)cc1>>Fc1ccc(C(=O)Nc2ccc(F)cc2)cc1
Buchwald-Hartwig amination,Ph-Br + isobutyramide,Brc1ccccc1.NC(=O)CC(C)C>>CC(C)CC(=O)Nc1ccccc1
Buchwald-Hartwig amination,Ph-Br + pivalamide,Brc1ccccc1.NC(=O)C(C)(C)C>>CC(C)(C)C(=O)Nc1ccccc1
Buchwald-Hartwig amination,4-chlorobenzotrifluoride + isobutyramide,Clc1ccc(C(F)(F)F)cc1.NC(=O)CC(C)C>>CC(C)CC(=O)Nc1ccc(C(F)(F)F)cc1
Buchwald-Hartwig amination,Ph-Br + hydrocinnamamide,Brc1ccccc1.NC(=O)CCc1ccccc1>>O=C(CCc1ccccc1)Nc1ccccc1
Buchwald-Hartwig amination,4-bromoanisole + hydrocinnamamide,Brc1ccc(OC)cc1.NC(=O)CCc1ccccc1>>COc1ccc(NC(=O)CCc2ccccc2)cc1
Buchwald-Hartwig amination,Ph-Br + 2-pyrrolidinone N-phenyl-2-pyrrolidinone,Brc1ccccc1.C1CCNC1=O>>O=C1CCCN1c1ccccc1
Buchwald-Hartwig amination,4-bromotoluene + 2-pyrrolidinone,Brc1ccc(C)cc1.C1CCNC1=O>>Cc1ccc(N2CCCC2=O)cc1
Buchwald-Hartwig amination,4-chloropyridine + 2-pyrrolidinone,Clc1ccncc1.C1CCNC1=O>>O=C1CCCN1c1ccncc1
Buchwald-Hartwig amination,Ph-Br + caprolactam N-phenylcaprolactam,Brc1ccccc1.C1CCCCNC1=O>>O=C1CCCCN1c1ccccc1
Buchwald-Hartwig amination,4-bromoanisole + caprolactam,Brc1ccc(OC)cc1.C1CCCCNC1=O>>COc1ccc(N2CCCCC2=O)cc1
