name,smiles,aromatic_ring_count,ring_sizes,ring_size_counts,heteroaromatic,hetero_ring_sizes,hetero_counts,heterocycle_types
4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Methyl 4-bromobenzoate,Brc1ccc(C(=O)OC)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromobenzaldehyde,Brc1ccc(C=O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromo-tert-butylbenzene,Brc1ccc(C(C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-tert-Butylaniline,CC(C)(C)c1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,1,6,6:1,False,,N:0;O:0;S:0,
"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"1-Bromo-2,3,4,5-tetramethoxybenzene",COc1cc(OC)c(Br)c(OC)c1OC,1,6,6:1,False,,N:0;O:0;S:0,
Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,1,6,6:1,False,,N:0;O:0;S:0,
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,1,6,6:1,False,,N:0;O:0;S:0,
Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,1,6,6:1,False,,N:0;O:0;S:0,
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
"2,6-Dichloro-iodobenzene",Ic1c(Cl)cccc1Cl,1,6,6:1,False,,N:0;O:0;S:0,
2-tert-Butylbromobenzene,Brc1ccccc1C(C)(C)C,1,6,6:1,False,,N:0;O:0;S:0,
"3,5-Diisopropylchlorobenzene",Clc1cc(C(C)C)ccc1C(C)C,1,6,6:1,False,,N:0;O:0;S:0,
"2,6-Dimethoxyiodobenzene",Ic1c(OC)cccc1OC,1,6,6:1,False,,N:0;O:0;S:0,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,1,6,6:1,False,,N:0;O:0;S:0,
4-Iodo-N-Boc-aniline,Ic1ccc(NC(=O)OC(C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromo-N-Cbz-aniline,Brc1ccc(NC(=O)OCc2ccccc2)cc1,2,6,6:2,False,,N:0;O:0;S:0,
4-Chloro-N-Fmoc-aniline,Clc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,3,6,6:3,False,,N:0;O:0;S:0,
4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Iodo-TIPS-phenol,Ic1ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Chlorobenzonitrile,Clc1ccc(C#N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Iodoanisole,Ic1ccc(OC)cc1,1,6,6:1,False,,N:0;O:0;S:0,
2-Bromophenyl diphenylphosphine,Brc1ccccc1P(c2ccccc2)c2ccccc2,3,6,6:3,False,,N:0;O:0;S:0,
Phenylalanine,NC(Cc1ccccc1)C(=O)O,1,6,6:1,False,,N:0;O:0;S:0,
Triphenylphosphine,c1ccc(P(c2ccccc2)c2ccccc2)cc1,3,6,6:3,False,,N:0;O:0;S:0,
"1,8-Bis(dimethylphosphino)naphthalene",c1ccc2c(c1)c(P(C)C)ccc2P(C)C,2,6,6:2,False,,N:0;O:0;S:0,
Anthracene,c1ccc2cc3ccccc3cc2c1,3,6,6:3,False,,N:0;O:0;S:0,
Coronene,c1ccc2cc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,7,5;6;7,5:1;6:5;7:1,False,,N:0;O:0;S:0,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,2,6,6:2,False,,N:0;O:0;S:0,
9-Chloroanthracene,Clc1ccc2c3ccccc3ccc2c1,3,6,6:3,False,,N:0;O:0;S:0,
"6-Bromo-spiro[chroman-2,1'-cyclohexane]",Brc1ccc2c(c1)C1(CCCC1)CCCC2,1,6,6:1,False,,N:0;O:0;S:0,
"2,4,5,6-Tetrachlorobromobenzene",Clc1cc(Cl)c(Br)c(Cl)c1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromo-N-benzoylaniline,Brc1ccc(NC(=O)c2ccccc2)cc1,2,6,6:2,False,,N:0;O:0;S:0,
