name,smiles,motif_count,motifs,alt_motifs,error
Acetic anhydride,CC(=O)OC(C)=O,8,Alkyl-Ester / Alkyl-Ester / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
propylene carbonate,CC1COC(=O)O1,1,Alkyl-H,,
m-Xylene,Cc1cccc(C)c1,2,Ar-R / Ar-R,,
"2,6-Lutidine",Cc1cccc(C)n1,3,Ar-R / Ar-R / Pyridine,,
Mesitylene,Cc1cc(C)cc(C)c1,3,Ar-R / Ar-R / Ar-R,,
Toluene,Cc1ccccc1,1,Ar-R,,
Chlorobenzene,Clc1ccccc1,1,Ar-Cl,Ar-X,
Cyclohexanone,O=C1CCCCC1,5,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
N-methylmorpholine,CN1CCOCC1,3,RCH2-OR / RCH2-NR2 / CH3-NR2,Alkyl-OR / Alkyl-NR2 / Alkyl-NR2,
Boron trifluoride etherate,CCOCC.FB(F)F,1,RCH2-OR,Alkyl-OR,
n-Pentane,CCCCC,1,Alkyl-H,,
n-Butyllithium (in hexanes),[CH2]CCC,1,Alkyl-H,,
2-Methoxyethanol,COCCO,2,RCH2-OR / RCH2-OH,CH3-OR / Alkyl-OR / Alkyl-OH,
Tetrahydrofuran,C1CCOC1,1,RCH2-OR,Alkyl-OR,
TMEDA,CN(C)CCN(C)C,4,RCH2-NR2 / RCH2-NR2 / CH3-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
amyl nitrite,CC(C)CCON=O,1,Alkyl-H,,
n-Hexane,CCCCCC,1,Alkyl-H,,
"N,N'-Dimethylethylenediamine",CNCCNC,4,RCH2-NHR / RCH2-NHR / CH3-NHR / CH3-NHR,Alkyl-NHR / Alkyl-NHR / Alkyl-NHR / Alkyl-NHR,
"1,2-Dimethoxyethane",COCCOC,2,RCH2-OR / RCH2-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
2-Ethoxyethanol,CCOCCO,2,RCH2-OR / RCH2-OH,Alkyl-OR / Alkyl-OH,
Cyclohexane,C1CCCCC1,1,Alkyl-H,,
Pyridine,c1ccncc1,1,Pyridine,,
Piperidine,C1CCNCC1,1,RCH2-NHR,Alkyl-NHR,
Diethylene glycol,OCCOCCO,3,RCH2-OR / RCH2-OH / RCH2-OH,Alkyl-OR / Alkyl-OH / Alkyl-OH,
1-Octanol,CCCCCCCCO,1,RCH2-OH,Alkyl-OH,
Tetrabutylammonium chloride,CCCC[N+](CCCC)(CCCC)CCCC,1,Alkyl-H,,
"N,N-Dimethylglycine",CN(C)CC(=O)O,5,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-NR2 / CH3-NR2,Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NR2 / Alkyl-NR2,
"2,2,6,6-Tetramethyl-3,5-heptanedione",CC(C)(C)C(=O)CC(=O)C(C)(C)C,4,Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-COR,Alkyl-H / Alkyl-H / R3C-COR / R3C-COR,
"1,2-Diaminocyclohexane, trans-",C1CCC(C(C1)N)N,2,R2CH-NH2 / R2CH-NH2,Alkyl-NH2 / Alkyl-NH2,
DMAP,CN(C)c1ccncc1,3,Ar-NR2 / CH3-NR2 / Pyridine,Alkyl-NR2,
"4,4'-Dimethyl-2,2'-bipyridine",CC1=CC(=NC=C1)C2=NC=CC(=C2)C,5,Ar-R / Ar-R / Ar-Ar / Pyridine / Pyridine,,
Hantzsch ester,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1,5,Alkenyl-CO2R / R2CH-CO2R / Alkyl-H-acidic / Alkyl-C=C / Alkyl-C=C,Any-Dienophile / Motif-C=C / Cyclohexene / Alkyl-Ester / Alkyl-H,
Tris(p-chlorophenyl)phosphine,C1=CC(=CC=C1P(C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)Cl,4,Ar-PR2 / Ar-Cl / Ar-Cl / Ar-Cl,Ar-X / Ar-X / Ar-X,
Triisopropyl phosphite,CC(C)OP(OC(C)C)OC(C)C,1,Alkyl-H,,
tBuBrettPhos,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,7,Ar-PR2 / Ar-OR / Ar-OR / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2 / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
"Palladium, di-mu-chlorobis(eta3-2-propenyl)di-",[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],1,Alkenyl-H,Any-Dienophile / Motif-C=C,
"Chloro(1,5-cyclooctadiene)rhodium(I) dimer",C1CC=CCCC=C1.C1CC=CCCC=C1.[Cl-].[Cl-].[Rh].[Rh],8,Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,,
B(OMe)3,COB(OC)OC,1,Alkyl-H,,
Triethylamine,CCN(CC)CC,1,RCH2-NR2,Alkyl-NR2,
Trimethyl phosphite,COP(OC)OC,1,Alkyl-H,,
"Chloro(1,5-cyclooctadiene)iridium(I) dimer",C1=CCCC=CCC1.C1=CCCC=CCC1.[Ir].[Ir],8,Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,,
"Methoxy(1,5-cyclooctadiene)iridium(I) dimer",C1=CCCC=CCC1.C1=CCCC=CCC1.CO.CO.[Ir].[Ir],10,Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / CH3-OH / CH3-OH,Alkyl-OH / Alkyl-OH,
DPPF,[Fe+2].c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1.c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1,2,Ar-PR2 / Ar-PR2,,
n-Butyl acetate,CCCCOC(C)=O,4,Alkyl-Ester / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
"1,4-Dioxane",C1COCCO1,2,RCH2-OR / RCH2-OR,Alkyl-OR / Alkyl-OR,
Octanoic acid,CCCCCCCC(=O)O,3,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
Sodium methoxide,CO,1,CH3-OH,Alkyl-OH,
MsCl,CS(=O)(=O)Cl,4,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-SO2Cl,Alkyl-H / Alkyl-H / Alkyl-H,
TBTU,CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[B-](F)(F)F,2,CH3-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2,
Tris(pentafluorophenyl)phosphine,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,16,Ar-PR2 / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X,
Sulfolane,O=S1(=O)CCCC1,5,RCH2-SO2R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-SO2R / Alkyl-OMs / Alkyl-OSO2R / RCH2-SR / Alkyl-SR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
RockPhos,COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C,7,Ar-PR2 / Ar-OR / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2 / CH3-OR / Alkyl-OR,
KOAc,[K+].CC(=O)[O-],4,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Any-CO2M,Alkyl-H / Alkyl-H / Alkyl-H,
Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,4,Alkenyl-Cl / Alkenyl-Cl / Alkenyl-Cl / Alkenyl-Cl,Any-Dienophile / Motif-C=C,
"N,N-Dimethylacetamide",CC(=O)N(C)C,4,Alkyl-NCOR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONR2 / Alkyl-H / Alkyl-H / Alkyl-H,
Butylated hydroxytoluene,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4,Ar-OH / Ar-R / Ar-R / Ar-R,,
PyBOP,c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,3,RCH2-NR2 / RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
"Bis(1,5-cyclooctadiene)nickel(0)",C1C[C][C]CC[C][C]1.C1C[C][C]CC[C][C]1.[Ni],1,Alkyl-H,,
"[2-(2-Aminophenyl)phenyl]-chloro-palladium dicyclohexyl-[2-(2,4,6-triisopropylphenyl)phenyl]phosphane",CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+],7,Ar-PR2 / Ar-NH2 / Ar-R / Ar-R / Ar-R / Ar-Ar / Ar-Ar,Alkyl-PR2,
Tri-tert-butylphosphine tetrafluoroborate,CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.F[B-](F)(F)F,1,Alkyl-H,,
PyBrOP,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Br.F[P-](F)(F)(F)(F)F,3,RCH2-NR2 / RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
Xylenes,Cc1ccccc1C,2,Ar-R / Ar-R,,
PyClOP,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Cl.F[P-](F)(F)(F)(F)F,3,RCH2-NR2 / RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
Copper(II) acetylacetonate,[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Cu+2],14,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-COR / RCH2-COR / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-COR / Alkyl-COR / Alkyl-COR,
Tris(p-trifluoromethylphenyl)phosphine,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,4,Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-PR2,Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X,
Iron pentacarbonyl,[C]=O.[C]=O.[C]=O.[C]=O.[C]=O.[Fe],0,,,
Tri-tert-butylphosphine,CC(C)(C)P(C(C)(C)C)C(C)(C)C,1,Alkyl-PR2,,
Tris(acetylacetonato)iron(III),CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].[Fe+3],15,Alkenyl-COR / Alkenyl-COR / Alkenyl-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Cobalt(II) acetylacetonate,[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Co+2],14,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-COR / RCH2-COR / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-COR / Alkyl-COR / Alkyl-COR,
Palladium(II) acetylacetonate,CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].[Pd+2],10,Alkenyl-COR / Alkenyl-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-C=C / Alkyl-C=C,Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Selectfluor,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,1,RCH2-Cl,Alkyl-Cl / RCH2-X / Alkyl-X,
Sodium formate,O=C[O-],1,Any-CO2M,,
Ethyl acetate,CCOC(C)=O,4,Alkyl-Ester / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
IMes,CC1=CC(=C(C(=C1)C)N2C=C[N+](=C2)C3=C(C=C(C=C3C)C)C)C.[Cl-],8,Ar-AromN / Ar-AromN / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R,,
n-Heptane,CCCCCCC,1,Alkyl-H,,
Dibutyl ether,CCCCOCCCC,1,RCH2-OR,Alkyl-OR,
Sodium hydrogen carbonate,O=C(O)O,0,,,
Chlorodicarbonylrhodium(I) dimer,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Rh].[Rh],0,,,
Dichloro-bis(acetonitrile)palladium(II),CC#N.CC#N.[Pd+2],8,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / CH3-CN / CH3-CN,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-CN / Alkyl-CN,
Sodium 2-methylbutan-2-olate,CCC(C)(C)O,1,R3C-OH,Alkyl-OH,
Dicyclohexyl(cyclopentyl)phosphane;iron,C1CCC(P(C2CCCCC2)C2CCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCC2)CC1.[Fe],2,Alkyl-PR2 / Alkyl-PR2,,
L-Proline,O=C(O)C1CCCN1,4,R2CH-CO2H / Alkyl-H-acidic / R2CH-NHR / RCH2-NHR,Alkyl-CO2H / Alkyl-H / Alkyl-NHR / Alkyl-NHR,
8-Hydroxyquinoline,Oc1cccc2cccnc12,2,Ar-OH / Quinoline,Pyridine,
Methyldiphenylphosphine,CP(C1=CC=CC=C1)C2=CC=CC=C2,1,Ar-PR2,Alkyl-PR2,
Dicarbonyl(acetylacetonato)rhodium(I),CC(=CC(=O)C)O.[C-]#[O+].[C-]#[O+].[Rh],6,Alkenyl-COR / Alkenyl-OH / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-C=C,Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-H / Alkyl-H / Alkyl-H,
HATU,CN(C)C(n1n[n+]([O-])c2ncccc21)=[N+](C)C,3,CH3-NR2 / CH3-NR2 / Pyridine,Alkyl-NR2 / Alkyl-NR2,
Diphenylphosphoryl chloride,O=P(Cl)(c1ccccc1)c1ccccc1,1,Ar-H,,
Diiron nonacarbonyl,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[CH-]=O.[CH-]=O.[CH-]=O.[Fe+3].[Fe],0,,,
PyAOP,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)ON4C5=C(C=CC=N5)N=N4,4,RCH2-NR2 / RCH2-NR2 / RCH2-NR2 / Pyridine,Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
Xantphos,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,4,Ar-OAr / Ar-PR2 / Ar-PR2 / Ar-R,Ar-OR,
tert-Butyl methyl ether,COC(C)(C)C,1,R3C-OR,CH3-OR / Alkyl-OR,
Tetramethylfluoroformamidinium hexafluorophosphate,CN(C)C(F)=[N+](C)C,2,CH3-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2,
"Fluoro-N,N,N'?N'?bis(tetramethylene)formamidinium hexafluorophosphate",C1CCN(C1)C(=[N+]2CCCC2)F.F[P-](F)(F)(F)(F)F,2,RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2,
"3,4,7,8-Tetramethyl-1,10-phenanthroline",Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,6,Ar-R / Ar-R / Ar-R / Ar-R / Quinoline / Quinoline,Pyridine,
Bathophenanthroline,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,4,Ar-Ar / Ar-Ar / Quinoline / Quinoline,Pyridine,
DPPE,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
DPEphos,c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,3,Ar-OAr / Ar-PR2 / Ar-PR2,Ar-OR,
18-Crown-6,C1COCCOCCOCCOCCOCCO1,6,RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR,Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR,
Tris(p-fluorophenyl)phosphine,C1=CC(=CC=C1F)P(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,4,Ar-PR2 / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X,
Lithium tert-butoxide,CC(C)(C)O,1,R3C-OH,Alkyl-OH,
Bis(diphenylphosphino)methane,C1=CC=C(C=C1)P(CP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
2-(Dicyclohexylphosphino)-2'-(dimethylamino)biphenyl,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,4,Ar-PR2 / Ar-NR2 / Ar-Ar / CH3-NR2,Alkyl-PR2 / Alkyl-NR2,
"1,2-Diaminocyclohexane, (+)-",NC1CCCCC1N,2,R2CH-NH2 / R2CH-NH2,Alkyl-NH2 / Alkyl-NH2,
Tris(acetylacetonato)cobalt(III),CC(=O)[CH-]C(C)=O.[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Co+3],22,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-COR / RCH2-COR / RCH2-COR / Alkyl-COR / Alkyl-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-COR / Alkyl-COR / Alkyl-COR,
Tetrakis(acetonitrile)palladium(II) bis(tetrafluoroborate),[B-](F)(F)(F)F.[B-](F)(F)(F)F.CC#N.CC#N.CC#N.CC#N.[Pd+2],16,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / CH3-CN / CH3-CN / CH3-CN / CH3-CN,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-CN / Alkyl-CN / Alkyl-CN / Alkyl-CN,
Triphos,CC(CP(c1ccccc1)c1ccccc1)(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1,3,Ar-PR2 / Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2 / Alkyl-PR2,
tBuDavePhos,CN(C)c1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,4,Ar-PR2 / Ar-NR2 / Ar-Ar / CH3-NR2,Alkyl-PR2 / Alkyl-NR2,
JohnPhos,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,2,Ar-PR2 / Ar-Ar,Alkyl-PR2,
Tris(mesityl)phosphine,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,10,Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R,,
Cyclohexyl JohnPhos,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,2,Ar-PR2 / Ar-Ar,Alkyl-PR2,
IPrCl,CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1,6,Ar-AromN / Ar-AromN / Ar-R / Ar-R / Ar-R / Ar-R,,
MePhos,Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,3,Ar-PR2 / Ar-R / Ar-Ar,Alkyl-PR2,
"N,O-Bis(trimethylsilyl)trifluoroacetamide",C[Si](C)(C)N=C(O[Si](C)(C)C)C(F)(F)F,5,Alkyl-Si / Alkyl-Si / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
tBuMePhos,Cc1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,3,Ar-PR2 / Ar-R / Ar-Ar,Alkyl-PR2,
TEMPO,CC1(C)CCCC(C)(C)N1[O],1,R3C-NR2,Alkyl-NR2,
1-Hydroxybenzotriazole,On1nnc2ccccc21,1,Ar-H,,
EDC路HCl (1-ethyl'?'?3--imethylaminopropyl)carbodiimide hydrochloride),CCN=C=NCCCN(C)C,2,RCH2-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2,
N-XantPhos,c1ccc(P(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)N3)cc1,4,Ar-OAr / Ar-NHAr / Ar-PR2 / Ar-PR2,Ar-OR / Ar-NHR,
Tricyclohexylphosphine,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,1,Alkyl-PR2,,
Diphenylphosphoryl azide,[N-]=[N+]=NP(=O)(Oc1ccccc1)Oc1ccccc1,1,Ar-H,,
(Bis(trifluoroacetoxy)iodo)benzene,O=C(OI(OC(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,7,Ar-I / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Ar-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Dabco,C1CN2CCN1CC2,2,RCH2-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2,
Imidazole,c1c[nH]cn1,2,AromN-H / Imidazole,,
