name,smiles,role,reaction_types,notes,input_smiles,featurization_success,featurization_error,canonical_smiles,valid_smiles,motif_count,motifs,unique_motif_count,unique_motifs,grouped_motifs_json,ranked_motifs,analysis_count,aryl_analysis_json
2-Bromotoluene,Brc1ccccc1C,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Ortho-substituted; sterically hindered,Brc1ccccc1C,True,,Cc1ccccc1Br,True,2,Ar-Br;Ar-Alkyl,2,Ar-Br;Ar-Alkyl,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Ar-Alkyl"", ""count"": 1, ""rank_score"": 274.0, ""sites"": [{""a_atom_idx"": 7, ""b_atom_idx"": 7, ""bond"": [7, 7]}], ""undocumented"": false}]",Ar-Br;Ar-Alkyl,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Meta-substituted; moderate sterics,Brc1cc(C)cc(C)c1,True,,Cc1cc(C)cc(Br)c1,True,3,Ar-Br;Ar-Alkyl;Ar-Alkyl,2,Ar-Br;Ar-Alkyl,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Ar-Alkyl"", ""count"": 2, ""rank_score"": 274.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 4, ""bond"": [4, 4]}, {""a_atom_idx"": 7, ""b_atom_idx"": 7, ""bond"": [7, 7]}], ""undocumented"": false}]",Ar-Br;Ar-Alkyl;Ar-Alkyl,3,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,electrophile,Suzuki-Miyaura,Highly sterically hindered,Brc1c(C)c(C)c(C)c(C)c1C,True,,Cc1c(C)c(C)c(Br)c(C)c1C,True,6,Ar-Br;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl,2,Ar-Br;Ar-Alkyl,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Ar-Alkyl"", ""count"": 5, ""rank_score"": 274.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 3, ""bond"": [3, 3]}, {""a_atom_idx"": 5, ""b_atom_idx"": 5, ""bond"": [5, 5]}, {""a_atom_idx"": 7, ""b_atom_idx"": 7, ""bond"": [7, 7]}, {""a_atom_idx"": 9, ""b_atom_idx"": 9, ""bond"": [9, 9]}, {""a_atom_idx"": 11, ""b_atom_idx"": 11, ""bond"": [11, 11]}], ""undocumented"": false}]",Ar-Br;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl,6,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
2-Bromonaphthalene,Brc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Fused aromatic system,Brc1ccc2ccccc2c1,True,,Brc1ccc2ccccc2c1,True,1,Ar-Br,1,Ar-Br,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-Br,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
2-Chloronaphthalene,Clc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated chloride on naphthalene,Clc1ccc2ccccc2c1,True,,Clc1ccc2ccccc2c1,True,1,Ar-Cl,1,Ar-Cl,"[{""compound_id"": ""Ar-Cl"", ""count"": 1, ""rank_score"": 477.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-Cl,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
1-Bromonaphthalene,Brc1cccc2c1cccc2,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Peri-position naphthyl bromide,Brc1cccc2c1cccc2,True,,Brc1cccc2ccccc12,True,1,Ar-Br,1,Ar-Br,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-Br,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
4-Bromopyridine,Brc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Stille; Negishi,Heteroaryl halide; pyridine can poison some catalysts,Brc1ccncc1,True,,Brc1ccncc1,True,5,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 7, ""bond"": [2, 7]}, {""a_atom_idx"": 3, ""b_atom_idx"": 8, ""bond"": [3, 8]}, {""a_atom_idx"": 5, ""b_atom_idx"": 9, ""bond"": [5, 9]}, {""a_atom_idx"": 6, ""b_atom_idx"": 10, ""bond"": [6, 10]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
3-Bromopyridine,Brc1cccnc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Meta-bromo pyridine,Brc1cccnc1,True,,Brc1cccnc1,True,5,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 7, ""bond"": [2, 7]}, {""a_atom_idx"": 3, ""b_atom_idx"": 8, ""bond"": [3, 8]}, {""a_atom_idx"": 4, ""b_atom_idx"": 9, ""bond"": [4, 9]}, {""a_atom_idx"": 6, ""b_atom_idx"": 10, ""bond"": [6, 10]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
2-Bromopyridine,Brc1ccccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Ortho-bromo pyridine; strong chelation,Brc1ccccn1,True,,Brc1ccccn1,True,5,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 7, ""bond"": [2, 7]}, {""a_atom_idx"": 3, ""b_atom_idx"": 8, ""bond"": [3, 8]}, {""a_atom_idx"": 4, ""b_atom_idx"": 9, ""bond"": [4, 9]}, {""a_atom_idx"": 5, ""b_atom_idx"": 10, ""bond"": [5, 10]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Chloropyridine,Clc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated heterocyclic chloride,Clc1ccncc1,True,,Clc1ccncc1,True,5,HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Cl;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Cl""], ""compound_id"": ""HeteroAr-Cl"", ""count"": 1, ""rank_score"": 531.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 7, ""bond"": [2, 7]}, {""a_atom_idx"": 3, ""b_atom_idx"": 8, ""bond"": [3, 8]}, {""a_atom_idx"": 5, ""b_atom_idx"": 9, ""bond"": [5, 9]}, {""a_atom_idx"": 6, ""b_atom_idx"": 10, ""bond"": [6, 10]}], ""undocumented"": false}]",HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
5-Bromopyrimidine,Brc1cnccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Diazine substrate,Brc1cnccn1,True,,Brc1cnccn1,True,4,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 7, ""bond"": [2, 7]}, {""a_atom_idx"": 4, ""b_atom_idx"": 8, ""bond"": [4, 8]}, {""a_atom_idx"": 5, ""b_atom_idx"": 9, ""bond"": [5, 9]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 2, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrimidine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
2-Bromothiophene,Brc1cccs1,electrophile,Suzuki-Miyaura; Sonogashira; Stille,Five-membered heterocycle,Brc1cccs1,True,,Brc1cccs1,True,4,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 6, ""bond"": [2, 6]}, {""a_atom_idx"": 3, ""b_atom_idx"": 7, ""bond"": [3, 7]}, {""a_atom_idx"": 4, ""b_atom_idx"": 8, ""bond"": [4, 8]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 1}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Thiophene""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
2-Bromofuran,Brc1ccco1,electrophile,Suzuki-Miyaura; Sonogashira,Oxygen heterocycle,Brc1ccco1,True,,Brc1ccco1,True,4,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 6, ""bond"": [2, 6]}, {""a_atom_idx"": 3, ""b_atom_idx"": 7, ""bond"": [3, 7]}, {""a_atom_idx"": 4, ""b_atom_idx"": 8, ""bond"": [4, 8]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 1, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Furan""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
3-Bromopyrrole,Brc1cc[nH]c1,electrophile,Suzuki-Miyaura,NH heterocycle; acidic proton,Brc1cc[nH]c1,True,,Brc1cc[nH]c1,True,5,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,3,HeteroAr-Br;HeteroAr-H;AromN-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 6, ""bond"": [2, 6]}, {""a_atom_idx"": 3, ""b_atom_idx"": 7, ""bond"": [3, 7]}, {""a_atom_idx"": 5, ""b_atom_idx"": 9, ""bond"": [5, 9]}], ""undocumented"": false}, {""compound_id"": ""AromN-H"", ""count"": 1, ""rank_score"": 317.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 8, ""bond"": [4, 8]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}"
