row,name,smiles,expected_role,expected_reaction_types,notes,valid,canonical_smiles,motif_count,context_motif_count,motifs,context_motifs,ranked_motifs,detected_role_simple,analysis_count,aryl_analysis,meta_error
11,2-Bromotoluene,Brc1ccccc1C,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Ortho-substituted; sterically hindered,True,Cc1ccccc1Br,2,0,Ar-Br;Ar-Alkyl,,Ar-Br;Ar-Alkyl,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
12,"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Meta-substituted; moderate sterics,True,Cc1cc(C)cc(Br)c1,3,0,Ar-Br;Ar-Alkyl;Ar-Alkyl,,Ar-Br;Ar-Alkyl;Ar-Alkyl,electrophile,3,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
13,Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,electrophile,Suzuki-Miyaura,Highly sterically hindered,True,Cc1c(C)c(C)c(Br)c(C)c1C,6,0,Ar-Br;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl,,Ar-Br;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl;Ar-Alkyl,electrophile,6,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
14,2-Bromonaphthalene,Brc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Fused aromatic system,True,Brc1ccc2ccccc2c1,1,0,Ar-Br,,Ar-Br,electrophile,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
15,2-Chloronaphthalene,Clc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated chloride on naphthalene,True,Clc1ccc2ccccc2c1,1,0,Ar-Cl,,Ar-Cl,electrophile,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
16,1-Bromonaphthalene,Brc1cccc2c1cccc2,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Peri-position naphthyl bromide,True,Brc1cccc2ccccc12,1,0,Ar-Br,,Ar-Br,electrophile,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
17,4-Bromopyridine,Brc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Stille; Negishi,Heteroaryl halide; pyridine can poison some catalysts,True,Brc1ccncc1,5,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyridine,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
18,3-Bromopyridine,Brc1cccnc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Meta-bromo pyridine,True,Brc1cccnc1,5,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyridine,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
19,2-Bromopyridine,Brc1ccccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Ortho-bromo pyridine; strong chelation,True,Brc1ccccn1,5,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyridine,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
20,4-Chloropyridine,Clc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated heterocyclic chloride,True,Clc1ccncc1,5,1,HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyridine,HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
21,5-Bromopyrimidine,Brc1cnccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Diazine substrate,True,Brc1cnccn1,4,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyrimidine,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 2, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrimidine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
22,2-Bromothiophene,Brc1cccs1,electrophile,Suzuki-Miyaura; Sonogashira; Stille,Five-membered heterocycle,True,Brc1cccs1,4,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,Thiophene,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 1}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Thiophene""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}",
23,2-Bromofuran,Brc1ccco1,electrophile,Suzuki-Miyaura; Sonogashira,Oxygen heterocycle,True,Brc1ccco1,4,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,Furan,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 1, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Furan""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}",
24,3-Bromopyrrole,Brc1cc[nH]c1,electrophile,Suzuki-Miyaura,NH heterocycle; acidic proton,True,Brc1cc[nH]c1,5,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,Pyrrole,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1}, ""ring_sizes"": [5]}",
25,5-Bromoindole,Brc1ccc2[nH]ccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Indole scaffold; NH can coordinate,True,Brc1ccc2[nH]ccc2c1,7,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,Indole,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,electrophile,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Indole"", ""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}",
26,2-Bromobenzothiazole,Brc1nc2ccccc2s1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Fused bicyclic heterocycle,True,Brc1nc2ccccc2s1,5,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Thiazole,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 1}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Thiazole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}",
27,2-Iodobenzoxazole,Ic1nc2ccccc2o1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Oxygen-containing fused heterocycle,True,Ic1nc2ccccc2o1,5,1,HeteroAr-I;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Oxazole,HeteroAr-I;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 1, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Oxazole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}",
28,3-Bromoquinoline,Brc1ccnc2ccccc12,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Quinoline scaffold,True,Brc1ccnc2ccccc12,7,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Quinoline,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Quinoline""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
29,3-Bromoquinoxaline,Brc1cnc2ccccc2n1,electrophile,Suzuki-Miyaura,Diaza-naphthalene,True,Brc1cnc2ccccc2n1,6,1,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyrimidine,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 2, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrimidine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
30,"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Selective coupling possible at different positions,True,Clc1ccc(Cl)nc1,5,1,HeteroAr-Cl;HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H,Pyridine,HeteroAr-Cl;HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H,electrophile,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
31,Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Excellent leaving group; very reactive,True,O=S(=O)(Oc1ccccc1)C(F)(F)F,1,0,Ar-OTf,,Ar-OTf,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
32,4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-rich triflate,True,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,2,0,Ar-OTf;Ar-OR,,Ar-OTf;Ar-OR,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
33,Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Good leaving group; cheaper than triflate,True,Cc1ccc(S(=O)(=O)Oc2ccccc2)cc1,1,0,Ar-OTs,,Ar-OTs,electrophile,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}",
34,Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Mesylate leaving group,True,CS(=O)(=O)Oc1ccccc1,4,0,Ar-OMs;R_acidic-H;R_acidic-H;R_acidic-H,,Ar-OMs;R_acidic-H;R_acidic-H;R_acidic-H,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
35,4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-poor triflate; highly reactive,True,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,2,0,Ar-OTf;Ar-CN,,Ar-OTf;Ar-CN,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
36,Vinyl bromide,C=CBr,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille; Negishi; Kumada,Simple vinyl halide,True,C=CBr,1,0,Alkenyl-Br,,Alkenyl-Br,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
37,Vinyl chloride,C=CCl,electrophile,Suzuki-Miyaura; Heck,Less reactive vinyl halide,True,C=CCl,1,0,Alkenyl-Cl,,Alkenyl-Cl,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
38,Vinyl iodide,C=CI,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille,Most reactive vinyl halide,True,C=CI,1,0,Alkenyl-I,,Alkenyl-I,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
39,(E)-1-Bromopropene,C/C=C/Br,electrophile,Suzuki-Miyaura; Sonogashira; Heck,Stereodefined vinyl bromide,True,C/C=C/Br,2,0,Alkyl-Alkenyl;Alkenyl-Br,,Alkyl-Alkenyl;Alkenyl-Br,electrophile,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
40,2-Bromopropene,C=C(Br)C,electrophile,Suzuki-Miyaura; Sonogashira,Geminal disubstituted vinyl bromide,True,C=C(C)Br,2,0,Alkyl-Alkenyl;Alkenyl-Br,,Alkyl-Alkenyl;Alkenyl-Br,electrophile,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
41,α-Bromostyrene,BrC(=C)c1ccccc1,electrophile,Suzuki-Miyaura; Sonogashira,Aryl-substituted vinyl bromide,True,C=C(Br)c1ccccc1,2,0,Ar-Alkenyl;Alkenyl-Br,,Ar-Alkenyl;Alkenyl-Br,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
42,Ethyl bromide,CCBr,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Simple primary alkyl bromide; β-hydride elimination risk,True,CCBr,1,0,RCH2-Br,,RCH2-Br,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
43,Ethyl chloride,CCCl,electrophile,Negishi; Kumada; SN2,Primary alkyl chloride,True,CCCl,1,0,RCH2-Cl,,RCH2-Cl,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
44,Ethyl iodide,CCI,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Most reactive primary alkyl halide,True,CCI,1,0,RCH2-I,,RCH2-I,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
45,Isopropyl bromide,CC(C)Br,electrophile,Negishi; Kumada,Secondary alkyl bromide; high β-hydride risk,True,CC(C)Br,1,0,R2CH-Br,,R2CH-Br,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
46,tert-Butyl bromide,CC(C)(C)Br,electrophile,SN1,Tertiary alkyl bromide; no β-hydride; SN1 mechanism,True,CC(C)(C)Br,1,0,R3C-Br,,R3C-Br,electrophile,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}",
