name,aliases,roles,mention_count,source_columns,reconciliation_status,normalized_identity,possible_cas_no,cas_match_status,cas_confidence,source_basis,source_url,match_notes,cas_checksum_valid
APhos Pd G3,APhos Pd G3,catalyst,30,Catalyst,unresolved,APhos Pd G3,1820817-64-8,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1820817-64-8.htm,,yes
BF3.OEt2,BF3.OEt2,additive,28,Additive,unresolved,Boron trifluoride diethyl etherate,109-63-7,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=109-63-7,,yes
BHMPO,BHMPO,ligand,153,Ligand,unresolved,BHMPO ligand,1809288-95-6,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_1809288-95-6.htm,,yes
BippyPhos Pd(allyl)OTf,BippyPhos Pd(allyl)OTf,catalyst,1127,Catalyst,unresolved,[Pd(allyl)(BippyPhos)]OTf,1798782-33-8,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_1798782-33-8.htm,Catalog naming of allyl/crotyl forms should be checked against the original supplier record.,yes
Bis-biphenylamino benzene,Bis-biphenylamino benzene,ligand,24,Ligand,unresolved,Bis-biphenylamino benzene,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
BMPO,BMPO,ligand,12,Ligand,unresolved,BMPO,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
BnOH,BnOH,solvent,44,Solvent,unresolved,Benzyl alcohol,100-51-6,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=100-51-6,,yes
Boc2O,Boc2O,additive,8,Additive,unresolved,Di-tert-butyl dicarbonate,24424-99-5,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=24424-99-5,,yes
bphen,bphen,ligand,6,Ligand,unresolved,Bathophenanthroline,1662-01-7,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=1662-01-7,,yes
BPMPO,BPMPO,ligand,81,Ligand,unresolved,BPMPO ligand,1809289-04-0,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_1809289-04-0.htm,,yes
BPPO,BPPO,ligand,64,Ligand,unresolved,BPPO,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
BrettPhos Pd(crotyl)OTf,BrettPhos Pd(crotyl)OTf,catalyst,838,Catalyst,unresolved,BrettPhos palladium crotyl triflate precatalyst,1798782-11-2,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1798782-11-2.htm,,yes
BrettPhos Pd G4,BrettPhos Pd G4,catalyst,12,Catalyst,unresolved,BrettPhos Pd G4,1599466-83-7,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1599466-83-7.htm,,yes
bridged tBuPhosphinito,bridged tBuPhosphinito,ligand,93,Ligand,unresolved,bridged tBuPhosphinito,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
bridged tBuPhosphinito PdCl2,bridged tBuPhosphinito PdCl2,catalyst,93,Catalyst,unresolved,bridged tBuPhosphinito PdCl2,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
Brij 30,Brij 30,additive,20,Additive,unresolved,Polyoxyethylene(4) lauryl ether (Brij 30),9002-92-0,commercial_mixture_or_polymer_match,medium,registry identity for polyoxyethylene lauryl ether,https://www.chemicalbook.com/CASEN_9002-92-0.htm,Brij grades are polydisperse commercial surfactants; the CAS is shared across multiple ethoxylation grades.,yes
Brij 35,Brij 35,additive | solvent,2284,Additive | Secondary Solvent | Solvent,unresolved,Polyoxyethylene(23) lauryl ether (Brij 35),9002-92-0,commercial_mixture_or_polymer_match,medium,registry identity for polyoxyethylene lauryl ether,https://www.chemicalbook.com/CASEN_9002-92-0.htm,Brij grades are polydisperse commercial surfactants; the CAS is shared across multiple ethoxylation grades.,yes
BTMO,BTMO,ligand,186,Ligand,unresolved,BTMO ligand,920366-91-2,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_920366-91-2.htm,,yes
BuOH,BuOH,solvent,450,Solvent,unresolved,1-Butanol,71-36-3,likely_abbreviation,medium,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=71-36-3,"“BuOH” was interpreted as n-butanol; sec-, iso-, or tert-butanol would have different CAS numbers.",yes
cataCXium-POMeCy,cataCXium-POMeCy,ligand,17,Ligand,unresolved,cataCXium POMeCy,672937-63-2,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_672937-63-2.htm,,yes
CataCXiumA Pd(allyl)Cl,CataCXiumA Pd(allyl)Cl,catalyst,917,Catalyst,unresolved,CataCXiumA Pd(allyl)Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
cataCXiumA Pd G3,cataCXiumA Pd G3,catalyst,419,Catalyst,unresolved,cataCXium A Pd G3,1651823-59-4,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1651823-59-4.htm,,yes
cataCXiumA Pd G6 Br)2,cataCXiumA Pd G6 Br)2,catalyst,248,Catalyst,unresolved,cataCXiumA Pd G6 Br)2,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
cBridP,cBridP | cBRIDP,ligand,860,Ligand,unresolved,cBRIDP ligand,742103-27-1,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_742103-27-1.htm,,yes
cBridP Pd(allyl)Cl,cBridP Pd(allyl)Cl,catalyst,832,Catalyst,unresolved,cBridP Pd(allyl)Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
CDT,CDT,coupling_reagent,76,Coupling Reagent,unresolved,"1,5,9-Cyclododecatriene",41864-22-6,likely_abbreviation,medium,supplier/registry name match,https://www.chemicalbook.com/CASEN_41864-22-6.htm,"Interpreted as 1,5,9-cyclododecatriene; cis/trans isomer specification is absent.",yes
collidine,collidine,base,2,Base,unresolved,"2,4,6-Trimethylpyridine (2,4,6-collidine)",108-75-8,common_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=108-75-8,,yes
Coolade,Coolade,solvent,56,Secondary Solvent | Solvent,unresolved,Coolade commercial solvent/formulation,,no_unique_cas,low,commercial formulation or supplier CAS unavailable,https://www.sigmaaldrich.com/US/en/search/Coolade?focus=products&page=1&perpage=30&sort=relevance&term=Coolade&type=product_name,Commercial/proprietary product name; no defensible single CAS located.,not_applicable
CPhos-Hybrid,CPhos-Hybrid,ligand,17,Ligand,unresolved,CPhos–JackiePhos hybrid ligand,1810068-30-4,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_1810068-30-4.htm,Normalized to the commercial CPhos–JackiePhos hybrid ligand.,yes
cPhos Pd G3,cPhos Pd G3,catalyst,206,Catalyst,unresolved,CPhos Pd G3,1447963-73-6,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1447963-73-6.htm,,yes
CsOH.H2O,CsOH.H2O,base,396,Base,unresolved,Cesium hydroxide monohydrate,35103-79-8,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=35103-79-8,,yes
Cu(MeCN)4BF4,Cu(MeCN)4BF4,additive | catalyst,1072,Additive | Catalyst,unresolved,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,15418-29-8,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=15418-29-8,,yes
CuSO4 anhydrous,CuSO4 anhydrous,additive | catalyst,12,Additive | Catalyst,unresolved,"Copper(II) sulfate, anhydrous",7758-98-7,exact_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=7758-98-7,,yes
CX31,CX31,catalyst,40,Catalyst,unresolved,CX31 ligand,884879-23-6,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_884879-23-6.htm,,yes
CyJohnPhos Pd G3,CyJohnPhos Pd G3,catalyst,125,Catalyst,unresolved,CyJohnPhos Pd G3,2230788-64-2,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_2230788-64-2.htm,,yes
CyMPhos,CyMPhos,ligand,159,Ligand,unresolved,CyMPhos,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
(CyMPhos)PdCl2,(CyMPhos)PdCl2,catalyst,159,Catalyst,unresolved,"(CyMPhos)PdCl2, 1:1 dichloromethane complex",2768152-20-9,commercial_product_match,high,supplier catalog match,https://www.sigmaaldrich.com/US/en/product/aldrich/923486,The catalog material is explicitly a 1:1 complex with CH2Cl2.,yes
CyPAd-DalPhos)NiCl(oTol),CyPAd-DalPhos)NiCl(oTol),catalyst,16,Catalyst,unresolved,CyPAd-DalPhos)NiCl(oTol),,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
Cyrene,Cyrene,solvent,32,Solvent,unresolved,Dihydrolevoglucosenone (Cyrene),53716-82-8,commercial_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=53716-82-8,,yes
Davy's Reagent,Davy's Reagent,additive,22,Additive,unresolved,Davy's reagent,82737-61-9,common_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_82737-61-9.htm,,yes
Davy's Reagent p-tolyl,Davy's Reagent p-tolyl,additive,16,Additive,unresolved,Davy's p-tolyl reagent,114234-09-2,common_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_114234-09-2.htm,,yes
dcypf,dcypf,ligand,220,Ligand,unresolved,"1,1′-Bis(dicyclohexylphosphino)ferrocene",146960-90-9,likely_abbreviation,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_146960-90-9.htm,,yes
dcypfPdCl2,dcypfPdCl2,catalyst,220,Catalyst,unresolved,"Dichloro[1,1′-bis(dicyclohexylphosphino)ferrocene]palladium(II)",917511-90-1,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_917511-90-1.htm,,yes
DEAD,DEAD,coupling_reagent,12,Coupling Reagent,unresolved,Diethyl azodicarboxylate,1972-28-7,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=1972-28-7,,yes
di-IodobisP(tBu)3 Pd2,di-IodobisP(tBu)3 Pd2,catalyst,12,Catalyst,unresolved,Di-μ-iodobis(tri-tert-butylphosphino)dipalladium(I),166445-62-1,normalized_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_166445-62-1.htm,,yes
DiMeIHept Cl,DiMeIHept Cl,ligand,1065,Ligand,unresolved,DiMeIHept Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
(DiMeIHept Cl) Pd(cinnamyl)Cl,(DiMeIHept Cl) Pd(cinnamyl)Cl,catalyst,1065,Catalyst,unresolved,(DiMeIHept Cl) Pd(cinnamyl)Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
diphenethyloxamide,diphenethyloxamide,ligand,206,Ligand,unresolved,diphenethyloxamide,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
DMC,DMC,solvent,78,Secondary Solvent | Solvent,unresolved,Dimethyl carbonate,616-38-6,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=616-38-6,Role is solvent; DMC was therefore interpreted as dimethyl carbonate.,yes
DMF dimethylacetal,DMF dimethylacetal,coupling_reagent | solvent,36,Coupling Reagent | Solvent,unresolved,"N,N-Dimethylformamide dimethyl acetal",4637-24-5,normalized_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=4637-24-5,,yes
DMPU,DMPU,additive | solvent,86,Additive | Secondary Solvent | Solvent,unresolved,"N,N′-Dimethylpropyleneurea",7226-23-5,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=7226-23-5,,yes
DMTMM,DMTMM,coupling_reagent,10,Coupling Reagent,unresolved,"4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholinium chloride",3945-69-5,likely_abbreviation,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_3945-69-5.htm,,yes
DMTMM BF4,DMTMM BF4,coupling_reagent,12,Coupling Reagent,unresolved,DMTMM tetrafluoroborate,293311-03-2,normalized_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_293311-03-2.htm,,yes
DPEPhos Pd(allyl)Cl,DPEPhos Pd(allyl)Cl,catalyst,634,Catalyst,unresolved,DPEPhos Pd(allyl)Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
DPEPhosPdCl2,DPEPhosPdCl2,catalyst,93,Catalyst,unresolved,Dichloro(DPEPhos)palladium(II),205319-06-8,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_205319-06-8.htm,,yes
dppbenz,dppbenz,ligand,24,Ligand,unresolved,"1,2-Bis(diphenylphosphino)benzene",13991-08-7,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=13991-08-7,,yes
dppbPdCl2,dppbPdCl2,catalyst,46,Catalyst,unresolved,"Dichloro[1,4-bis(diphenylphosphino)butane]palladium(II)",29964-62-3,commercial_product_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_29964-62-3.htm,,yes
dppdtbpf,dppdtbpf,ligand,253,Ligand,unresolved,dppdtbpf,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
dppdtbpf)PdCl2,dppdtbpf)PdCl2,catalyst,253,Catalyst,unresolved,dppdtbpf)PdCl2,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
dppf Pd G3,dppf Pd G3,catalyst,640,Catalyst,unresolved,dppf Pd G3,1445086-28-1,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1445086-28-1.htm,,yes
dpppPdCl2,dpppPdCl2,catalyst,272,Catalyst,unresolved,"Dichloro[1,3-bis(diphenylphosphino)propane]palladium(II)",59831-02-6,commercial_product_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_59831-02-6.htm,,yes
DSC,DSC,coupling_reagent,16,Coupling Reagent,unresolved,"N,N′-Disuccinimidyl carbonate",74124-79-1,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=74124-79-1,,yes
dtbpfPdCl2,dtbpfPdCl2,catalyst,2308,Catalyst,unresolved,"Dichloro[1,1′-bis(di-tert-butylphosphino)ferrocene]palladium(II)",95408-45-0,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_95408-45-0.htm,,yes
EPhosPd G6 Br,EPhosPd G6 Br,catalyst,170,Catalyst,unresolved,EPhosPd G6 Br,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
Et2Zn,Et2Zn,additive,12,Additive,unresolved,Diethylzinc,557-20-0,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=557-20-0,,yes
Et3N.3HF,Et3N.3HF,additive,36,Additive,unresolved,Triethylamine trihydrofluoride,73602-61-6,formula_or_abbreviation_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_73602-61-6.htm,,yes
Ethanedithiol,Ethanedithiol,additive,16,Additive,unresolved,"1,2-Ethanedithiol",540-63-6,exact_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=540-63-6,,yes
Ethanolamine,Ethanolamine,base,8,Base,unresolved,Ethanolamine,141-43-5,exact_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=141-43-5,,yes
Etyhl cyclohexanone-2-carboxylate,Etyhl cyclohexanone-2-carboxylate,ligand,20,Ligand,unresolved,Ethyl 2-oxocyclohexane-1-carboxylate,1655-07-8,corrected_typo_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=1655-07-8,Corrected “Etyhl” to “Ethyl”.,yes
Formamide,Formamide,solvent,30,Secondary Solvent | Solvent,unresolved,Formamide,75-12-7,exact_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=75-12-7,,yes
FPhos,FPhos,ligand,112,Ligand,unresolved,FPhos ligand,3059853-80-1,commercial_product_match,medium,supplier catalog match,https://www.chemicalbook.com/CASEN_3059853-80-1.htm,,yes
FPhos Pd G6 OTES,FPhos Pd G6 OTES,catalyst,112,Catalyst,unresolved,FPhos Pd G6 OTES,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
Glorius-NHC*HClO4,Glorius-NHC*HClO4,catalyst,24,Catalyst,unresolved,Glorius-NHC*HClO4,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
GPhos Pd G6 Br,GPhos Pd G6 Br,catalyst,364,Catalyst,unresolved,GPhos Pd G6 Br,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
GPhos Pd G6 TES,GPhos Pd G6 TES,catalyst,180,Catalyst,unresolved,GPhos Pd G6 TES,2489525-81-5,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_2489525-81-5.htm,,yes
HCOOH,HCOOH,solvent,28,Solvent,unresolved,Formic acid,64-18-6,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=64-18-6,,yes
heptane,heptane,solvent,23,Secondary Solvent | Solvent,unresolved,n-Heptane,142-82-5,common_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=142-82-5,,yes
HONB,HONB,additive,48,Additive,unresolved,"N-Hydroxy-5-norbornene-2,3-dicarboximide",21715-90-2,likely_abbreviation,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_21715-90-2.htm,,yes
HOPS,HOPS,additive,108,Additive,unresolved,HOPS,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
IBCF,IBCF,coupling_reagent,24,Coupling Reagent,unresolved,Isobutyl chloroformate,543-27-1,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=543-27-1,,yes
IHept Cl,IHept Cl,ligand,326,Ligand,unresolved,IHept Cl,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
IPent,IPent,ligand,688,Ligand,unresolved,IPent,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
IPENT Cl,IPENT Cl,ligand,1235,Ligand,unresolved,IPent imidazolinium chloride (NHC precursor),1157867-61-2,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1157867-61-2.htm,,yes
IPent Pd(tBuInd)Cl],IPent Pd(tBuInd)Cl],catalyst,262,Catalyst,unresolved,IPent Pd(tBuInd)Cl,3071159-66-2,normalized_typographic_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_3071159-66-2.htm,Removed the unmatched closing bracket in the input name.,yes
iPr AuCl,iPr AuCl,catalyst,8,Catalyst,unresolved,IPrAuCl,852445-83-1,normalized_name_match,high,supplier catalog match,https://fluorochem.co.uk/product/F862766/,,yes
