name,aliases,roles,mention_count,normalized_identity,possible_cas_no,cas_match_status,cas_confidence,cas_checksum_status,registry_status_before,registry_substance_id,registry_canonical_name,lookup_status,lookup_canonical_name,identity_match_method,identity_match_score,decision,decision_reason,aliases_added_or_planned,source_basis,source_url,match_notes,lookup_sources,lookup_warnings
BPPO,BPPO,ligand,64,BPPO,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
BrettPhos Pd(crotyl)OTf,BrettPhos Pd(crotyl)OTf,catalyst,838,BrettPhos palladium crotyl triflate precatalyst,1798782-11-2,commercial_product_match,high,valid,unresolved,,,resolved,CID 176448924,normalized_name_similarity,0.0625,review,IDENTITY_NOT_CORROBORATED:0.0625<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1798782-11-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1798782-11-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1798782-11-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/176448924",MULTIPLE_PUBCHEM_COMPOUNDS_FIRST_SELECTED | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
bridged tBuPhosphinito,bridged tBuPhosphinito,ligand,93,bridged tBuPhosphinito,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
bridged tBuPhosphinito PdCl2,bridged tBuPhosphinito PdCl2,catalyst,93,bridged tBuPhosphinito PdCl2,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
Brij 30,Brij 30,additive,20,Polyoxyethylene(4) lauryl ether (Brij 30),9002-92-0,commercial_mixture_or_polymer_match,medium,valid,resolved,cas:9002-92-0,Tetraethylene Glycol Monododecyl Ether,not_found,,normalized_name_similarity,0.4706,review,SHARED_CAS_DIFFERENT_IDENTITIES,,registry identity for polyoxyethylene lauryl ether,https://www.chemicalbook.com/CASEN_9002-92-0.htm,Brij grades are polydisperse commercial surfactants; the CAS is shared across multiple ethoxylation grades.,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
Brij 35,Brij 35,additive | solvent,2284,Polyoxyethylene(23) lauryl ether (Brij 35),9002-92-0,commercial_mixture_or_polymer_match,medium,valid,resolved,cas:9002-92-0,Tetraethylene Glycol Monododecyl Ether,not_found,,normalized_name_similarity,0.4706,review,SHARED_CAS_DIFFERENT_IDENTITIES,,registry identity for polyoxyethylene lauryl ether,https://www.chemicalbook.com/CASEN_9002-92-0.htm,Brij grades are polydisperse commercial surfactants; the CAS is shared across multiple ethoxylation grades.,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
BTMO,BTMO,ligand,186,BTMO ligand,920366-91-2,commercial_product_match,medium,valid,unresolved,,,resolved,"N1,N2-Bis(thiophen-2-ylmethyl)oxalamide",normalized_name_similarity,0.3500,review,IDENTITY_NOT_CORROBORATED:0.3500<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_920366-91-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/920366-91-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/920366-91-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/6421749",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
cataCXium-POMeCy,cataCXium-POMeCy,ligand,17,cataCXium POMeCy,672937-63-2,commercial_product_match,high,valid,unresolved,,,resolved,2-(Dicyclohexylphosphanyl)-1-(2-methoxyphenyl)-1H-pyrrole,normalized_name_similarity,0.3797,review,IDENTITY_NOT_CORROBORATED:0.3797<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_672937-63-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/672937-63-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/672937-63-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/53411820",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
CataCXiumA Pd(allyl)Cl,CataCXiumA Pd(allyl)Cl,catalyst,917,CataCXiumA Pd(allyl)Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
cataCXiumA Pd G6 Br)2,cataCXiumA Pd G6 Br)2,catalyst,248,cataCXiumA Pd G6 Br)2,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
cBridP Pd(allyl)Cl,cBridP Pd(allyl)Cl,catalyst,832,cBridP Pd(allyl)Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
CDT,CDT,coupling_reagent,76,"1,5,9-Cyclododecatriene",41864-22-6,likely_abbreviation,medium,valid,resolved,cas:41864-22-6,"1,1'-Carbonyl-di(1,2,4-triazole)",resolved,"1,1'-Carbonyl-di-(1,2,4-triazole)",normalized_name_similarity,0.3256,review,IDENTITY_NOT_CORROBORATED:0.3256<0.82,,supplier/registry name match,https://www.chemicalbook.com/CASEN_41864-22-6.htm,"Interpreted as 1,5,9-cyclododecatriene; cis/trans isomer specification is absent.","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/41864-22-6/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/41864-22-6/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/4393961",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Coolade,Coolade,solvent,56,Coolade commercial solvent/formulation,,no_unique_cas,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,commercial formulation or supplier CAS unavailable,https://www.sigmaaldrich.com/US/en/search/Coolade?focus=products&page=1&perpage=30&sort=relevance&term=Coolade&type=product_name,Commercial/proprietary product name; no defensible single CAS located.,,
CPhos-Hybrid,CPhos-Hybrid,ligand,17,CPhos–JackiePhos hybrid ligand,1810068-30-4,commercial_product_match,medium,valid,unresolved,,,resolved,"2'-(Bis(3,5-bis(trifluoromethyl)phenyl)phosphanyl)-3',6'-dimethoxyN2,N2,N6,N6-tetramethyl-[1,1'-biphenyl]-2,6-diamine",normalized_name_similarity,0.3509,review,IDENTITY_NOT_CORROBORATED:0.3509<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_1810068-30-4.htm,Normalized to the commercial CPhos–JackiePhos hybrid ligand.,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-30-4/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-30-4/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/121237780",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
CX31,CX31,catalyst,40,CX31 ligand,884879-23-6,commercial_product_match,medium,valid,resolved,cas:884879-23-6,"phenylallylchloro-[1,3-bis(diisopropylphenyl)imidazole-2-ylidene]palladium(ii)",resolved,"Palladium, (1,3-bis(2,6-bis(1-methylethyl)phenyl)-1,3-dihydro-2H-imidazol-2-ylidene)chloro((1,2,3-eta)-(2E)-3-phenyl-2-propen-1-yl, stereoisomer",normalized_name_similarity,0.2500,review,IDENTITY_NOT_CORROBORATED:0.2500<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_884879-23-6.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/884879-23-6/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/884879-23-6/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/155885081",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
CyJohnPhos Pd G3,CyJohnPhos Pd G3,catalyst,125,CyJohnPhos Pd G3,2230788-64-2,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_2230788-64-2.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
CyMPhos,CyMPhos,ligand,159,CyMPhos,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
(CyMPhos)PdCl2,(CyMPhos)PdCl2,catalyst,159,"(CyMPhos)PdCl2, 1:1 dichloromethane complex",2768152-20-9,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.sigmaaldrich.com/US/en/product/aldrich/923486,The catalog material is explicitly a 1:1 complex with CH2Cl2.,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
CyPAd-DalPhos)NiCl(oTol),CyPAd-DalPhos)NiCl(oTol),catalyst,16,CyPAd-DalPhos)NiCl(oTol),,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
DiMeIHept Cl,DiMeIHept Cl,ligand,1065,DiMeIHept Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
(DiMeIHept Cl) Pd(cinnamyl)Cl,(DiMeIHept Cl) Pd(cinnamyl)Cl,catalyst,1065,(DiMeIHept Cl) Pd(cinnamyl)Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
diphenethyloxamide,diphenethyloxamide,ligand,206,diphenethyloxamide,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
DMTMM BF4,DMTMM BF4,coupling_reagent,12,DMTMM tetrafluoroborate,293311-03-2,normalized_name_match,high,valid,unresolved,,,resolved,"4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)morpholin-4-ium tetrafluoroborate",normalized_name_similarity,0.5714,review,IDENTITY_NOT_CORROBORATED:0.5714<0.72,,supplier/registry name match,https://www.chemicalbook.com/CASEN_293311-03-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/293311-03-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/293311-03-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/44558575",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
DPEPhos Pd(allyl)Cl,DPEPhos Pd(allyl)Cl,catalyst,634,DPEPhos Pd(allyl)Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
dppdtbpf,dppdtbpf,ligand,253,dppdtbpf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
dppdtbpf)PdCl2,dppdtbpf)PdCl2,catalyst,253,dppdtbpf)PdCl2,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
EPhosPd G6 Br,EPhosPd G6 Br,catalyst,170,EPhosPd G6 Br,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
FPhos Pd G6 OTES,FPhos Pd G6 OTES,catalyst,112,FPhos Pd G6 OTES,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
Glorius-NHC*HClO4,Glorius-NHC*HClO4,catalyst,24,Glorius-NHC*HClO4,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
GPhos Pd G6 Br,GPhos Pd G6 Br,catalyst,364,GPhos Pd G6 Br,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
GPhos Pd G6 TES,GPhos Pd G6 TES,catalyst,180,GPhos Pd G6 TES,2489525-81-5,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_2489525-81-5.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
HOPS,HOPS,additive,108,HOPS,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
IHept Cl,IHept Cl,ligand,326,IHept Cl,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
IPent,IPent,ligand,688,IPent,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
IPent Pd(tBuInd)Cl],IPent Pd(tBuInd)Cl],catalyst,262,IPent Pd(tBuInd)Cl,3071159-66-2,normalized_typographic_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_3071159-66-2.htm,Removed the unmatched closing bracket in the input name.,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
