reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,reaction_setup_json
palladium_catalyzed_buchwald_hartwig_amination_and,Pd_Buchwald_Arylsulfonate_Amination_CMPhos,,120,24,CC(C)(C)c1ccc(OS(=O)(=O)C)cc1.CNc2ccccc2>>CC(C)(C)c1ccc(N(C)c2ccccc2)cc1,"Palladium-catalyzed Buchwald闂備胶鍋ㄩ崕鎻掝嚕缁櫢twig Amination and Suzuki闂備胶鍋ㄩ崕鑼躲亹閸ф檴aura Cross-coupling Reaction of Aryl Mesylates. Organic Syntheses, Vol. 92, pp. 195-212 (2015). DOI: 10.15227/orgsyn.092.0195. URL: https://www.orgsyn.org/demo.aspx?prep=v92p0195","59970-38-6, 100-61-8",,"121-44-8, 584-08-7, 98-80-6","3375-31-3, 1067883-58-2","75-09-2, 75-65-0",,,,,,,1,3,,,,,,,,"Second step (amination) only: Pd(OAc)2/CM-Phos-catalyzed Buchwald闂備胶鍋ㄩ崕鎻掝嚕缁櫢twig amination of 4-(tert-butyl)phenyl mesylate with N-methylaniline in tert-butanol at 120 闂佺娅ｉ悡?for 24 h under N2. Catalyst pre-activation in DCM/Et3N, then solvent removal prior to coupling.","[{""chemicals"":[{""name"":""Palladium(II) acetate"",""abbreviation"":""Pd(OAc)2"",""cas"":""3375-31-3"",""smiles"":""[Pd++].CC([O-])=O.CC([O-])=O"",""amount"":{""weight_g"":0.0393,""mmol"":0.175,""volume_ml"":null,""equivalents"":0.01},""role"":""metal_catalyst""},{""name"":""CM-Phos (2-[2-(dicyclohexylphosphino)phenyl]-1-methyl-1H-indole)"",""abbreviation"":""CM-Phos"",""cas"":""1067883-58-2"",""smiles"":""Cn1c(cc2ccccc12)-c3ccccc3P(C4CCCCC4)C5CCCCC5"",""amount"":{""weight_g"":0.282,""mmol"":0.7,""volume_ml"":null,""equivalents"":0.04},""role"":""ligand""},{""name"":""Dichloromethane"",""abbreviation"":""DCM"",""cas"":""75-09-2"",""smiles"":""C(Cl)Cl"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":18.0,""equivalents"":null},""role"":""solvent""},{""name"":""Triethylamine"",""abbreviation"":""Et3N"",""cas"":""121-44-8"",""smiles"":""CCN(CC)CC"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":1.8,""equivalents"":null},""role"":""base""},{""name"":""Potassium carbonate"",""abbreviation"":""K2CO3"",""cas"":""584-08-7"",""smiles"":""[K+].[K+].[O-]C(=O)[O-]"",""amount"":{""weight_g"":6.05,""mmol"":43.8,""volume_ml"":null,""equivalents"":2.5},""role"":""base""},{""name"":""Phenylboronic acid"",""abbreviation"":null,""cas"":""98-80-6"",""smiles"":""B(c1ccccc1)(O)O"",""amount"":{""weight_g"":0.0427,""mmol"":0.35,""volume_ml"":null,""equivalents"":0.02},""role"":""additive""},{""name"":""4-(tert-Butyl)phenyl methanesulfonate"",""abbreviation"":null,""cas"":""59970-38-6"",""smiles"":""CC(C)(C)c1ccc(OS(=O)(=O)C)cc1"",""amount"":{""weight_g"":3.99,""mmol"":17.5,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""N-Methylaniline"",""abbreviation"":null,""cas"":""100-61-8"",""smiles"":""CNc1ccccc1"",""amount"":{""weight_g"":null,""mmol"":26.3,""volume_ml"":2.85,""equivalents"":1.5},""role"":""starting_material""},{""name"":""tert-Butyl alcohol (2-methyl-2-propanol)"",""abbreviation"":""t-BuOH"",""cas"":""75-65-0"",""smiles"":""CC(C)(C)O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":70.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":50,""time_h"":0.083,""atmosphere"":""N2; pre-activate Pd(OAc)2 with CM-Phos in DCM/Et3N; sealed Schlenk; oil bath""},{""temperature_C"":23,""time_h"":0.167,""atmosphere"":""N2; after charging K2CO3, phenylboronic acid, mesylate, N-methylaniline and t-BuOH; stir 10 min at rt""},{""temperature_C"":120,""time_h"":24.0,""atmosphere"":""N2; sealed Schlenk; oil bath""}]}]"
palladium_catalyzed_1_4_addition_of_terminal_alkyn,Pd_Conjugate_Addition_Alkyne_to_Enone,,60,48,C#Cc1ccccc1.CCC(=O)C=C>>CC(=O)CCC#CC1=CC=CC=C1,"Palladium-catalyzed 1,4-Addition of Terminal Alkynes to Conjugated Enones. Organic Syntheses, Vol. 91, pp. 72-82 (2014). DOI: 10.15227/orgsyn.091.0072. URL: https://www.orgsyn.org/demo.aspx?prep=v91p0072","536-74-3, 1629-58-9, 536-74-3",,,"3375-31-3, 594-09-2","7732-18-5, 108-88-3",,,,,,,1,5,,,,,,,,"First step only: Pd(OAc)2/PMe3-catalyzed 1,4-addition of phenylacetylene to ethyl vinyl ketone in water; staged alkyne addition; 60 闂佺娅ｉ悡?for 48 h.","[{""chemicals"":[{""name"":""Palladium(II) acetate"",""abbreviation"":""Pd(OAc)2"",""cas"":""3375-31-3"",""smiles"":null,""amount"":{""weight_g"":0.224,""mmol"":1.0,""volume_ml"":null,""equivalents"":0.02},""role"":""metal_catalyst""},{""name"":""Trimethylphosphine (1.0 M in toluene)"",""abbreviation"":""PMe3"",""cas"":""594-09-2"",""smiles"":""P(C)(C)C"",""amount"":{""weight_g"":null,""mmol"":4.0,""volume_ml"":4.0,""equivalents"":0.08},""role"":""ligand""},{""name"":""Water (deionized)"",""abbreviation"":null,""cas"":""7732-18-5"",""smiles"":""O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":50.0,""equivalents"":null},""role"":""solvent""},{""name"":""Toluene (from PMe3 solution)"",""abbreviation"":null,""cas"":""108-88-3"",""smiles"":""Cc1ccccc1"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":4.0,""equivalents"":null},""role"":""solvent""},{""name"":""Phenylacetylene (initial portion)"",""abbreviation"":null,""cas"":""536-74-3"",""smiles"":""C#Cc1ccccc1"",""amount"":{""weight_g"":3.07,""mmol"":30.0,""volume_ml"":null,""equivalents"":0.6},""role"":""starting_material""},{""name"":""Ethyl vinyl ketone"",""abbreviation"":""EVK"",""cas"":""1629-58-9"",""smiles"":""CCC(=O)C=C"",""amount"":{""weight_g"":6.31,""mmol"":75.0,""volume_ml"":null,""equivalents"":1.5},""role"":""starting_material""},{""name"":""Phenylacetylene (second portion; added slowly)"",""abbreviation"":null,""cas"":""536-74-3"",""smiles"":""C#Cc1ccccc1"",""amount"":{""weight_g"":2.04,""mmol"":20.0,""volume_ml"":null,""equivalents"":0.4},""role"":""starting_material""}],""conditions"":[{""temperature_C"":23,""time_h"":0.167,""atmosphere"":""N2; dissolve Pd(OAc)2 and PMe3 (homogeneous brown)""},{""temperature_C"":23,""time_h"":0.033,""atmosphere"":""Add DI water (biphasic); N2 no longer required""},{""temperature_C"":23,""time_h"":0.033,""atmosphere"":""Add phenylacetylene (0.6 equiv) then ethyl vinyl ketone (1.5 equiv); vigorous stirring ~1400 rpm""},{""temperature_C"":23,""time_h"":0.083,""atmosphere"":""Add remaining phenylacetylene (0.4 equiv) at 0.4 mL/min""},{""temperature_C"":60,""time_h"":48.0,""atmosphere"":""Heat in oil bath; vigorous stirring; darkening to dark brown""}]}]"
unspecified_mitsunobu_etherification_of_benzyl_al,Mitsunobu_etherification,,0,0,OCc1ccccc1.O=Cc1ccc(O)cc1>>O=Cc1ccc(OCc2ccccc2)cc1,"Unspecified (Mitsunobu etherification of benzyl alcohol with 4-hydroxybenzaldehyde). Organic Letters, Vol. 6, pp. 397 (2004). DOI: N/A. URL: N/A","100-51-6, 123-08-0",,603-35-0,,109-99-9,,,,,,,2,3,,,,,,,,DIAD/PPh3 in dry THF at 0 闂佺娅ｉ悡?under N2; DIAD added dropwise over 5 min; stirred 1 h until TLC shows full conversion. DIAD added dropwise over 5 min at 0 闂佺娅ｉ悡?under N2 (separate addition step encoded).,"[{""chemicals"":[{""name"":""Benzyl alcohol"",""abbreviation"":null,""cas"":""100-51-6"",""smiles"":""OCc1ccccc1"",""amount"":{""weight_g"":0.2,""mmol"":1.85,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""4-Hydroxybenzaldehyde"",""abbreviation"":null,""cas"":""123-08-0"",""smiles"":""O=Cc1ccc(O)cc1"",""amount"":{""weight_g"":0.226,""mmol"":1.85,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Triphenylphosphine"",""abbreviation"":""PPh3"",""cas"":""603-35-0"",""smiles"":""P(c1ccccc1)(c2ccccc2)c3ccccc3"",""amount"":{""weight_g"":0.582,""mmol"":2.22,""volume_ml"":null,""equivalents"":1.2},""role"":""reagent""},{""name"":""Tetrahydrofuran"",""abbreviation"":""THF"",""cas"":""109-99-9"",""smiles"":""C1CCOC1"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":20.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":0,""time_h"":0.0,""atmosphere"":""N2""}]},{""chemicals"":[{""name"":""Diisopropyl azodicarboxylate"",""abbreviation"":""DIAD"",""cas"":""2446-83-5"",""smiles"":""CC(C)OC(=O)N=NC(=O)OC(C)C"",""amount"":{""weight_g"":null,""mmol"":2.22,""volume_ml"":0.44,""equivalents"":1.2},""role"":""reagent""}],""conditions"":[{""temperature_C"":0,""time_h"":0.083,""atmosphere"":""N2""},{""temperature_C"":0,""time_h"":1.0,""atmosphere"":""N2""}]}]"
n_carboxylated_2_substituted_indoles_and_2_3_disub,Sonogashira_Coupling,,60,16,NC(=O)c1ccccc1I.C#CCCCC>>NC(=O)c1ccccc1C#CCCCC,"N闂備胶鍋ㄩ崕鏌ュ储椤﹀檺boxylated闂?闂備胶鍋ㄩ崕鏌ュ船缁夋矚stituted Indoles and 2,3闂備胶鍋ㄩ崕鏌ュ储閻氼湽ubstituted闂?,3闂備胶鍋ㄩ崕鏌ュ触閳х惒hydro闂?闂備胶鍋ㄩ崕鏌ュ船绾炬nolones from 2闂備胶鍋ㄩ崕鏌ュ储濞撴悊ynylbenzamides 闂?Step A: 2闂?1闂備胶鍋ㄩ崕鏌ュ储閻хynyl)benzamide. Organic Syntheses, Vol. 91, pp. 27-38 (2014). DOI: 10.15227/orgsyn.091.0027. URL: https://www.orgsyn.org/demo.aspx?prep=v91p0027","3930-83-4, 693-02-7",,121-44-8,"603-35-0, 7681-65-4, 3375-31-3",68-12-2,,,,,,,1,1,,,,,,,,"Pd(OAc)闂?(1 mol%), CuI (1 mol%), PPh闂?(2 mol%) in DMF (40 mL) and Et闂備線鈧偛鍟崜?(120 mL); 1闂備胶鍋ㄩ崕鏌ュ触婵紲yne (1.3 equiv); 60闂備胶鍋ㄩ崕娲吹椤忓牊鍎?oil bath under N闂? 16 h; aqueous workup and silica gel chromatography; 90% yield (checkers: 91%).","[{""chemicals"":[{""name"":""2-Iodobenzamide"",""abbreviation"":null,""cas"":""3930-83-4"",""smiles"":""NC(=O)c1ccccc1I"",""amount"":{""weight_g"":19.8,""mmol"":80.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Triphenylphosphine"",""abbreviation"":""PPh3"",""cas"":""603-35-0"",""smiles"":""P(c1ccccc1)(c2ccccc2)c3ccccc3"",""amount"":{""weight_g"":0.419,""mmol"":1.6,""volume_ml"":null,""equivalents"":0.02},""role"":""ligand""},{""name"":""Copper(I) iodide"",""abbreviation"":""CuI"",""cas"":""7681-65-4"",""smiles"":""I[Cu]"",""amount"":{""weight_g"":0.152,""mmol"":0.8,""volume_ml"":null,""equivalents"":0.01},""role"":""metal_catalyst""},{""name"":""Palladium(II) acetate"",""abbreviation"":""Pd(OAc)2"",""cas"":""3375-31-3"",""smiles"":null,""amount"":{""weight_g"":0.18,""mmol"":0.8,""volume_ml"":null,""equivalents"":0.01},""role"":""metal_catalyst""},{""name"":""N,N-Dimethylformamide"",""abbreviation"":""DMF"",""cas"":""68-12-2"",""smiles"":""CN(C)C=O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":40.0,""equivalents"":null},""role"":""solvent""},{""name"":""Triethylamine"",""abbreviation"":""Et3N"",""cas"":""121-44-8"",""smiles"":""CCN(CC)CC"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":120.0,""equivalents"":null},""role"":""base""},{""name"":""1-Hexyne"",""abbreviation"":null,""cas"":""693-02-7"",""smiles"":""C#CCCCC"",""amount"":{""weight_g"":null,""mmol"":104.0,""volume_ml"":12.0,""equivalents"":1.3},""role"":""starting_material""}],""conditions"":[{""temperature_C"":60,""time_h"":16,""atmosphere"":""N2""}]}]"
copper_catalyzed_suzuki_miyaura_coupling_of_unacti,Suzuki_Cu_alkyl_halide+aryl_boron,,80,24,BrC1CCCCC1.Clc2ccc(B(OC3(C)C)OC3(C)C)cc2>>Clc4ccc(C5CCCCC5)cc4,"Copper-Catalyzed Suzuki-Miyaura Coupling of Unactivated Alkyl Halides with Arylborons. Organic Syntheses, Vol. 102, pp. 86-99 (2025). DOI: 10.15227/orgsyn.102.0086. URL: https://www.orgsyn.org/demo.aspx?prep=v102p0086",108-85-0,,865-48-5,,108-88-3,,,,,,,1,1,,,,,,,,"CuBr闁荤姾娅ｉ弻鍢檈2 (5 mol%), bathophenanthroline (7.5 mol%), NaOtBu (1.5 equiv), toluene (20 mL), 80 闂佺娅ｉ悡? 24 h, air; combined 73% yield (65% + 8% from second collection).","[{""chemicals"":[{""name"":""4-Chlorophenylboronic acid pinacol ester"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":8.59,""mmol"":36.0,""volume_ml"":null,""equivalents"":1.8},""role"":""starting_material""},{""name"":""Sodium tert-butoxide"",""abbreviation"":""NaOtBu"",""cas"":""865-48-5"",""smiles"":""CC(C)(C)[O-].[Na+]"",""amount"":{""weight_g"":2.88,""mmol"":30.0,""volume_ml"":null,""equivalents"":1.5},""role"":""base""},{""name"":""Copper(I) bromide\u2013dimethyl sulfide complex"",""abbreviation"":""CuBr\u00b7SMe2"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.206,""mmol"":1.0,""volume_ml"":null,""equivalents"":0.05},""role"":""metal_catalyst""},{""name"":""Bathophenanthroline"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.499,""mmol"":1.5,""volume_ml"":null,""equivalents"":0.075},""role"":""ligand""},{""name"":""Bromocyclohexane"",""abbreviation"":null,""cas"":""108-85-0"",""smiles"":""BrC1CCCCC1"",""amount"":{""weight_g"":3.3,""mmol"":20.0,""volume_ml"":2.5,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Toluene (dried over MgSO4)"",""abbreviation"":""toluene"",""cas"":""108-88-3"",""smiles"":""Cc1ccccc1"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":20.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":80,""time_h"":24,""atmosphere"":""air""}]}]"
suzuki_coupling_of_aryl_pinacol_boronate_with_aryl,Suzuki_Coupling,,100,8,O=C(OC(C)(C)C)NC1=C(Br)C=CC=C1.CC2=C(B3OC(C)(C)C(C)(C)O3)C=CC=C2>>O=C(OC(C)(C)C)NC4=C(C5=C(C)C=CC=C5)C=CC=C4,Suzuki coupling of aryl pinacol boronate with aryl bromide (Pd(PPh3)4/K2CO3 in dioxane/H2O),,,,,,,,,,,,1,1,,,,,,,,Aryl pinacol boronate as coupling partner.,"[{""chemicals"":[{""name"":""Aryl bromide (1)"",""abbreviation"":null,""cas"":null,""smiles"":""O=C(OC(C)(C)C)NC1=C(Br)C=CC=C1"",""amount"":{""weight_g"":3.862,""mmol"":null,""volume_ml"":null,""equivalents"":null},""role"":""starting_material""},{""name"":""Aryl pinacol boronate (2)"",""abbreviation"":null,""cas"":null,""smiles"":""CC2=C(B3OC(C)(C)C(C)(C)O3)C=CC=C2"",""amount"":{""weight_g"":3.401,""mmol"":null,""volume_ml"":null,""equivalents"":null},""role"":""starting_material""},{""name"":""Potassium carbonate"",""abbreviation"":""K2CO3"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":2.245,""mmol"":null,""volume_ml"":null,""equivalents"":null},""role"":""base""},{""name"":""Tetrakis(triphenylphosphine)palladium(0)"",""abbreviation"":""Pd(PPh3)4"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.328,""mmol"":null,""volume_ml"":null,""equivalents"":null},""role"":""catalyst""},{""name"":""1,4-Dioxane"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":80.0,""equivalents"":null},""role"":""solvent""},{""name"":""Water"",""abbreviation"":null,""cas"":null,""smiles"":""O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":20.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":100,""time_h"":8,""atmosphere"":""nitrogen"",""details"":""Reflux several hours until starting material disappears.""}]}]"
suzuki_coupling_of_methyl_4_bromobenzoate_with_4_f,Suzuki_Coupling,,,,BrC1=CC=C(C=C1)C(OC)=O.FC2=CC=C(C=C2)B(O)O>>FC3=CC=C(C4=CC=C(C=C4)C(OC)=O)C=C3,Suzuki coupling of methyl 4-bromobenzoate with 4-fluorophenylboronic acid (Pd(dppf)Cl2闁荤姾娅ｉ弸瀛?Cl2/Na2CO3 in toluene). (2002),,,,,,,,,,,,1,,,,,,,,,Pd(dppf)Cl2闁荤姾娅ｉ弸瀛?Cl2 pre-catalyst used; aqueous Na2CO3; toluene reflux.,"[{""chemicals"":[{""name"":""Methyl 4-bromobenzoate"",""abbreviation"":null,""cas"":null,""smiles"":""O=C(OC)C1=CC=C(Br)C=C1"",""amount"":{""weight_g"":21.5,""mmol"":100.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""4-Fluorophenylboronic acid"",""abbreviation"":null,""cas"":null,""smiles"":""FC1=CC=C(B(O)O)C=C1"",""amount"":{""weight_g"":14.7,""mmol"":105.0,""volume_ml"":null,""equivalents"":1.05},""role"":""starting_material""},{""name"":""Pd(dppf)Cl2\u00b7CH2Cl2"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":1.48,""mmol"":2.0,""volume_ml"":null,""equivalents"":0.02},""role"":""catalyst""},{""name"":""Sodium carbonate (2 M, aq.)"",""abbreviation"":""Na2CO3 (2 M)"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":100.0,""equivalents"":null},""role"":""base""},{""name"":""Toluene"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":200.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[]}]"
suzuki_coupling_of_aryl_triflate_with_4_fluorophen,Suzuki_Coupling,,90,12,CCC1=CC(C(OC)=O)=C(OS(=O)(=O)C(F)(F)F)C=C1.FC2=CC=C(B(O)O)C=C2>>CCC3=CC=C(C4=CC=C(F)C=C4)C(C(OC)=O)=C3,Suzuki coupling of aryl triflate with 4-fluorophenylboronic acid (Pd(PPh3)4/Na2CO3 in toluene/EtOH). (2005),,,,,,,,,,,,1,1,,,,,,,,Two-phase toluene/EtOH with aqueous Na2CO3; 90 闂佺娅ｉ悡?for 12 h.,"[{""chemicals"":[{""name"":""Aryl triflate substrate"",""abbreviation"":null,""cas"":null,""smiles"":""CCC1=CC(C(OC)=O)=C(OS(=O)(=O)C(F)(F)F)C=C1"",""amount"":{""weight_g"":1.5,""mmol"":4.8,""volume_ml"":12.5,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Tetrakis(triphenylphosphine)palladium(0)"",""abbreviation"":""Pd(PPh3)4"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.28,""mmol"":0.24,""volume_ml"":null,""equivalents"":0.05},""role"":""catalyst""},{""name"":""4-Fluorophenylboronic acid"",""abbreviation"":null,""cas"":null,""smiles"":""FC1=CC=C(B(O)O)C=C1"",""amount"":{""weight_g"":1.1,""mmol"":5.7,""volume_ml"":5.5,""equivalents"":1.2},""role"":""starting_material"",""details"":""Dissolved in ethanol (5.5 mL)""},{""name"":""Sodium carbonate (2 M, aq.)"",""abbreviation"":""Na2CO3 (2 M)"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":11.5,""equivalents"":null},""role"":""base""},{""name"":""Toluene"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":12.5,""equivalents"":null},""role"":""solvent""},{""name"":""Ethanol"",""abbreviation"":""EtOH"",""cas"":null,""smiles"":""CCO"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":5.5,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":90.0,""time_h"":12.0,""details"":""Heat and stir; then cool and dilute.""}]}]"
suzuki_coupling_of_aryl_chloride_pdcl2_pcy3_2_csf,Suzuki_Coupling,,100,10,O=C(OC)/C=C/C1=CC=CC(Cl)=C1.OB(O)C2=CC=CC=C2>>O=C(OC)/C=C/C3=CC=CC(C4=CC=CC=C4)=C3,"Suzuki coupling of aryl chloride (PdCl2(PCy3)2/CsF in NMP). Tetrahedron Letters, Vol. 38, pp. 5575-5578 (1997)",,,,,,,,,,,,1,1,,,,,,,,Aryl chloride coupling with CsF in NMP at 100 闂佺娅ｉ悡?,"[{""chemicals"":[{""name"":""Methyl trans-3-chlorocinnamate"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.3932,""mmol"":2.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Dichlorobis(tricyclohexylphosphine)palladium(II)"",""abbreviation"":""PdCl2(PCy3)2"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.0738,""mmol"":0.1,""volume_ml"":null,""equivalents"":0.05},""role"":""catalyst"",""details"":""mmol inferred; source text says '0.10 mol' likely a typo.""},{""name"":""Phenylboronic acid"",""abbreviation"":null,""cas"":null,""smiles"":""B(O)OC1=CC=CC=C1"",""amount"":{""weight_g"":0.2926,""mmol"":2.4,""volume_ml"":null,""equivalents"":1.2},""role"":""starting_material""},{""name"":""Cesium fluoride"",""abbreviation"":""CsF"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.607,""mmol"":4.0,""volume_ml"":null,""equivalents"":2.0},""role"":""additive""},{""name"":""N-Methyl-2-pyrrolidone"",""abbreviation"":""NMP"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":5.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":100.0,""time_h"":10.0,""atmosphere"":""nitrogen"",""details"":""Degas by N2 purge; heat 10 h.""}]}]"
visible_light_promoted_c_s_cross_coupling_reaction,VisibleLight_Coupling_ArylBr+ArSH,,23,5,Brc1ccc(C(=O)C)cc1.Clc1ccccc1S>>CC(=O)c1ccc(S-c2ccccc2Cl)cc1,"Visible-Light-Promoted C闂備胶鍋ㄩ崕鑼躲亹?Cross-Coupling Reaction for Synthesis of Aromatic Thioethers. Organic Syntheses, Vol. 100, pp. 234-247 (2023). DOI: 10.15227/orgsyn.100.0234. URL: https://www.orgsyn.org/demo.aspx?prep=v100p0234","99-90-1, 6320-03-2",,534-17-8,,67-68-5,,,,,,,1,2,,,,,,,,Step A only: coupling of 4'-bromoacetophenone with 2-chlorobenzenethiol under blue light (456 nm) in DMSO with Cs2CO3 base; N2 atmosphere; 23 闂佺娅ｉ悡? 5 h.,"[{""chemicals"":[{""name"":""4'-Bromoacetophenone"",""abbreviation"":null,""cas"":""99-90-1"",""smiles"":""CC(=O)c1ccc(Br)cc1"",""amount"":{""weight_g"":3.98,""mmol"":20.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""2-Chlorobenzenethiol"",""abbreviation"":null,""cas"":""6320-03-2"",""smiles"":""Clc1ccccc1S"",""amount"":{""weight_g"":4.34,""mmol"":30.0,""volume_ml"":null,""equivalents"":1.5},""role"":""starting_material""},{""name"":""Cesium carbonate"",""abbreviation"":""Cs2CO3"",""cas"":""534-17-8"",""smiles"":""[Cs+].[Cs+].[O-]C(=O)[O-]"",""amount"":{""weight_g"":9.77,""mmol"":30.0,""volume_ml"":null,""equivalents"":1.5},""role"":""base""},{""name"":""Dimethyl sulfoxide"",""abbreviation"":""DMSO"",""cas"":""67-68-5"",""smiles"":""CS(=O)C"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":50.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":23,""time_h"":0.05,""atmosphere"":""Evacuate/backfill with N2 (\u00d73)""},{""temperature_C"":23,""time_h"":5.0,""atmosphere"":""N2; irradiate 456 nm, Kessil PR160 (40\u201350 W), 5 cm; stir 800 rpm""}]}]"
