case_id,partition,smiles,canonical_smiles,detected_groups,detected_group_labels,detected_sites,detected_site_labels,detected_environments,reviewer_id,reactive_sites_correct,functional_groups_correct,steric_correct,electronic_context_correct,missing_features,incorrect_features,comments
acetic_acid,development,CC(=O)O,CC(=O)O,carboxylic_acid (1),CO2H (1),EC|Acyl|Alkyl|OH|latent (1); XH|O|H1|C(O)R (1),R–C(O)OH (1); R–C(O)–OH (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""carboxylic_acid""}], ""site_signature"": ""EC|Acyl|Alkyl|OH|latent"", ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}, {""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""carboxylic_acid""}], ""site_signature"": ""XH|O|H1|C(O)R"", ""steric"": {""attached_groups"": [{""attachment_atom_index"": 1, ""context"": ""C(O)R"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
acetaldehyde,validation,CC=O,CC=O,aldehyde (1),CHO (1),EC|Carbonyl|aldehyde|Alkyl|addition (1),R–CH=O (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aldehyde""}], ""site_signature"": ""EC|Carbonyl|aldehyde|Alkyl|addition"", ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}]",,,,,,,,
acetone,test,CC(=O)C,CC(C)=O,ketone (1),C(O)R2 (1),"EC|Carbonyl|ketone|Alkyl,Alkyl|addition (1)",R2C=O (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""ketone""}], ""site_signature"": ""EC|Carbonyl|ketone|Alkyl,Alkyl|addition"", ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
phenol,development,Oc1ccccc1,Oc1ccccc1,phenol (1),Ar–OH (1),CH|ArH (5); XH|O|H1|Ar (1),Ar–H (5); Ar–OH (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""phenol""}], ""site_signature"": ""XH|O|H1|Ar"", ""steric"": {""attached_groups"": [{""attachment_atom_index"": 1, ""context"": ""Ar"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
ethyl_thiol,validation,CCS,CCS,thiol (1),R–SH (1),XH|S|H1|Alkyl (1),R–SH (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""thiol""}], ""site_signature"": ""XH|S|H1|Alkyl"", ""steric"": {""attached_groups"": [{""alpha_branched"": false, ""alpha_carbon_neighbor_count"": 1, ""attachment_atom_index"": 1, ""attachment_carbon_class"": ""primary"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}]",,,,,,,,
secondary_sulfonamide,test,CS(=O)(=O)NC,CNS(C)(=O)=O,sulfonamide (1),SO2NR2 (1),"XH|N|H1|SO2R,Alkyl (1)",R–S(O)2–NHR (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""sulfonamide""}], ""site_signature"": ""XH|N|H1|SO2R,Alkyl"", ""steric"": {""attached_groups"": [{""attachment_atom_index"": 1, ""context"": ""SO2R"", ""element"": ""S""}, {""alpha_branched"": false, ""alpha_carbon_neighbor_count"": 0, ""attachment_atom_index"": 5, ""attachment_carbon_class"": ""methyl"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""center_substitution_class"": ""secondary"", ""class"": ""primary"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1""}}]",,,,,,,,
aryl_epoxide,validation,c1ccccc1C1CO1,c1ccc(C2CO2)cc1,epoxide (1),epoxide (1),CH|ArH (5),Ar–H (5),[],,,,,,,,
terminal_alkene,development,CC=C,C=CC,alkene (1),C=C (1),PI|Alkene (1),C=C (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""alkene""}], ""site_signature"": ""PI|Alkene"", ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}]",,,,,,,,
terminal_alkyne,test,CC#C,C#CC,alkyne (1),C≡C (1),PI|Alkyne (1); XH|Csp|H1|Alkynyl (1),C≡C (1); R–C≡C–H (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""alkyne""}], ""site_signature"": ""PI|Alkyne"", ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}, {""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""alkyne""}], ""site_signature"": ""XH|Csp|H1|Alkynyl"", ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}]",,,,,,,,
aminopyridine,test,Nc1ccccn1,Nc1ccccn1,heteroaryl_nitrogen (1); primary_amine (1),HetAr–N (1); R–NH2 (1),CH|HetArH (4); XH|N|H2|HeteroAr (1),HeteroAr–H (4); HeteroAr–NH2 (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.325}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""primary_amine""}, {""distance"": 2, ""group_id"": ""heteroaryl_nitrogen""}], ""site_signature"": ""XH|N|H2|HeteroAr"", ""steric"": {""attached_groups"": [{""attachment_atom_index"": 1, ""context"": ""HeteroAr"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""center_substitution_class"": ""primary"", ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
hindered_electron_poor_aryl_bromide,test,Brc1c(C)cccc1C#N,Cc1cccc(C#N)c1Br,aryl_halide (1); nitrile (1),Ar–X (1); C≡N (1),CH|ArH (3); LG|Ar|Br (1),Ar–Br (1); Ar–H (3),"[{""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.5}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide""}, {""distance"": 2, ""group_id"": ""nitrile""}], ""site_signature"": ""LG|Ar|Br"", ""steric"": {""class"": ""ortho_hindered"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 2}}]",,,,,,,,
negative_ethane,validation,CC,CC,,,,,[],,,,,,,,
invalid_smiles,test,not-a-smiles,,,,,,[],,,,,,,,
