Level1 Level2 Level3=SMARTS_RX SMARTS_RX_SMARTS
XKetone XKetoneAliphaticTriflate XKetoneAliphaticTriflate [C;$(C(C)(=O)C[*;$(OS(=O)(=O)C(F)(F)F)])]
Bocanhydrate Bocanhydrate Bocanhydrate [O;$(O(C(C)(C)(C))C(=O)OC(=O)OC(C)(C)C)]
Mesylate Mesylate Mesylate [O;D2;$(O[S;D4](=O)(=O)[#6]);!$(O(S(=O)(=O))S(=O)(=O));!$(OS(=O)(=O)C(F)(F)F)]
Mesylate DiMesylate DiMesylate [O;D2;$(O([S;D4](=O)(=O)[#6])[S;D4](=O)(=O)[#6]);!$(OS(=O)(=O)C(F)(F)F)]
XF X_Aliphatic X-Fluoride_Aliph [F;$([F][*;$([#6]);!$(*=*)]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(F[C;D2][C;D3](=[O,S]));!$(FC(F)(F)S(=O)(=O)O);!$(FC(F)(F)F);!$(FC(F)F);!$(FCF)]
X X_Aliphatic X-Chloride_Aliph [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(Cl[C;D2][C;D3](=[O,S]))]
X X_Aliphatic X-Bromide_Aliph [Br;$([Br][*;$([#6]);!$(*=*)]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(Br[C;D2][C;D3](=[O,S]))]
X X_Aliphatic X-Iodide_Aliph [I;$([I][*;$([#6]);!$(*=*)]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(I[C;D2][C;D3](=[O,S]))]
X X_Aliphatic X-Triflate_Aliph [O;$(OS(=O)(=O)C(F)(F)F);!$(O[C;D2][C;D3](=[O,S]));$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
XF X_Aliphatic X-Fluoride_Vinyl [F;$([F][*;$([#6]);!$(*=[*;!$([#6])])]);$([$(*C=C)]);!$(FC(F)F);!$(FCF)]
X X_Aliphatic X-Chloride_Vinyl [Cl;$([Cl][*;$([#6]);!$(*=[*;!$([#6])])]);$([$(*C=C)])]
X X_Aliphatic X-Bromide_Vinyl [Br;$([Br][*;$([#6]);!$(*=[*;!$([#6])])]);$([$(*C=C)])]
X X_Aliphatic X-Iodide_Vinyl [I;$([I][*;$([#6]);!$(*=[*;!$([#6])])]);$([$(*C=C)])]
X X_Aliphatic X-Triflate_Vinyl [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=[*;!$([#6])])]);$([$(*C=C)])]
XF X_Aliphatic X-Fluoride_Alkyne [F;$([F][*;$([#6]);!$(*=*)]);$([$(*C#C)]);!$(FC(F)F)]
X X_Aliphatic X-Chloride_Alkyne [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*C#C)])]
X X_Aliphatic X-Bromide_Alkyne [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*C#C)])]
X X_Aliphatic X-Iodide_Alkyne [I;$([I][*;$([#6]);!$(*=*)]);$([$(*C#C)])]
X X_Aliphatic X-Triflate_Alkyne [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*C#C)])]
XF X_Aliphatic X-Fluoride_Nitrile [F;$([F][*;$([#6]);!$(*=*)]);$([$(*C#N)]);!$(FC(F)F)]
X X_Aliphatic X-Chloride_Nitrile [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*C#N)])]
X X_Aliphatic X-Bromide_Nitrile [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*C#N)])]
X X_Aliphatic X-Iodide_Nitrile [I;$([I][*;$([#6]);!$(*=*)]);$([$(*C#N)])]
X X_Aliphatic X-Triflate_Nitrile [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*C#N)])]
XF X_Fluoride_Aromatic X-Fluoride_Phe [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])]);!$(FC(F)F)]
X X_Aromatic X-Chloride_Phe [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])])]
X X_Aromatic X-Bromide_Phe [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])])]
X X_Aromatic X-Iodide_Phe [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])])]
X X_Aromatic X-Triflate_Phe [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1ccccc1)]);$(*[c;$(c1[c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])][c;!$([a3])]1)]);!$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het6 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het6 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])])]
X X_Heteroaromatic X-Bromide_Het6 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])])]
X X_Heteroaromatic X-Iodide_Het6 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])])]
X X_Heteroaromatic X-Triflate_Het6 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[c;$(c1ccccc1)]),$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]),$(*[c;$(c1ccc2c(aaa2)c1)]),$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]),$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het5 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het5 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])])]
X X_Heteroaromatic X-Bromide_Het5 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])])]
X X_Heteroaromatic X-Iodide_Het5 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])])]
X X_Heteroaromatic X-Triflate_Het5 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1aaaa1)]);$(*[a;$(*1[*;!$([a3])][*;!$([a3])][*;!$([a3])][*;!$([a3])]1)]);!$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]),$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)]),$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het6Het5 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het6Het5 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])])]
X X_Heteroaromatic X-Bromide_Het6Het5 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])])]
X X_Heteroaromatic X-Iodide_Het6Het5 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])])]
X X_Heteroaromatic X-Triflate_Het6Het5 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[a;$(a1a2a(aaa2)aaa1)]),$(*[a;$(a1aaa2a(aaa2)a1)]);!$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_PheHet5 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_PheHet5 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]
X X_Heteroaromatic X-Bromide_PheHet5 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]
X X_Heteroaromatic X-Iodide_PheHet5 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]
X X_Heteroaromatic X-Triflate_PheHet5 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[c;$(c1c2c(aaa2)ccc1)]),$(*[c;$(c1ccc2c(aaa2)c1)])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het5Het6 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het5Het6 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])])]
X X_Heteroaromatic X-Bromide_Het5Het6 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])])]
X X_Heteroaromatic X-Iodide_Het5Het6 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])])]
X X_Heteroaromatic X-Triflate_Het5Het6 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(a(aa2)a1a2aaaa1)]),$(*[$(a2aa1a(a2)aaaa1)]);!$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het5Phe [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het5Phe [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]
