source_reaction_type,reactive_site_1_display_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_2_display_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,yield_pct,z_score,condition_recipe_id,condition_display,temperature_c,time_h,concentration_m,atmosphere,condition_identity_uncertainty,procedure_text
Condensation,Lactam,,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,29.83,-0.14,RCR1:c950140e8a3b928c793a9ded1b392ba3de8d6b21694698663900aa1c32cd46f7,No ligand; NaOtPent [base]; NMP [solvent]; pyBOP [coupling_reagent],25,18,,,true,18 h at 25 °C
Suzuki-Miyaura,Ar–Cl,LG|Ar|Cl,,,,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,0,-0.39,RCR1:27f163f1d8e570578b27f6f26a3d5e986e8baddf1b1f3dafea2b0ecae60758ac,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],,,,,true,
CO-Coupling,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Ar–Br,LG|Ar|Br,,,,1.65,-0.53,RCR1:0b096f69c55059463bfdf2b5d1b8e809653f611752450aaec520d386d202d435,[Pd(allyl)(Ad-BippyPhos)]OTf [catalyst]; Ad-BippyPhos [ligand]; Cs2CO3 [base]; PhMe [solvent],25,18,,,true,18 h at 25 °C
CO-Coupling,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Ar–Br,LG|Ar|Br,,,,0,-0.79,RCR1:8f758e56ebaa9c438e56deaf9ece8eca2089f6c8f8fd40435f6320eebf9f603a,CuI [catalyst]; trans-NN-Dimethylcyclohexane-12-diamine [ligand]; NaOtBu [base]; Dioxane [solvent],,,,,true,
CO-Coupling,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Ar–Br,LG|Ar|Br,,,,18.4,2.06,RCR1:1c9eff4641cb7e2455ad4166ce7ba942d8373047759fed67f9648d59c4f6ea6f,Copper(II)acetate [catalyst]; NN-Dibenzyloxamide [ligand]; K3PO4 [base]; MeCN [solvent],100,24,,,true,24 h at 100 °C
CO-Coupling,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Ar–Br,LG|Ar|Br,,,,11.42,0.98,RCR1:ea535ec9fd60e5967bb373b4742ca8747641b637b25c5667c4a442c0a63bf019,Copper(II)acetate [catalyst]; diphenethyloxamide [ligand]; K3PO4 [base]; DMF [solvent]; water [additive],25,24,,,true,24 h at 25 °C
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Cl,LG|Ar|Cl,,,,19.18,-0.52,RCR1:d739caeb831219ca450c74a5d6525d142a2dacfffabc68142c1a9e452089345a,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; Dioxane [solvent],25,14,,,true,14 h at 25 °C
Wittig,R2CO,,,,,RCH2PPh3X,,,,,30.87,-0.77,RCR1:0c85d58b592ba9146f507f00b016d6f48597ffc929310a3210a559c05399bf95,No ligand; LiHMDS [base]; PhMe [solvent],25,0.17,,,false,0.17 h at 25 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,3.24,0.57,RCR1:347c323972c75717e7ee6ec58c3fb6c52f653b18ef74dd008bf9f5b4e2579bb3,"Pd2dba3.CHCl3 [catalyst]; cBRIDP, Missing [ligand]; Cs2CO3 [base]; Dioxane [solvent]; water [additive]",100,24,,,true,24 h at 100 °C
Buchwald-Hartwig,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,21.2,-0.08,RCR1:25f59633c2dc3f16d9032358367f069a3181b615c4764dce9510d0d9d3a63509,"Pd2dba3.CHCl3 [catalyst]; cBRIDP, Missing [ligand]; Cs2CO3 [base]; Dioxane [solvent]; water [additive]",80,18,,,true,18 h at 80 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,0,-0.47,RCR1:5fe97a65d66bfacae7104bc318a0d7d43d665c60bb386182509308145df2411b,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K3PO4 [base]; NMI [base]; anisole [solvent]; KOPiv [additive],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,94.47,1.56,RCR1:bd0d2f7aff1956da00b4aad755b30b6a1cce5967603d0c853c8ff6deb6216a8b,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; NaOtBu [base]; PhMe [solvent],60,1,,,true,1 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.99,RCR1:210826bc2e1e11c3e6d420694cb0a917dc3747aceb6f00528bbd38b56921e7bb,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; NaOtBu [base]; TBME [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,71,0.92,RCR1:f1f829a4fd2395e93b276a45c1d1b44ae1d02f2b410bfab3a0088eaf640321e7,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; NaOtBu [base]; cyclohexane [solvent]; TBME [solvent],50,1,,,true,1 h at 50 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Lactam,,,,,0,-0.53,RCR1:6861cc31960b4f9e8a177dff92a04e7a11de548147c8a932d10d99e6ea5b5695,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; NaOtBu [base]; PhMe [solvent],,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,58.48,0.7,RCR1:54b85f16939b84455a5790e4760788898c83a3112edfc0fc843177e8ecfb56c9,dtbpfPdCl2 [catalyst]; dtbpf [ligand]; K3PO4 [base]; iPrOAc [solvent]; water [solvent],60,2,,,true,2 h at 60 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,72.14,1.29,RCR1:4608d0e42371d3cae50bab1cfba3326946c6e7e783eca0061efceadefb11cdbc,dppfPdCl2 [catalyst]; dppf [ligand]; K3PO4 [base]; iPrOAc [solvent]; water [solvent],60,2,,,true,2 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R2CNR,,,,,12.1,0.56,RCR1:02d3c0fe356a06a4f045d48d7d21c973a5e9f6a6a000e67a300dc049d4229ca4,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],80,17,,,true,17 h at 80 °C
Buchwald-Hartwig,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,10.36,-1.27,RCR1:dbda39833c62835db99326328c1dd234222a49a7549b78e93ce4a48a3853ffd8,dppfPdCl2 [catalyst]; dppf [ligand]; Cs2CO3 [base]; MeTHF [solvent],80,20,,,true,20 h at 80 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,15.29,-0.7,RCR1:7be6dc57e6ae1b117e716adb0aad95c04d945cf2cbb0f3a28d57b9c371a65221,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; Cs2CO3 [base]; MeTHF [solvent]; water [additive],60,3,,,true,3 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,77.12,1.76,RCR1:e174c32bce75ff6c839cdf06517c34390a304dde5e358121e651e470f3888aeb,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; K3PO4 [base]; tAmOH [solvent]; water [solvent],80,11,,,true,11 h at 80 °C
CH-Activation,Ar–H,CH|ArH,,,,alkyne,PI|Alkyne,,,,0,-1.01,RCR1:28d93d48d6b6219280dd135a10205168832ff4104eed9792fca33e7942dcafed,(Ru(p-cymene)Cl2)2 [catalyst]; No ligand; tAmOH [solvent]; water [additive],,,,,true,
CH-Activation,Ar–H,CH|ArH,,,,alkyne,PI|Alkyne,,,,44.35,0.8,RCR1:70b2a9b52199c71586f78fa133751c3b8bcd7b198fae6156980fd6fd0461abdd,(Ru(p-cymene)Cl2)2 [catalyst]; No ligand; acetone [solvent]; HFIP [additive]; KOAc [additive],80,24,,,true,24 h at 80 °C
CH-Activation,Ar–H,CH|ArH,,,,alkyne,PI|Alkyne,,,,9.83,-0.61,RCR1:73e502f1525b41600e8f6d64923842d0a20f780f5b0b5092f9356900f8a2a2a6,"(Ru(p-cymene)Cl2)2, Copper(II)acetate [catalyst]; No ligand; PhMe [solvent]; HFIP [additive]",80,21.5,,,true,21.5 h at 80 °C
CH-Activation,Ar–H,CH|ArH,,,,alkyne,PI|Alkyne,,,,30.31,0.23,RCR1:7da5103119015915113ca1ec1337a5f344a6007309c6a1f43a61aef7d091a10b,(Ru(p-cymene)Cl2)2 [catalyst]; No ligand; PhMe [solvent]; HFIP [additive],80,22.5,,,true,22.5 h at 80 °C
CH-Activation,Ar–H,CH|ArH,,,,alkyne,PI|Alkyne,,,,60.99,1.49,RCR1:5b5dbf2aeb7ce666d0442e8e8eaa5e83e8097c315b2d954241c302907c9091c0,(Ru(p-cymene)Cl2)2 [catalyst]; No ligand; PhMe [solvent]; HFIP [additive],80,24,,,true,24 h at 80 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,0,-0.29,RCR1:65f73f4e95f16cf4fb7d4fe2e485267af935361a226d204a1a08eb48c7bfe68d,BrettPhos Pd(crotyl)OTf [catalyst]; BrettPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,0,-1.32,RCR1:a9db8edc9a3db8890885f41bee7cb26f18070834bde07606aef6aa31b7f9c1ef,cBridP Pd(allyl)Cl [catalyst]; cBridP [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,72.8,1.35,RCR1:a0ee3a908c4499635e630659aca6cb42e78d7b42ba31f851cef377b12d0415ab,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; K3PO4 [base]; MeTHF [solvent]; water [solvent],60,5.75,,,true,5.75 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,87.13,1.59,RCR1:a6788f36f711a1a4802138ff9bbe4b066a76692085c66813b096e4a27f1aec42,"RuPhos Pd G4 [catalyst]; RuPhos [ligand]; NaOtBu, NMM [base]; Dioxane [solvent]",60,2,,,true,2 h at 60 °C
SNAr,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Lactam,,,,,0,-0.66,RCR1:e489e884aef7f58827c1b249fd5b7d93ca4d4c0daf2d39784e65785032725c19,No ligand; DBU [base]; DCM [solvent]; PyBrOP [coupling_reagent],,,,,false,
SNAr,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,Lactam,,,,,31.4,2.05,RCR1:024d7efaa7b73fe17f93ae21e90ca5103bc56ab139576fcf6bc684f88fec6847,No ligand; DBU [base]; NaOtBu [base]; PhMe [solvent]; PyBrOP [coupling_reagent],30,0.08,,,false,0.08 h at 30 °C
Suzuki-Miyaura,Ar–I,LG|Ar|I,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,38.87,1.06,RCR1:a252352e53f4ad3d237309b904986fe64adfba9f4f059ebe646daa6e5bd0c93d,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],,,,,true,"0.6 h at 40 °C, then 18.4 h at 60 °C"
Suzuki-Miyaura,Ar–I,LG|Ar|I,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,0,-1.07,RCR1:e52ae2b655d7f94e29d174b8bd1689ccba788e886ee06799c060f403ffb94781,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; Cs2CO3 [base]; tAmOH [solvent]; water [additive],,,,,true,
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,17.55,0.18,RCR1:2819daea9d0bef943e9d3ab486c71e93ba0f37af41c952f09cb5bb878ae46512,dppf Pd G3 [catalyst]; dppf [ligand]; NaOtBu [base]; PhMe [solvent],80,2,,,true,2 h at 80 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,50.6,0.58,RCR1:f8d66d17c2947afdb9c9b914a0ae7804e3a92bfdf4f27f88d0b2e974148969f0,rac-BINAP Pd G3 [catalyst]; BINAP [ligand]; NaOtBu [base]; PhMe [solvent],80,2,,,true,2 h at 80 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,16.28,0.62,RCR1:d609f25b6418f2717e429e08b2ffda62f9ee21525a80a25bdd486dabbb6d18a8,dppf Pd G3 [catalyst]; dppf [ligand]; NaOtBu [base]; PhMe [solvent],,,,,true,"3 h at 60 °C, then 17 h at 80 °C"
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,0,-0.4,RCR1:8b6010fadb2a53366c060ca3c1c0aaa0463105cad8b0458dbc828f643460be5e,dppf Pd G3 [catalyst]; dppf [ligand]; NaOtBu [base]; PhMe [solvent],,,,,true,
Condensation,R–Cl,LG|Alkyl|Cl,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,19.14,-0.61,RCR1:e5ad7458222d32e6cd2f93f65bfe89b70a36efadc32dbf8272b715f6d68d004b,No ligand; K3PO4 [base]; EtOH [solvent]; water [solvent]; TBAB [additive]; water [additive],85,22,,,false,22 h at 85 °C
Condensation,R–Cl,LG|Alkyl|Cl,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,63.08,1.2,RCR1:f577445b51b7cb82fc50a78163e9ea7723a92d3c66050b44a6d9a56ae0119d13,No ligand; NMM [base]; MeTHF [solvent]; water [additive],85,3,,,true,3 h at 85 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–I,LG|Ar|I,,,,43.44,2.02,RCR1:86bd599e5b45d738b1afb76c3845c6db6044e5bac9a04428419d0b9f654f7a6e,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; DMI [solvent]; KOAc [additive],90,20,,,true,20 h at 90 °C
Buchwald-Hartwig,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,0,-0.92,RCR1:2513f13b63e85198f3aaf464494fe5f4839b54d547dfc3a2165726f2e639a589,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; K3PO4 [base]; Dioxane [solvent]; water [solvent],,,,,true,
SNAr,Lactam,,,,,R–OH (α-C branched),XH|O|H1|Alkyl,,,true,71.37,1.77,RCR1:f9abfaf88b436ca1b4b99f4cb314b57ef767560d7c116f3d3fb4cb1ec68e5f3c,No ligand; DBU [base]; NaOtBu [base]; THF [solvent]; PyBrOP [coupling_reagent],30,0.25,,,false,0.25 h at 30 °C
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Cl,LG|Ar|Cl,,,,0,-0.6,RCR1:a8bd312eaa1dcddf73f00e7a4bbc4551d575e363c41374fdfb62c7807c8f1c05,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],,,,,true,
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Cl,LG|Ar|Cl,,,,0,-0.6,RCR1:64f4d9d2ebccccd10cabdfae08ab53afafafb5592db3ffc742901c936df63145,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],,,,,true,
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Cl,LG|Ar|Cl,,,,0,-0.87,RCR1:a8bd312eaa1dcddf73f00e7a4bbc4551d575e363c41374fdfb62c7807c8f1c05,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; PhMe [solvent]; water [additive],,,,,true,
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Cl,LG|Ar|Cl,,,,3.77,-0.72,RCR1:19137d50f278de5d0337e6f98e800c70fbe87bd172916a85b3be558a72e39194,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],80,20,,,true,20 h at 80 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,1.55,-0.21,RCR1:c268583762bd865bc4a8de46fe1a5ec314e15e91ebc62ab0a6f218f1f2b00afc,AlphosPd)2cod [catalyst]; AlPhos [ligand]; K3PO4 [base]; PhMe [solvent]; water [additive],100,16,,,true,16 h at 100 °C
Buchwald-Hartwig,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Br,LG|Ar|Br,,,,0,-0.85,RCR1:64f4d9d2ebccccd10cabdfae08ab53afafafb5592db3ffc742901c936df63145,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],,,,,true,
