reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-138-CAS-2914869,31-138-CAS-2914869,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,71,,,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)[C@H](CO)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)[C@H](CO)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C,Caged Ceramide 1-Phosphate Analogs: Synthesis and Properties,"Lankalapalli, Ravi S.; Ouro, Alberto; Arana, Lide; Gomez-Munoz, Antonio; Bittman, Robert","Journal of Organic Chemistry (2009), 74(22), 8844-8847","Caged Ceramide 1-Phosphate Analogs: Synthesis and Properties | Lankalapalli, Ravi S.; Ouro, Alberto; Arana, Lide; Gomez-Munoz, Antonio; Bittman, Robert | Journal of Organic Chemistry (2009), 74(22), 8844-8847","1191-15-7, 2766-43-0",102308-32-7,7647-01-0,,"108-88-3, 67-56-1, 7732-18-5",,,,,,"(S)-tert-Butyl-4-formyl-2,2-dimethyloxazolidine-3-carboxylate (3). A solution of N-Boc-( S)-serine methyl ester (12.0 g, 46.3 mmol) in toluene (100 mL) was cooled to -78 °C under nitrogen. To the cooled solution was slowly added DIBAL-H (83 mL, a 1.5 M solution in toluene). The reaction mixture was stirred for 2 h at -78 °C, and the reaction was quenched by slowly adding 100 mL of cold MeOH. The resulting white emulsion was slowly poured into 200 mL of ice-cold 1 M HCl with swirling over 20 min, and the aqueous mixture was extracted with EtOAc (3 x 120 mL). The combined organic layers were washed with brine (150 mL), dried (Na2SO4), and concentrated to give the crude product as a colorless oil, which was vacuum distilled to provide aldehyde 3 (7.5 g, 71%) as a colorless liquid. bp 115-125 °C (9.0 mm Hg).",3,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""1191-15-7"", ""smiles"": ""CC(C)[CH2][AlH][CH2]C(C)C""}, {""index"": 2, ""cas_rn"": ""2766-43-0"", ""smiles"": ""COC(=O)[C@H](CO)NC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""102308-32-7"", ""yield_pct"": ""71"", ""smiles"": ""CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""67-56-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-11700422,31-517-CAS-11700422,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,87,,,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,CC(C)C[C@@H](C=O)NC(=O)OCc1ccccc1,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O>>CC(C)C[C@@H](C=O)NC(=O)OCc1ccccc1,A rapid and efficient one-pot method for the reduction of N-protected α-amino acids to chiral α-amino aldehydes using CDI/DIBAL-H,"Ivkovic, Jakov; Lembacher-Fadum, Christian; Breinbauer, Rolf","Organic & Biomolecular Chemistry (2015), 13(42), 10456-10460","A rapid and efficient one-pot method for the reduction of N-protected α-amino acids to chiral α-amino aldehydes using CDI/DIBAL-H | Ivkovic, Jakov; Lembacher-Fadum, Christian; Breinbauer, Rolf | Organic & Biomolecular Chemistry (2015), 13(42), 10456-10460",2018-66-8,71413-15-5,"530-62-1, 1191-15-7, 141-78-6",,"75-09-2, 108-88-3",,,,,,,3,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""2018-66-8"", ""smiles"": ""CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O""}]","[{""index"": 1, ""cas_rn"": ""71413-15-5"", ""yield_pct"": ""87"", ""smiles"": ""CC(C)C[C@@H](C=O)NC(=O)OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""530-62-1""}, {""index"": 2, ""cas_rn"": ""1191-15-7""}, {""index"": 3, ""cas_rn"": ""141-78-6""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""108-88-3""}]",,
31-517-CAS-11848098,31-517-CAS-11848098,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,,,,CCOC(=O)[C@H](C)NC(=O)OC(C)(C)C,C[C@@H](C=O)NC(=O)OC(C)(C)C,CCOC(=O)[C@H](C)NC(=O)OC(C)(C)C>>C[C@@H](C=O)NC(=O)OC(C)(C)C,"A selective 1,2-reduction of γ-amino-α,β-unsaturated esters by means of boron trifluoride-etherate-DIBAL-hydrogen system. Highly versatile chiral building blocks from α-amino acids","Moriwake, Toshio; Hamano, Shinichi; Miki, Daiya; Saito, Seiki; Torii, Sigeru","Chemistry Letters (1986), (5), 815-18","A selective 1,2-reduction of γ-amino-α,β-unsaturated esters by means of boron trifluoride-etherate-DIBAL-hydrogen system. Highly versatile chiral building blocks from α-amino acids | Moriwake, Toshio; Hamano, Shinichi; Miki, Daiya; Saito, Seiki; Torii, Sigeru | Chemistry Letters (1986), (5), 815-18",51814-53-0,79069-50-4,1191-15-7,,108-88-3,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""51814-53-0"", ""smiles"": ""CCOC(=O)[C@H](C)NC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""79069-50-4"", ""smiles"": ""C[C@@H](C=O)NC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""1191-15-7""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]",,
31-517-CAS-11955430,31-517-CAS-11955430,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,90,,,Cc1cccc(C(=O)OC(C)C)c1,Cc1cccc(C=O)c1,Cc1cccc(C(=O)OC(C)C)c1>>Cc1cccc(C=O)c1,"Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes","Kim, Min Sung; Choi, Young Mi; An, Duk Keun","Tetrahedron Letters (2007), 48(29), 5061-5064","Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes | Kim, Min Sung; Choi, Young Mi; An, Duk Keun | Tetrahedron Letters (2007), 48(29), 5061-5064",6297-45-6,620-23-5,"77299-63-9, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""6297-45-6"", ""smiles"": ""Cc1cccc(C(=O)OC(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""620-23-5"", ""yield_pct"": ""90"", ""smiles"": ""Cc1cccc(C=O)c1""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12178456,31-517-CAS-12178456,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,73,,,CCOC(=O)c1ccc(OC)cc1,COc1ccc(C=O)cc1,CCOC(=O)c1ccc(OC)cc1>>COc1ccc(C=O)cc1,New method for synthesis of aldehydes from esters by sodium diisobutyl-t-butoxyaluminum hydride,"Song, Jung In; An, Duk Keun","Chemistry Letters (2007), 36(7), 886-887","New method for synthesis of aldehydes from esters by sodium diisobutyl-t-butoxyaluminum hydride | Song, Jung In; An, Duk Keun | Chemistry Letters (2007), 36(7), 886-887",94-30-4,123-11-5,"948899-53-4, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""94-30-4"", ""smiles"": ""CCOC(=O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""123-11-5"", ""yield_pct"": ""73"", ""smiles"": ""COc1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""948899-53-4""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",in-situ generated reagent,
31-517-CAS-12237323,31-517-CAS-12237323,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,79,,,CC(C)OC(=O)C=Cc1ccccc1,O=CC=Cc1ccccc1,CC(C)OC(=O)C=Cc1ccccc1>>O=CC=Cc1ccccc1,"Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes","Kim, Min Sung; Choi, Young Mi; An, Duk Keun","Tetrahedron Letters (2007), 48(29), 5061-5064","Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes | Kim, Min Sung; Choi, Young Mi; An, Duk Keun | Tetrahedron Letters (2007), 48(29), 5061-5064",7780-06-5,104-55-2,"77299-63-9, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""7780-06-5"", ""smiles"": ""CC(C)OC(=O)C=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104-55-2"", ""yield_pct"": ""79"", ""smiles"": ""O=CC=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12258652,31-517-CAS-12258652,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,79,,,CCOC(=O)C=Cc1ccccc1,O=CC=Cc1ccccc1,CCOC(=O)C=Cc1ccccc1>>O=CC=Cc1ccccc1,Application of Flow Chemistry to the Selective Reduction of Esters to Aldehydes,"Munoz, Juan de M.; Alcazar, Jesus; de la Hoz, Antonio; Diaz-Ortiz, Angel","European Journal of Organic Chemistry (2012), 2012(2), 260-263, S260/1-S260/8","Application of Flow Chemistry to the Selective Reduction of Esters to Aldehydes | Munoz, Juan de M.; Alcazar, Jesus; de la Hoz, Antonio; Diaz-Ortiz, Angel | European Journal of Organic Chemistry (2012), 2012(2), 260-263, S260/1-S260/8",103-36-6,104-55-2,77299-63-9,,108-88-3,,,,,,,1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""103-36-6"", ""smiles"": ""CCOC(=O)C=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104-55-2"", ""yield_pct"": ""79"", ""smiles"": ""O=CC=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]","chemoselective, flow system, Vapourtec R2+R4 unit used",
31-517-CAS-12293196,31-517-CAS-12293196,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,80,,,CCOC(=O)c1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1,CCOC(=O)c1ccc2ccccc2c1>>O=Cc1ccc2ccccc2c1,"Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes","Kim, Min Sung; Choi, Young Mi; An, Duk Keun","Tetrahedron Letters (2007), 48(29), 5061-5064","Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes | Kim, Min Sung; Choi, Young Mi; An, Duk Keun | Tetrahedron Letters (2007), 48(29), 5061-5064",3007-91-8,66-99-9,"77299-63-9, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""3007-91-8"", ""smiles"": ""CCOC(=O)c1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""66-99-9"", ""yield_pct"": ""80"", ""smiles"": ""O=Cc1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12457083,31-517-CAS-12457083,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,38,,,COC(=O)c1cc(Cl)c(Br)cc1C(=O)OC,COC(=O)c1cc(Cl)c(Br)cc1C=O.COC(=O)c1cc(Br)c(Cl)cc1C=O,COC(=O)c1cc(Cl)c(Br)cc1C(=O)OC>>COC(=O)c1cc(Cl)c(Br)cc1C=O.COC(=O)c1cc(Br)c(Cl)cc1C=O,"Selective halogen-lithium exchange of 1,2-dihaloarenes for successive [2+4] cycloadditions of arynes and isobenzofurans","Eda, Shohei; Hamura, Toshiyuki","Molecules (2015), 20(10), 19449-19462","Selective halogen-lithium exchange of 1,2-dihaloarenes for successive [2+4] cycloadditions of arynes and isobenzofurans | Eda, Shohei; Hamura, Toshiyuki | Molecules (2015), 20(10), 19449-19462",1855005-37-6,"1855005-38-7, 1855005-39-8","948899-53-4, 7647-01-0",,"109-99-9, 7732-18-5",,,,,,,2,1,38,38,,,,,,"{""1"": 38, ""2"": 38}","[{""index"": 1, ""cas_rn"": ""1855005-37-6"", ""smiles"": ""COC(=O)c1cc(Cl)c(Br)cc1C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""1855005-38-7"", ""yield_pct"": ""38"", ""smiles"": ""COC(=O)c1cc(Cl)c(Br)cc1C=O""}, {""index"": 2, ""cas_rn"": ""1855005-39-8"", ""yield_pct"": ""38"", ""smiles"": ""COC(=O)c1cc(Br)c(Cl)cc1C=O""}]","[{""index"": 1, ""cas_rn"": ""948899-53-4""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12497493,31-517-CAS-12497493,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,61,,,COC(=O)C(C)c1ccc(OC)c(OC)c1,COc1ccc(C(C)C=O)cc1OC,COC(=O)C(C)c1ccc(OC)c(OC)c1>>COc1ccc(C(C)C=O)cc1OC,"Design, Synthesis, and Biological Evaluation of Novel Deguelin-Based Heat Shock Protein 90 (HSP90) Inhibitors Targeting Proliferation and Angiogenesis","Chang, Dong-Jo; An, Hongchan; Kim, Kyoung-suk; Kim, Hyun Ho; Jung, Jinkyung; Lee, Jung Min; Kim, Nam-Jung; Han, Young Taek; Yun, Hwayoung; Lee, Sujin; Lee, Geumwoo; Lee, Seungbeom; Lee, Ju Sung; Cha, Jong-Ho; Park, Ji-Hyeon; Park, Ji Won; Lee, Su-Chan; Kim, Sang Geon; Kim, Jeong Hun; Lee, Ho-Young; Kim, Kyu-Won; Suh, Young-Ger","Journal of Medicinal Chemistry (2012), 55(24), 10863-10884","Design, Synthesis, and Biological Evaluation of Novel Deguelin-Based Heat Shock Protein 90 (HSP90) Inhibitors Targeting Proliferation and Angiogenesis | Chang, Dong-Jo; An, Hongchan; Kim, Kyoung-suk; Kim, Hyun Ho; Jung, Jinkyung; Lee, Jung Min; Kim, Nam-Jung; Han, Young Taek; Yun, Hwayoung; Lee, Sujin; Lee, Geumwoo; Lee, Seungbeom; Lee, Ju Sung; Cha, Jong-Ho; Park, Ji-Hyeon; Park, Ji Won; Lee, Su-Chan; Kim, Sang Geon; Kim, Jeong Hun; Lee, Ho-Young; Kim, Kyu-Won; Suh, Young-Ger | Journal of Medicinal Chemistry (2012), 55(24), 10863-10884",29207-02-1,40181-00-8,"1191-15-7, 304-59-6",,"109-99-9, 7732-18-5",,,,,,"To a solution of methyl 2-(3,4-dimethoxyphenyl)propanoate (3.0 g, 13.4 mmol) in THF (35 mL) was added dropwise DIBAL-H (16.0 mL of 1.0 M solution in THF, 16.0 mmol) at -78 °C. The reaction mixture was stirred for 1 h at the same temperature, and Rochelle's solution was carefully added over 15 min. The mixture was stirred vigorously for 1 h at 0 °C and poured into water. The mixture was extracted with EtOAc, and the organic layer was dried over MgSO4 and concentrated under reduced pressure. The residue was purified by flash column chromatography on silica gel (EtOAc/n-hexane = 1:2) to afford 55. 2-(3,4-Dimethoxyphenyl)propanal, yellow oil, yield 1.58 g, 61%. 1H NMR (CDCl3, 300 MHz) δ 9.63 (d, 1H, J = 1.5 Hz), 6.86 (d, 1H, J = 8.2 Hz), 6.74 (m, 1H), 6.66 (d, 1H, J = 2.0 Hz), 3.85 (s. 6H), 3.56 (q, 1H, J = 6.9 Hz), 1.40 (d, 3H, J = 6.9 Hz).",2,1,61,,,,,,,"{""1"": 61}","[{""index"": 1, ""cas_rn"": ""29207-02-1"", ""smiles"": ""COC(=O)C(C)c1ccc(OC)c(OC)c1""}]","[{""index"": 1, ""cas_rn"": ""40181-00-8"", ""yield_pct"": ""61"", ""smiles"": ""COc1ccc(C(C)C=O)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""1191-15-7""}, {""index"": 2, ""cas_rn"": ""304-59-6""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12538447,31-517-CAS-12538447,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,91,,,CCOC(=O)c1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1,CCOC(=O)c1ccc([N+](=O)[O-])cc1>>O=Cc1ccc([N+](=O)[O-])cc1,Chemoselective reduction of esters to aldehydes by potassium diisobutyl-t-butoxyaluminum hydride (PDBBA),"Chae, Min Jung; Song, Jung In; An, Duk Keun","Bulletin of the Korean Chemical Society (2007), 28(12), 2517-2518","Chemoselective reduction of esters to aldehydes by potassium diisobutyl-t-butoxyaluminum hydride (PDBBA) | Chae, Min Jung; Song, Jung In; An, Duk Keun | Bulletin of the Korean Chemical Society (2007), 28(12), 2517-2518",99-77-4,555-16-8,"240490-44-2, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""99-77-4"", ""smiles"": ""CCOC(=O)c1ccc([N+](=O)[O-])cc1""}]","[{""index"": 1, ""cas_rn"": ""555-16-8"", ""yield_pct"": ""91"", ""smiles"": ""O=Cc1ccc([N+](=O)[O-])cc1""}]","[{""index"": 1, ""cas_rn"": ""240490-44-2""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","selective to aldehyde, in-situ generated reagent",
31-517-CAS-12542802,31-517-CAS-12542802,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,88,,,CCCCCCCCCCC(=O)OCC,CCCCCCCCCCC=O,CCCCCCCCCCC(=O)OCC>>CCCCCCCCCCC=O,"Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes","Kim, Min Sung; Choi, Young Mi; An, Duk Keun","Tetrahedron Letters (2007), 48(29), 5061-5064","Lithium diisobutyl-t-butoxyaluminum hydride, a new and efficient reducing agent for the conversion of esters to aldehydes | Kim, Min Sung; Choi, Young Mi; An, Duk Keun | Tetrahedron Letters (2007), 48(29), 5061-5064",627-90-7,112-44-7,"77299-63-9, 7647-01-0",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,2,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""627-90-7"", ""smiles"": ""CCCCCCCCCCC(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""112-44-7"", ""yield_pct"": ""88"", ""smiles"": ""CCCCCCCCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""110-54-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-517-CAS-12565653,31-517-CAS-12565653,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,85,,,CCOC(=O)c1ccc(OC)cc1,COc1ccc(C=O)cc1,CCOC(=O)c1ccc(OC)cc1>>COc1ccc(C=O)cc1,Application of Flow Chemistry to the Selective Reduction of Esters to Aldehydes,"Munoz, Juan de M.; Alcazar, Jesus; de la Hoz, Antonio; Diaz-Ortiz, Angel","European Journal of Organic Chemistry (2012), 2012(2), 260-263, S260/1-S260/8","Application of Flow Chemistry to the Selective Reduction of Esters to Aldehydes | Munoz, Juan de M.; Alcazar, Jesus; de la Hoz, Antonio; Diaz-Ortiz, Angel | European Journal of Organic Chemistry (2012), 2012(2), 260-263, S260/1-S260/8",94-30-4,123-11-5,77299-63-9,,108-88-3,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""94-30-4"", ""smiles"": ""CCOC(=O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""123-11-5"", ""yield_pct"": ""85"", ""smiles"": ""COc1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""77299-63-9""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]","chemoselective, flow system, Vapourtec R2+R4 unit used",
31-517-CAS-12647791,31-517-CAS-12647791,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,,,,COC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,CC(C)[C@@H](C=O)NC(=O)OC(C)(C)C,COC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C>>CC(C)[C@@H](C=O)NC(=O)OC(C)(C)C,Remote Control of Helical Chirality: Thermodynamic Resolution of a Racemic Mixture of CTV Units by Remote Stereogenic Centers,"Chatelet, Bastien; Joucla, Lionel; Padula, Daniele; Di Bari, Lorenzo; Pilet, Guillaume; Robert, Vincent; Dufaud, Veronique; Dutasta, Jean-Pierre; Martinez, Alexandre","Organic Letters (2015), 17(3), 500-503","Remote Control of Helical Chirality: Thermodynamic Resolution of a Racemic Mixture of CTV Units by Remote Stereogenic Centers | Chatelet, Bastien; Joucla, Lionel; Padula, Daniele; Di Bari, Lorenzo; Pilet, Guillaume; Robert, Vincent; Dufaud, Veronique; Dutasta, Jean-Pierre; Martinez, Alexandre | Organic Letters (2015), 17(3), 500-503",58561-04-9,79069-51-5,1191-15-7,,75-09-2,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""58561-04-9"", ""smiles"": ""COC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""79069-51-5"", ""smiles"": ""CC(C)[C@@H](C=O)NC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""1191-15-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",literature preparation,
31-517-CAS-12759061,31-517-CAS-12759061,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,18,,,CCCC[C@@H](C(=O)OC)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1,CCCC[C@@H](C=O)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1,CCCC[C@@H](C(=O)OC)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1>>CCCC[C@@H](C=O)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1,Substrate activity screening: a fragment-based method for the rapid identification of nonpeptidic protease inhibitors,"Wood, Warren J. L.; Patterson, Andrew W.; Tsuruoka, Hiroyuki; Jain, Rishi K.; Ellman, Jonathan A.","Journal of the American Chemical Society (2005), 127(44), 15521-15527","Substrate activity screening: a fragment-based method for the rapid identification of nonpeptidic protease inhibitors | Wood, Warren J. L.; Patterson, Andrew W.; Tsuruoka, Hiroyuki; Jain, Rishi K.; Ellman, Jonathan A. | Journal of the American Chemical Society (2005), 127(44), 15521-15527",869205-73-2,869205-77-6,"1191-15-7, 64-19-7, 67-56-1, 868-18-8",,"60-29-7, 7732-18-5",,,,,,"General/Typical Procedure: General method for the synthesis of aldehyde derivatives. The methyl ester was dissolved in distilled diethyl ether (0.2 M) and the resulting solution was placed under a nitrogen atmosphere. This solution and diisobutyl aluminium hydride (DIBAL) (3 equiv) in diethyl ether (0.6 M) was cooled in a -78 °C acetone-dry ice bath. The DIBAL solution was cannula transferred to the methyl ester solution and the solution was stirred for 1 h. At -78 °C, methanol (equal to half of the diethyl ether by volume) was added, and then 15 equiv of acetic acid was added. The reaction mixture was stirred for 5 min and then transferred to an ice bath, and saturated sodium tartrate solution (equal to the volume of diethyl ether) was added. After the mixture was stirred in the ice-bath for 20 min, the mixture was transferred to a separatory funnel and ethyl actetate and water were added. The aqueous layer was extracted three times with ethyl acetate. The organic washes were combined and extracted once with water. The organic layer was dried with anhydrous sodium sulfate and the solvent was removed under reduced pressure. The product was purified by reverse phase preparatory HPLC (5 to 95% acetonitrile over 50 min). The compound above (5.1 mg, 0.013 mmol, 18%) was prepared from 30 mg (0.073 mmol) of the corresponding methyl ester and 39 μM (0.22 mmol) of DIBAL according to the procedure above. The NMR data corresponds to the hydrated product for a mixture of diastereomers. 1H NMR (500 MHz, 3:1 CD3CN:D2O): δ 0.70-0.93 (m, 10), 1.03-1.31 (m, 3), 1.73-1.81 (m, 3), 1.81-1.92 (m, 2), 2.27-2.36 (m, 1), 3.98 (s, 3), 4.34-4.42 (m, 1), 5.07-5.11 (m, 0.67), 5.11-5.15 (m, 0.33), 7.00-7.08 (m, 1), 7.08-7.17 (m, 1), 7.41-7.53 (m, 1), 7.68-7.72 (m, 0.58), 7.72-7.78 (m, 0.42), 7.80-7.88 (m, 1). About 5% of the aldehyde product was observable. HRMS (FAB+) m/z: 405.2501 (MH+ of the hydrate, C21H33N4O4 requires 405.2502).",3,1,18,,,,,,,"{""1"": 18}","[{""index"": 1, ""cas_rn"": ""869205-73-2"", ""smiles"": ""CCCC[C@@H](C(=O)OC)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1""}]","[{""index"": 1, ""cas_rn"": ""869205-77-6"", ""yield_pct"": ""18"", ""smiles"": ""CCCC[C@@H](C=O)n1cc([C@@](C)(NC(=O)c2ccccc2OC)C(C)C)nn1""}]","[{""index"": 1, ""cas_rn"": ""1191-15-7""}, {""index"": 2, ""cas_rn"": ""64-19-7""}, {""index"": 3, ""cas_rn"": ""67-56-1""}, {""index"": 4, ""cas_rn"": ""868-18-8""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
