name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,role_1_original,qc_flags
CPhos,CPhos,1160556-64-8,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
AdBrettPhos,AdBrettPhos,1160861-59-5,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
JackiePhos,JackiePhos,1160861-60-8,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Ph-XPhos,Ph-XPhos,1185098-04-7,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Ammonium Chloride,NH4Cl,12125-02-9,,ClH4N,powder,1.527,53.491,100.0,340.0,0.0,0.0,additive,ammonium_salts,ammonium salts,,,,additive,smiles_missing
Me-DalPhos,Me-DalPhos,1219080-77-9,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Mor-DalPhos,MorDalPhos,1237588-12-3,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Di(1-adamantyl)-1-piperidinylphenylphosphine,Ad2P-pip-Ph,1237588-13-4,,,,,,,,,,ligand,dalphos_pn,2 P ligand,,,,ligand,smiles_missing;formula_missing
"1,7-Phenanthroline","1,7-Phenanthroline",12678-01-2,,,,,,,,,,ligand,phenanthrolines,2 N ligand,,,,ligand,smiles_missing;formula_missing
Sodium acetate,NaOAc,127-09-3,,C2H3NaO2,powder,1.45,82.0338,,58.0,0.0,0.0,base,inorg_carboxylates,moderate base; non-nucleophilic,,,,base,smiles_missing
Lithium Hydroxide,LiOH,1310-65-2,,HLiO,powder,1.43,23.948,,462.0,0.0,0.0,base,hydroxides,strong base,,,,base,smiles_missing
BSA,BSA,132255-83-5,,,,,,,,,,additive,fluoride_sources_activators,fluoride sources activators,,,,additive,smiles_missing;formula_missing
Hydrogen (g),H2,1333-74-0,,,,,,,,,,reductant,hydrogen_gas,high reductant,,,,reductant,smiles_missing;formula_missing
Diatomaceous earth,Celite,1344-95-2,,,,,,,,,,other_reagent,misc_general,misc general,,,,other_reagent,smiles_missing;formula_missing;abbreviation_duplicate
Palladium(II) bromide,PdBr2,13444-94-5,[Pd+2],Br2Pd,liquid,5.173,266.23,,,0.0,0.0,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,metal_catalyst,density_outlier_for_liquid
Bis(acetylacetonato)iron(II),Fe(acac)2,14024-17-0,,,,,,,,,,metal_catalyst,fe_acac,Fe(2) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
HOPO,HOPO,14097-15-5,,,,,,,,,,additive,amide_coupling_additives,amide coupling additives,,,,additive,smiles_missing;formula_missing
SIMes,SIMes,141556-44-7,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,smiles_missing;formula_missing
4CzIPN,4CzIPN,1416881-52-1,,,,,,,,,,organo_catalyst,photocatalysts_organic,photocatalysts organic,,,,organo_catalyst,smiles_missing;formula_missing
SEGPHOS,SEGPHOS,145854-69-9,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
Bis(p-sulfonatophenyl)phenylphosphine dipotassium dihydrate,BSPP,151888-20-9,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
PyOxim,PyOxim,153433-21-7,,,,,,,,,,condensation_agent,organophosphorus_anhydrides,strong condensation agent,,,,condensation_agent,smiles_missing;formula_missing
Cesium bicarbonate,,15519-28-5,,,,,,,,,,base,inorg_carbonates_bicarbonate,moderate base; non-nucleophilic,,,,base,smiles_missing;formula_missing
t-Bu)PhCPhos,t-BuPhCPhos,1660153-91-2,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-, sodium salt",BHT-Na,16654-89-0,,,,,,,,,,base,alkoxides_hindered,moderate base; hindered,,,,base,smiles_missing;formula_missing
Tris(2-pyridylmethyl)amine,TPMA,16858-01-8,,,,,,,,,,ligand,tris_2pyridylmethyl_amine_tpma,4 N ligand,,,,ligand,smiles_missing;formula_missing
"Grubbs catalyst, 1st generation",Grubbs-I,172222-30-9,,,,,,,,,,metal_catalyst,ru_metathesis_grubbs,Ru(2) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
"5,5'-Dimethyl-2,2'-bipyridine",dmbpy,1762-34-1,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,C12H12N2,powder,1.2,184.237,315.7,114.0,,,ligand,bipyridines,2 N ligand,,,,ligand,abbreviation_duplicate
Pd(crotyl)Cl,,1798782-02-1,,,,,,,,,,metal_catalyst,pd_zero_sources,Pd(0) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
Sodium trimethylsilanolate,TMSONa,18027-10-6,,,,,,,,,,base,tertiary_amines_aliphatic,moderate base; hindered,,,,base,smiles_missing;formula_missing
AlPhos,AlPhos,1805783-60-1,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"N,N'-bis(4-hydroxy-2,6-dimethylphenyl)ethanediamide",,1809288-95-6,,,,,,,,,,ligand,salen_salophen,2 N ligand,,,,ligand,smiles_missing;formula_missing
VPhos,VPhos,1848244-75-6,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
PMPBO,PMPBO,1909333-82-9,,,,,,,,,,ligand,phox_pn,2 P ligand,,,,ligand,smiles_missing;formula_missing
DM-SEGPHOS,DM-SEGPHOS,196868-63-0,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
Sodium octanoate,NaC8,6/1/1984,,,,,,,,,,additive,carboxylate_promoters_ch_activation,carboxylate promoters ch activation,,,,additive,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
TCFH,TCFH,207915-99-9,,,,,,,,,,condensation_agent,acyl_halide_fluoride_generators,strong condensation agent,,,,condensation_agent,smiles_missing;formula_missing;abbreviation_duplicate
EPhos,EPhos,2118959-55-8,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Di-1-adamantylphosphino biphenyl,DiAdPhos,224311-55-1,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
BINAP,BINAP,1/3/2250,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
"N1,N2-bis(1-naphthalenylmethyl)ethanediamide",BNMO,2281918-10-1,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,smiles_missing;formula_missing
PhDavePhos,PhDavePhos,240417-00-9,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
DTBM-SEGPHOS,DTBM-SEGPHOS,243984-11-4,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
IPr,IPr,246047-72-3,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,smiles_missing;formula_missing
GPhos,GPhos,2489243-29-8,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
TrixiePhos,TrixiePhos,255836-67-0,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"1,3-Bis(2,6-diisopropylphenyl)-4,5-dihydro-1H-imidazol-3-ium chloride",SIPr路HCl,258278-25-0,,,,,,,,,,organo_catalyst,cinchona_alkaloids,cinchona alkaloids,,,,organo_catalyst,smiles_missing;formula_missing
SIPr,SIPr,258278-28-3,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,smiles_missing;formula_missing
"4,4'-di-tert-butyl-N-cyano-(2,2'-bipyridine)-6-carboximidamide",dtbCbpy,2755915-54-7,,,,,,,,,,ligand,bipyridines,2 N ligand,,,,ligand,smiles_missing;formula_missing
"1,2-Benzenediamine, N1,N1-dimethyl-",,3/5/2836,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
sec-Buutyl chloroformate,,2837-76-5,,,,,,,,,,condensation_agent,mixed_anhydrides_chloroformates,medium condensation agent,,,,condensation_agent,smiles_missing;formula_missing
Nickel(II) bromide dimethoxyethane complex,NiBr2(dme),28923-39-9,,,,,,,,,,metal_catalyst,ni_ii_glyme,Ni(2) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
"N1,N2-Bis(2,5-dimethyl-1H-pyrrol-1-YL)oxalamide",,289708-48-1,,,,,,,,,,ligand,oxalamide,2 N ligand,,,,ligand,smiles_missing;formula_missing
DMPAO,DMPAO,2903-48-2,,,,,,,,,,ligand,phosphine_pyridine_pn,2 P ligand,,,,ligand,smiles_missing;formula_missing
Nickel(II) chloride dimethoxyethane complex,NiCl2(dme),29046-78-4,,,,,,,,,,metal_catalyst,ni_ii_glyme,Ni(2) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
"2-tert-Butyl-1,1,3,3-tetramethylguanidine",BTMG,29166-72-1,,,,,,,,,,base,amidine_guanidine_bases,"strong base; hindered, non-nucleophilic",,,,base,smiles_missing;formula_missing
Sodium trifluoroacetate,NaTFA,2923-18-4,,C2F3NaO2,powder,1.49,136.0052,72.2,207.0,0.0,0.0,additive,fluoride_sources_activators,fluoride sources activators,,,,additive,smiles_missing
Tetrabutylammonium dibutyl phosphate,,29536-33-2,,,,,,,,,,additive,quaternary_ammonium_ptc,quaternary ammonium ptc,,,,additive,smiles_missing;formula_missing
"4,7-Dimethyl-1,10-phenanthroline","4,7-Dimethyl-1,10-phenanthroline",5/3/3248,,,,,,,,,,ligand,phenanthroline_ligands,phenanthroline ligands,,,,ligand,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
triisobutylphosphatrane,TIBP,331465-71-5,,,,,,,,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"N,N'-Dibenzyloxamide",DBOA,3551-78-8,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,smiles_missing;formula_missing
Oxone (2KHSO5路KHSO4路K2SO4),Oxone,37222-66-5,,,,,,,,,,oxidant,oxone,high oxidant,,,,oxidant,smiles_missing;formula_missing
IIDQ,IIDQ,38428-14-7,,,,,,,,,,condensation_agent,specialty_low_racemization,low condensation agent,,,,condensation_agent,smiles_missing;formula_missing
QPhos,QPhos,384347-21-1,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
1-Hydroxy-7-azabenzotriazole,HOAt,39968-33-7,,,,,,,,,,additive,amide_coupling_additives,amide coupling additives,,,,additive,smiles_missing;formula_missing
"Pyrimidine, 1,4,5,6-tetrahydro-1,2-dimethyl-","Pyrimidine, 1,4,5,6-tetrahydro-1,2-dimethyl-",4271-96-9,,,,,,,,,,other_reagent,misc_general,misc general,,,,other_reagent,smiles_missing;formula_missing
"2,2'-Bipyridine-6-carboxylic acid","2,2'-Bipyridine-6-carboxylic acid",4392-87-4,,,,,,,,,,ligand,bipyridine_ligands,bipyridine ligands,,,,ligand,smiles_missing;formula_missing
SynPhos,SynPhos,445467-61-8,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
DifluorPhos,DifluorPhos,503538-70-3,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
"1,3,5-Triaza-7-phosphaadamantane",PTA,53597-69-6,,,,,,,,,,ligand,water_soluble_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Cadmium acetate,Cadmium acetate,543-90-8,,,,,,,,,,metal_catalyst,pd_ii_salts,Cd(2) catalyst,,,,metal_catalyst,smiles_missing;formula_missing
Zinc acetate,Zn(OAc)2,,base,,,,,,,,,metal_catalyst,,,inorg_carboxylates,weak base,,metal_catalyst,cas_missing;smiles_invalid;formula_missing
2-dibromoethane,,557-91-5,,,,,,,,,,additive,iodide_promoters,iodide promoters,,,,additive,smiles_missing;formula_missing
AgOAc,AgOAc,563-63-3,[Ag+],C2H3AgO2,liquid,3.259,166.9122,117.1,,0.0,0.0,base,inorg_carboxylates,weak base,,,,base,density_outlier_for_liquid
Polymethylhydrosiloxane,PMHS,63148-57-2,,C3H9OSi.(CH4OSi)n.C3H9Si,liquid,1.006,,205.0,,0.0,0.0,reductant,hydrosilanes,medium reductant,,,,reductant,smiles_missing
6-DPPon,6-DPPon,64741-28-2,,,,,,,,,,ligand,triazine_pnn_phosphines,3 P ligand,,,,ligand,smiles_missing;formula_missing
"Tris(2,2,2-trifluoroethyl) Borate",B(OCH2CF3)3,659-18-7,,,,,,,,,,condensation_agent,boron,moderate condensation agent,,,,condensation_agent,smiles_missing;formula_missing
Dimethylphenylphosphine,PMe2Ph,672-66-2,CP(C)C1=CC=CC=C1,C8H11P,liquid,0.971,138.147,74.0,126.0,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,ligand,type_mp_inconsistent
cataCXium PCy,cataCXium PCy,672937-60-9,,,,,,,,,,ligand,catacxium_monophosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
cataCXium PtB,cataCXium PtB,672937-61-0,,,,,,,,,,ligand,catacxium_monophosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"trans-N,N'-dimethyl-1,2-cyclohexanediamine",TMCD,67579-81-1,,,,,,,,,,base,diamine,moderate base,,,,base,smiles_missing;formula_missing
BFMO,BFMO,69010-90-8,,,,,,,,,,ligand,phosphoramidites,1 P ligand,,,,ligand,smiles_missing;formula_missing
cataCXium AHI,cataCXium AHI,714951-87-8,,,,,,,,,,ligand,catacxium_monophosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"4,4'-di-tert-Butyl-2,2'-bipyridine",dtbbpy,72914-19-3,,,,,,,,,,ligand,bipyridines,2 N ligand,,,,ligand,smiles_missing;formula_missing
cataCXium PIntB,cataCXium PIntB,740815-37-6,,,,,,,,,,ligand,catacxium_monophosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"Di-tert-butyl(1-methyl-2,2-diphenylcyclopropyl)phosphane","Di-tert-butyl(1-methyl-2,2-diphenylcyclopropyl)phosphane",742103-27-1,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
Palladium,Palladium,5/3/7440,,,,,,,,,,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,metal_catalyst,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
NMI,NMI,7479-20-1,,,,,,,,,,solvent,amides_dipolar_aprotic,high aprotic solvent,,,,solvent,smiles_missing;formula_missing
Trimethylamine,Me3N,75-50-3,CN(C)C,C3H9N,liquid,0.8,59.11,2.8,283.0,,,base,hydroxides,strong base,,,,base,type_mp_inconsistent
(+/-)Binap,rac-Binap,76189-55-4,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,C44H32P2,powder,,622.6724,724.3,239.0,0.0,0.0,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,abbreviation_duplicate
Cobalt(II) chloride,CoCl2,7646-79-9,[Co+2],Cl2Co,powder,3.35,129.839,1049.0,735.0,0.0,0.0,metal_catalyst,co_ii_halides,Co(2) catalyst,,,,metal_catalyst,abbreviation_duplicate
Palladium(II) chloride,PdCl2,10/1/7647,,,,,,,,,,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,metal_catalyst,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
Sodium Chloride,NaCl,7647-14-5,,ClNa,powder,2.165,58.443,1461.0,801.0,0.0,0.0,additive,alkali_halide_salts,alkali halide salts,,,,additive,smiles_missing
Iron(III) chloride,FeCl3,7705-08-0,[Fe+3],Cl3Fe,powder,,162.2,,304.0,0.0,0.0,metal_catalyst,fe_halides,Fe(2) catalyst,,,,metal_catalyst,abbreviation_duplicate
Thionyl Chloride,SOCl2,9/7/7719,,,,,,,,,,condensation_agent,acyl_halide_fluoride_generators,strong condensation agent,,,,condensation_agent,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
K2HPO4,,11/4/7758,,,,,,,,,,base,inorg_phosphates,weak base,,,,base,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
Oxygen (g),O2,7782-44-7,,,,,,,,,,oxidant,o2_gas,medium oxidant,,,,oxidant,smiles_missing;formula_missing
Magnesium chloride,MgCl2,7786-30-3,,Cl2Mg,powder,1.0,95.211,1412.0,708.0,0.0,0.0,additive,lithium_halide_accelerants,lithium halide accelerants,,,,additive,smiles_missing
Lithium perchlorate,LiClO4,3/9/7791,,,,,,,,,,additive,lewis_acid_promoters,lewis acid promoters,,,,additive,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing
RuPhos,RuPhos,787618-22-8,CC(C)OC1=C(C(=CC=C1)OC(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,,powder,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,formula_missing
Di-tert-butylphosphine,HP(t-Bu)2,819-19-2,,,,,,,,,,ligand,secondary_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Dicyclohexylphosphine,HPCy2,829-84-5,,,,,,,,,,ligand,secondary_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
"7-Methyl-1,5,7-triazabicyclo[4.4.0]dec-5-ene",MTBD,84030-20-6,,,,,,,,,,base,tertiary_amines_aliphatic,moderate base; hindered,,,,base,smiles_missing;formula_missing
BippyPhos,BippyPhos,894086-00-1,,,,,,,,,,ligand,triazine_pnn_phosphines,3 P ligand,,,,ligand,smiles_missing;formula_missing
Cinchonidine,Cinchonidine,90-63-1,,,,,,,,,,organo_catalyst,cinchona_alkaloids,cinchona alkaloids,,,,organo_catalyst,smiles_missing;formula_missing
Alcohol dehydrogenase,,9001-22-3,,,,,,,,,,enzyme,oxidoreductase_general,oxidoreductase general,,,,enzyme,smiles_missing;formula_missing
benzaldehyde oxime,BZOX,932-90-1,C1=CC=C(C=C1)C=NO,,powder,,,,,,,additive,lewis_acid_promoters,lewis acid promoters,,,,additive,formula_missing
"(4-(N,N-Dimethylamino)phenyl)di-tert-butyl phosphine",APhos,932710-63-9,,,,,,,,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,phosphine_pyridine_pn,2 P ligand,ligand,smiles_missing;formula_missing
"N,N'-bis(2,4,6-trimethoxyphenyl)ethanediamide",BTMPO,957476-07-2,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,smiles_missing;formula_missing
meCgPPh,meCgPhos,97739-46-3,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
rac-Binap,rac-BINAP,98327-87-8,C1=CN=CN1,C44H32P2,powder,,622.67,724.3,280.0,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,abbreviation_duplicate
"1,3-Di-1-adamantylimidazol-2-ylidene",IAd,,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"1,3-Di-tert-butylimidazol-2-ylidene",ItBu,,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"1,3-Dicyclohexylimidazol-2-ylidene",ICy,,,,,,,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"2,2':6',2''-Terpyridine",terpy,,,,,,,,,,,ligand,terpyridines,3 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"2,6-Bis[(2,6-diisopropylphenyl)imino]pyridine",DIPP-PDI,,,,,,,,,,,ligand,bis_imino_pyridines_pdi,3 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"2,6-Bis(arylimino)pyridine",PDI,,,,,,,,,,,ligand,bis_imino_pyridines_pdi,3 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
molecular sieves 3A,MS 3A,,,,,,,,,,,additive,molecular_sieves,molecular sieves,,,,additive,cas_missing;smiles_missing;formula_missing
molecular sieves 4A,MS 4A,,,,,,,,,,,additive,molecular_sieves,molecular sieves,,,,additive,cas_missing;smiles_missing;formula_missing
"6,6'-Dimethyl-2,2'-bipyridine",dmbpy,,,,,,,,,,,ligand,bipyridines,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing;abbreviation_duplicate
BICAAC (generic),BICAAC,,,,,,,,,,,ligand,caac_carbenes,1 C(carbene) ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"HC[(CMeNAr)]2 (Ar = 2,6-iPr2C6H3)",Dipp-NacNac,,,,,,,,,,,ligand,beta_diketiminates_nacnac,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
iPr-BOX,iPr-BOX,,,,,,,,,,,ligand,bisoxazolines_box,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
iPr-PHOX,iPrPHOX,,,,,,,,,,,ligand,phox_pn,2 P ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
iPr-substituted PyOx,iPr-PyOx,,,,,,,,,,,ligand,pyridine_oxazolines_pyox,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
Jacobsen's salen,salen*,,,,,,,,,,,ligand,salen_salophen,4 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
Me3(OMe)tBuXPhos,Me3(OMe)tBuXPhos,,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
Milstein PNP-iPr,PNP-iPr,,,,,,,,,,,ligand,pincers_pnp_pcp_pnn_cnn,1 varies ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
PCP-tBu (Buchwald-type pincer),PCP-tBu,,,,,,,,,,,ligand,pincers_pnp_pcp_pnn_cnn,1 varies ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
PyBOX (pyridine-bis(oxazoline)),PyBOX,,,,,,,,,,,ligand,bisoxazolines_box,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"Pyridine-bis(oxazoline), iPr-substituted",iPr-PyBOX,,,,,,,,,,,ligand,bisoxazolines_box,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"Pyridine-bis(oxazoline), tBu-substituted",tBu-PyBOX,,,,,,,,,,,ligand,bisoxazolines_box,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
Salophen,salophen,,,,,,,,,,,ligand,salen_salophen,4 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
TADDOL-derived phosphoramidite,TADDOL-Phosamidite,,,,,,,,,,,ligand,phosphoramidites,1 P ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
tBu-BOX,tBu-BOX,,,,,,,,,,,ligand,bisoxazolines_box,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
tBu-PHOX,tBuPHOX,,,,,,,,,,,ligand,phox_pn,2 P ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
tBu-PyOx,tBu-PyOx,,,,,,,,,,,ligand,pyridine_oxazolines_pyox,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
"trans-1,2-diaminocyclohexane",,,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
AmplPhos,AmplPhos,,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,cas_missing;smiles_missing;formula_missing
R-H8-BINAP,R-H8-BINAP,139139-86-9,,,,,,,,,,ligand,bidentate_diphosphines,2 P ligand,,,,ligand,smiles_missing;formula_missing
Tetrabutylammonium hydrogen sulfate,Bu4N-HSO4,32503-27-8,CCCC[N+](CCCC)(CCCC)CCCC,C16H37NO4S,powder,,339.534,,168.0,0.0,0.0,organic_compound,,,,,,,abbreviation_duplicate
cis-octahydropentalene,,282-64-2,,C8H14,liquid,0.896,110.1968,140.504,,0.0,0.0,organic_compound,,,,,,,cas_checksum_invalid;smiles_missing
"1,3,5-trifluoro-2,4,6-triiodobenzene",,84322-56-5,Fc1c(I)c(F)c(I)c(F)c1I,C6F3I3,liquid,3.029,509.7728,352.4,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
4-Cyanophenylboronic acid,,126747-14-6,N#Cc1ccc(B(O)O)cc1,C7H6BNO2,liquid,1.25,146.939,355.9,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Iodine monochloride,,7790-99-0,ClI,ClI,liquid,2.763,162.357,97.4,26.0,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
