name,smiles,role,reaction_types,notes,rt_schema_version,rt_valid,rt_canonical_smiles,rt_component_count,rt_site_count,rt_site_types,rt_signatures,rt_chemist_labels,rt_availability,rt_pattern_ids,rt_contexts_json,rt_warnings,rt_error
2-Bromotoluene,Brc1ccccc1C,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Ortho-substituted; sterically hindered,1.0,true,Cc1ccccc1Br,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Meta-substituted; moderate sterics,1.0,true,Cc1cc(C)cc(Br)c1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,5,6,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,electrophile,Suzuki-Miyaura,Highly sterically hindered,1.0,true,Cc1c(C)c(C)c(Br)c(C)c1C,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,4,6,8,10],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Fused aromatic system,1.0,true,Brc1ccc2ccccc2c1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,9,10],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
2-Chloronaphthalene,Clc1ccc2ccccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated chloride on naphthalene,1.0,true,Clc1ccc2ccccc2c1,1,1,leaving_group,LG|Ar|Cl,Ar–Cl,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,9,10],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
1-Bromonaphthalene,Brc1cccc2c1cccc2,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Peri-position naphthyl bromide,1.0,true,Brc1cccc2ccccc12,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Bromopyridine,Brc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Stille; Negishi,Heteroaryl halide; pyridine can poison some catalysts,1.0,true,Brc1ccncc1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
3-Bromopyridine,Brc1cccnc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Meta-bromo pyridine,1.0,true,Brc1cccnc1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
2-Bromopyridine,Brc1ccccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Ortho-bromo pyridine; strong chelation,1.0,true,Brc1ccccn1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
4-Chloropyridine,Clc1ccncc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Activated heterocyclic chloride,1.0,true,Clc1ccncc1,1,1,leaving_group,LG|HeteroAr|Cl,HeteroAr–Cl,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
5-Bromopyrimidine,Brc1cnccn1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Diazine substrate,1.0,true,Brc1cnccn1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
2-Bromothiophene,Brc1cccs1,electrophile,Suzuki-Miyaura; Sonogashira; Stille,Five-membered heterocycle,1.0,true,Brc1cccs1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""S""],""ring_sizes"":[5],""fused"":false}}]]",,
2-Bromofuran,Brc1ccco1,electrophile,Suzuki-Miyaura; Sonogashira,Oxygen heterocycle,1.0,true,Brc1ccco1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""O""],""ring_sizes"":[5],""fused"":false}}]]",,
3-Bromopyrrole,Brc1cc[nH]c1,electrophile,Suzuki-Miyaura,NH heterocycle; acidic proton,1.0,true,Brc1cc[nH]c1,1,2,leaving_group; pronucleophile_XH,LG|HeteroAr|Br; XH|N_aromatic|H1|HeteroAr,HeteroAr–Br; AromN–H,available; deactivated,terminal_carbon_halogen; neutral_nh,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[5],""fused"":false}}],[{""token"":""HeteroAr"",""attachment_atom_index"":4,""fragment_atom_indices"":[1,2,3,4,5],""classification_method"":""aromatic_ring_system"",""subtype"":""aromatic_nh_ring"",""matched_pattern"":null,""features"":{""ring_neighbor_count"":2}}]]",,
5-Bromoindole,Brc1ccc2[nH]ccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Indole scaffold; NH can coordinate,1.0,true,Brc1ccc2[nH]ccc2c1,1,2,leaving_group; pronucleophile_XH,LG|Ar|Br; XH|N_aromatic|H1|HeteroAr,Ar–Br; AromN–H,available; deactivated,terminal_carbon_halogen; neutral_nh,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,8,9],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}],[{""token"":""HeteroAr"",""attachment_atom_index"":5,""fragment_atom_indices"":[1,2,3,4,5,6,7,8,9],""classification_method"":""aromatic_ring_system"",""subtype"":""aromatic_nh_ring"",""matched_pattern"":null,""features"":{""ring_neighbor_count"":2}}]]",,
2-Bromobenzothiazole,Brc1nc2ccccc2s1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Fused bicyclic heterocycle,1.0,true,Brc1nc2ccccc2s1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,8,9],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N"",""S""],""ring_sizes"":[5],""fused"":false}}]]",,
2-Iodobenzoxazole,Ic1nc2ccccc2o1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Oxygen-containing fused heterocycle,1.0,true,Ic1nc2ccccc2o1,1,1,leaving_group,LG|HeteroAr|I,HeteroAr–I,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,8,9],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N"",""O""],""ring_sizes"":[5],""fused"":false}}]]",,
3-Bromoquinoline,Brc1ccnc2ccccc12,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Quinoline scaffold,1.0,true,Brc1ccnc2ccccc12,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,10],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
3-Bromoquinoxaline,Brc1cnc2ccccc2n1,electrophile,Suzuki-Miyaura,Diaza-naphthalene,1.0,true,Brc1cnc2ccccc2n1,1,1,leaving_group,LG|HeteroAr|Br,HeteroAr–Br,available,terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,9,10],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Selective coupling possible at different positions,1.0,true,Clc1ccc(Cl)nc1,1,2,leaving_group; leaving_group,LG|HeteroAr|Cl; LG|HeteroAr|Cl,HeteroAr–Cl; HeteroAr–Cl,available; available,terminal_carbon_halogen; terminal_carbon_halogen,"[[{""token"":""HeteroAr"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,6,7],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}],[{""token"":""HeteroAr"",""attachment_atom_index"":4,""fragment_atom_indices"":[1,2,3,4,6,7],""classification_method"":""aromatic_ring_system"",""subtype"":""heteroaromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[""N""],""ring_sizes"":[6],""fused"":false}}]]",,
Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Excellent leaving group; very reactive,1.0,true,O=S(=O)(Oc1ccccc1)C(F)(F)F,1,1,leaving_group,LG|Ar|OTf,Ar–OTf,available,carbon_sulfonate,"[[{""token"":""Ar"",""attachment_atom_index"":3,""fragment_atom_indices"":[0,1,2,3,12,13],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-rich triflate,1.0,true,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,1,leaving_group,LG|Ar|OTf,Ar–OTf,available,carbon_sulfonate,"[[{""token"":""Ar"",""attachment_atom_index"":5,""fragment_atom_indices"":[2,3,4,5,14,15],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Good leaving group; cheaper than triflate,1.0,true,Cc1ccc(S(=O)(=O)Oc2ccccc2)cc1,1,1,leaving_group,LG|Ar|OTs,Ar–OTs,available,carbon_sulfonate,"[[{""token"":""Ar"",""attachment_atom_index"":3,""fragment_atom_indices"":[0,1,2,3,15,16],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Mesylate leaving group,1.0,true,CS(=O)(=O)Oc1ccccc1,1,1,leaving_group,LG|Ar|OMs,Ar–OMs,available,carbon_sulfonate,"[[{""token"":""Ar"",""attachment_atom_index"":3,""fragment_atom_indices"":[0,1,2,3,9,10],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-poor triflate; highly reactive,1.0,true,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,1,leaving_group,LG|Ar|OTf,Ar–OTf,available,carbon_sulfonate,"[[{""token"":""Ar"",""attachment_atom_index"":5,""fragment_atom_indices"":[2,3,4,5,14,15],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Vinyl bromide,C=CBr,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille; Negishi; Kumada,Simple vinyl halide,1.0,true,C=CBr,1,1,leaving_group,LG|Alkenyl|Br,Alkenyl–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
Vinyl chloride,C=CCl,electrophile,Suzuki-Miyaura; Heck,Less reactive vinyl halide,1.0,true,C=CCl,1,1,leaving_group,LG|Alkenyl|Cl,Alkenyl–Cl,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
Vinyl iodide,C=CI,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille,Most reactive vinyl halide,1.0,true,C=CI,1,1,leaving_group,LG|Alkenyl|I,Alkenyl–I,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
(E)-1-Bromopropene,C/C=C/Br,electrophile,Suzuki-Miyaura; Sonogashira; Heck,Stereodefined vinyl bromide,1.0,true,C/C=C/Br,1,1,leaving_group,LG|Alkenyl|Br,Alkenyl–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":2,""fragment_atom_indices"":[2],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
2-Bromopropene,C=C(Br)C,electrophile,Suzuki-Miyaura; Sonogashira,Geminal disubstituted vinyl bromide,1.0,true,C=C(C)Br,1,1,leaving_group,LG|Alkenyl|Br,Alkenyl–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
α-Bromostyrene,BrC(=C)c1ccccc1,electrophile,Suzuki-Miyaura; Sonogashira,Aryl-substituted vinyl bromide,1.0,true,C=C(Br)c1ccccc1,1,1,leaving_group,LG|Alkenyl|Br,Alkenyl–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkenyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP2"",""aromatic"":false}}]]",,
Ethyl bromide,CCBr,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Simple primary alkyl bromide; β-hydride elimination risk,1.0,true,CCBr,1,1,leaving_group,LG|Alkyl|Br,R–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP3"",""aromatic"":false}}]]",,
Ethyl chloride,CCCl,electrophile,Negishi; Kumada; SN2,Primary alkyl chloride,1.0,true,CCCl,1,1,leaving_group,LG|Alkyl|Cl,R–Cl,available,terminal_carbon_halogen,"[[{""token"":""Alkyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP3"",""aromatic"":false}}]]",,
Ethyl iodide,CCI,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Most reactive primary alkyl halide,1.0,true,CCI,1,1,leaving_group,LG|Alkyl|I,R–I,available,terminal_carbon_halogen,"[[{""token"":""Alkyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP3"",""aromatic"":false}}]]",,
Isopropyl bromide,CC(C)Br,electrophile,Negishi; Kumada,Secondary alkyl bromide; high β-hydride risk,1.0,true,CC(C)Br,1,1,leaving_group,LG|Alkyl|Br,R–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP3"",""aromatic"":false}}]]",,
tert-Butyl bromide,CC(C)(C)Br,electrophile,SN1,Tertiary alkyl bromide; no β-hydride; SN1 mechanism,1.0,true,CC(C)(C)Br,1,1,leaving_group,LG|Alkyl|Br,R–Br,available,terminal_carbon_halogen,"[[{""token"":""Alkyl"",""attachment_atom_index"":1,""fragment_atom_indices"":[1],""classification_method"":""atom_property"",""subtype"":null,""matched_pattern"":null,""features"":{""element"":""C"",""hybridization"":""SP3"",""aromatic"":false}}]]",,
