"name","abbreviation","cas","smiles","formula","type","density","mw","bp","mp","volatile","viscose","role_1","family_1","tag_1","role_2","family_2","tag_2","solvent_role_slots","solvent_families","solvent_tags"
"Benzene-d6","C6D6","1076-43-3","c1ccccc1","C6H6","liquid","0.94","84.1488","78.8","6.8","0","0","solvent","deuterated","deuterated","","","","1","deuterated","deuterated"
"Benzonitrile","PhCN","100-47-0","N#Cc1ccccc1","C7H5N","liquid","1.98","103.1213","268.1","-13","0","0","solvent","nitriles","high aprotic solvent","","","","1","nitriles","high aprotic solvent"
"Carbon tetrachloride","CCl4","56-23-5","ClC(Cl)(Cl)Cl","CCl4","liquid","1.594","153.82","76","-23","0","0","solvent","halogenated_aliphatics","medium aprotic solvent","","","","1","halogenated_aliphatics","medium aprotic solvent"
"Chlorobenzene","PhCl","108-90-7","Clc1ccccc1","C6H5Cl","liquid","1.1075","112.557","131","-45","0","0","solvent","halogenated_aromatics","medium aprotic solvent","","","","1","halogenated_aromatics","medium aprotic solvent"
"Chloroform","CHCl3","67-66-3","ClC(Cl)Cl","CHCl3","liquid","1.48","119.378","61","-63","0","0","solvent","halogenated_aliphatics","medium aprotic solvent","","","","1","halogenated_aliphatics","medium aprotic solvent"
"Chloroform-d","","865-49-6","ClC(Cl)Cl","CHCl3","liquid","1.512","120.384","61.2","-64","0","0","solvent","","","","","","1","",""
"Cyclohexane","","110-82-7","C1CCCCC1","C6H12","liquid","0.77","84.1595","81","6.5","0","0","solvent","hydrocarbons_cycloaliphatic","very_low aprotic solvent","","","","1","hydrocarbons_cycloaliphatic","very_low aprotic solvent"
"Cyclohexanone","","108-94-1","O=C1CCCCC1","C6H10O","liquid","0.95","98.143","155.6","-45","0","0","solvent","ketones","medium aprotic solvent","","","","1","ketones","medium aprotic solvent"
"Cyclopentyl methyl ether","CPME","5614-37-9","COC1CCCC1","C6H12O","liquid","0.86","100.159","106","-140","","","solvent","ethers_cyclic_glymes","medium aprotic solvent","","","","1","ethers_cyclic_glymes","medium aprotic solvent"
"Decane","Decane","124-18-5","","C10H22","liquid","0.73","142.28","174.1","-29.7","0","0","solvent","hydrocarbons_aliphatic_linear","","","","","1","hydrocarbons_aliphatic_linear",""
"Dibutyl ether","Bu2O","142-96-1","CCCCOCCCC","C8H18O","liquid","0.78","130.2279","142.1","-95","0","0","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Dichloromethane","DCM","75-09-2","ClCCl","CH2Cl2","liquid","1.325","84.933","40","-97","1","0","solvent","halogenated_aliphatics","medium aprotic solvent","","","","1","halogenated_aliphatics","medium aprotic solvent"
"Diethyl ether","Et2O","60-29-7","CCOCC","C4H10O","liquid","0.714","74.1216","34.6","-116","1","0","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Diethylene glycol","","111-46-6","OCCOCCO","C4H10O3","liquid","1.106","106.1204","245.7","-10","0","0","solvent","glycol_ethers_polyols","medium protic solvent","","","","1","glycol_ethers_polyols","medium protic solvent"
"Diisopropyl ether","DIPE","108-20-3","CC(C)OC(C)C","C6H14O","liquid","0.758","102.1748","68.3","-85.5","0","0","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Dimethyl sulfoxide","DMSO","67-68-5","C[S+](C)[O-]","C2H6OS","liquid","1.1","78.133","189","18.4","0","0","solvent","sulfoxides_dipolar_aprotic","very_high aprotic solvent","","","","1","sulfoxides_dipolar_aprotic","very_high aprotic solvent"
"Ethanol","EtOH","64-17-5","CCO","C2H6O","liquid","0.789","46.0684","78","-114","1","0","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"Ethyl acetate","EtOAc","141-78-6","CCOC(C)=O","C4H8O2","liquid","0.898","88.1051","77.2","-83.5","1","0","solvent","esters_anhydrides","medium aprotic solvent","","","","1","esters_anhydrides","medium aprotic solvent"
"Ethylene glycol","","107-21-1","OCCO","C2H6O2","liquid","1.113","62.0678","196","-13","0","1","solvent","glycol_ethers_polyols","medium protic solvent","","","","1","glycol_ethers_polyols","medium protic solvent"
"HFIP","HFIP","920-66-1","OC(C(F)(F)F)C(F)(F)F","C3H2F6O","liquid","1.608","168.0378","412.7","-4","0","0","additive","fluoride_sources_activators","fluoride sources activators","solvent","fluorinated_alcohols","high acidic solvent","2","fluorinated_alcohols","high acidic solvent"
"iPrOH","iPrOH","67-63-0","CC(C)O","C3H8O","liquid","0.795","60.095","95.8","-89.5","0","0","additive","fluoride_sources_activators","fluoride sources activators","solvent","alcohols_secondary","medium protic solvent","2","alcohols_secondary","medium protic solvent"
"Isobutanol","i-BuOH","78-83-1","CC(C)CO","C4H10O","liquid","0.9","74.122","105","","","","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"Isopropyl acetate","iPrOAc","108-21-4","CC(=O)OC(C)C","C5H10O2","liquid","0.888","102.1317","88.6","-73.4","0","0","solvent","esters_anhydrides","medium aprotic solvent","","","","1","esters_anhydrides","medium aprotic solvent"
"Mesitylene","","108-67-8","Cc1cc(C)cc(C)c1","C9H12","liquid","0.869","120.1916","166.7","-45","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"Methanol","MeOH","67-56-1","CO","CH4O","liquid","0.791","32.0419","66","-98","1","0","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"Methyl ethyl ketone","MEK","78-93-3","CCC(C)=O","C4H8O","liquid","0.806","72.11","80","-87","0","0","solvent","ketones","medium aprotic solvent","","","","1","ketones","medium aprotic solvent"
"Methyl isobutyl ketone","MIBK","108-10-1","C(C(=O)O)(C(=O)O)O","C6H12O","liquid","0.9","100.159","116.5","-84","","","solvent","ketones","medium aprotic solvent","","","","1","ketones","medium aprotic solvent"
"m-Xylene","","108-38-3","Cc1cccc(C)c1","C8H10","liquid","0.864","106.165","138","-48","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"N,N-Dimethylacetamide","DMAc","127-19-5","CC(=O)N(C)C","C4H9NO","liquid","0.909","87.1204","221.4","-20","0","0","solvent","amides_dipolar_aprotic","high aprotic solvent","","","","1","amides_dipolar_aprotic","high aprotic solvent"
"N,N-Dimethylformamide","DMF","68-12-2","CN(C)C=O","C3H7NO","liquid","0.945","73.0938","153","-61","0","0","solvent","amides_dipolar_aprotic","high aprotic solvent","","","","1","amides_dipolar_aprotic","high aprotic solvent"
"n-Butyl acetate","BuOAc","123-86-4","CCCCOC(C)=O","C6H12O2","liquid","0.886","116.1583","126.6","-77.9","0","0","solvent","esters_anhydrides","medium aprotic solvent","","","","1","esters_anhydrides","medium aprotic solvent"
"n-Heptane","","142-82-5","CCCCCCC","C7H16","liquid","0.683","100.202","98.8","","","","solvent","hydrocarbons_aliphatic_linear","very_low aprotic solvent","","","","1","hydrocarbons_aliphatic_linear","very_low aprotic solvent"
"n-Hexane","","110-54-3","CCCCCC","C6H14","liquid","0.659","86.1754","69","-95","0","0","solvent","hydrocarbons_aliphatic_linear","very_low aprotic solvent","","","","1","hydrocarbons_aliphatic_linear","very_low aprotic solvent"
"Nitrobenzene","PhNO2","98-95-3","O=[N+]([O-])c1ccccc1","C6H5NO2","liquid","1.205","123.1094","210","5","0","0","solvent","nitro_solvents","high aprotic solvent","","","","1","nitro_solvents","high aprotic solvent"
"Nitromethane","MeNO2","75-52-5","C[N+](=O)[O-]","CH3NO2","liquid","1.1371","61.04","100","-29","0","0","solvent","nitro_solvents","high aprotic solvent","","","","1","nitro_solvents","high aprotic solvent"
"N-Methyl-2-pyrrolidone","NMP","872-50-4","CN1CCCC1=O","C5H9NO","liquid","1.033","99.1311","202","-24","0","0","solvent","amides_dipolar_aprotic","high aprotic solvent","","","","1","amides_dipolar_aprotic","high aprotic solvent"
"NMI","NMI","7479-20-1","","","","","","","","","","solvent","amides_dipolar_aprotic","high aprotic solvent","","","","1","amides_dipolar_aprotic","high aprotic solvent"
"n-Pentane","Pent","109-66-0","CCCCC","C5H12","liquid","0.649","72.1488","35.2","-130","0","0","solvent","hydrocarbons_aliphatic_linear","very_low aprotic solvent","","","","1","hydrocarbons_aliphatic_linear","very_low aprotic solvent"
"Octanoic acid","","124-07-2","CCCCCCCC(=O)O","C8H16O2","liquid","0.91","144.2114","239.3","16","0","0","additive","carboxylate_promoters_ch_activation","carboxylate promoters ch activation","solvent","carboxylic_acids","medium acidic solvent","2","carboxylic_acids","medium acidic solvent"
"o-Xylene","","95-47-6","Cc1ccccc1C","C8H10","liquid","0.879","106.165","143","-26","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"Ph2O","","101-84-8","c1ccc(Oc2ccccc2)cc1","C12H10O","liquid","1.063","170.2072","258.3","26","0","0","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Poly(ethylene glycol) 400","PEG-400","25322-68-3","OCCO","C2H6O2","liquid","1.125","62.0678","250","-65","0","0","solvent","glycol_ethers_polyols","medium protic solvent","","","","1","glycol_ethers_polyols","medium protic solvent"
"Propionic acid","PrCO2H","79-09-4","CCC(=O)O","C3H6O2","liquid","1.1","74.078","141.7","","","","solvent","carboxylic_acids","medium acidic solvent","","","","1","carboxylic_acids","medium acidic solvent"
"Propionitrile","","107-12-0","CCC#N","","powder","","","","","","","solvent","nitriles","high aprotic solvent","","","","1","nitriles","high aprotic solvent"
"propylene carbonate","","108-32-7","CC1COC(=O)O1","","liquid","","","","","0","0","solvent","esters_anhydrides","high aprotic solvent","","","","1","esters_anhydrides","high aprotic solvent"
"p-Xylene","","106-42-3","Cc1ccc(C)cc1","C8H10","liquid","0.861","106.165","139.61","13","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"Pyridine","","110-86-1","c1ccncc1","C5H5N","liquid","0.978","79.0999","115","-42","0","0","base","aromatic_tertiary_amines","moderate base; hindered, non-nucleophilic","solvent","amines_tertiary","medium basic solvent","2","amines_tertiary","medium basic solvent"
"Sulfolane","Sulfolane","126-33-0","O=S1(=O)CCCC1","C4H8O2S","liquid","1.261","120.17","285.6","27.4","0","0","solvent","sulfolane","high aprotic solvent","","","","1","sulfolane","high aprotic solvent"
"tert-Butanol","t-BuOH","75-65-0","CC(C)(C)O","C4H10O","liquid","0.786","74.1216","83","26","0","0","solvent","alcohols_tertiary","medium protic solvent","","","","1","alcohols_tertiary","medium protic solvent"
"tert-Butyl methyl ether","MTBE","1634-04-4","COC(C)(C)C","C5H12O","liquid","0.75","88.1482","55.2","-110","1","0","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Tetrachloroethylene","","127-18-4","ClC(Cl)=C(Cl)Cl","C2Cl4","liquid","1.653","165.833","119.1","-22","0","0","solvent","halogenated_aliphatics","medium aprotic solvent","","","","1","halogenated_aliphatics","medium aprotic solvent"
"Tetrahydrofuran","THF","109-99-9","C1CCOC1","C4H8O","liquid","0.889","72.1057","66","-108.4","0","0","solvent","ethers_cyclic_glymes","medium aprotic solvent","","","","1","ethers_cyclic_glymes","medium aprotic solvent"
"TFA","TFA","76-05-1","FC(F)(F)C(=O)O","C2HF3O2","liquid","1.535","114.0233","72","-15","0","0","additive","fluoride_sources_activators","fluoride sources activators","solvent","carboxylic_acids","medium acidic solvent","2","carboxylic_acids","medium acidic solvent"
"TFE","TFE","75-89-8","OCC(F)(F)F","C2H3F3O","liquid","1.325","100.0398","74","-45","0","0","additive","fluoride_sources_activators","fluoride sources activators","solvent","fluorinated_alcohols","high acidic solvent","2","fluorinated_alcohols","high acidic solvent"
"Toluene","PhMe","108-88-3","Cc1ccccc1","C7H8","liquid","0.871","92.1384","110.6","-95","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"Triethylamine","Et3N","121-44-8","CCN(CC)CC","C6H15N","liquid","0.728","101.19","90.5","-115","0","0","base","tertiary_amines_aliphatic","moderate base; hindered","solvent","amines_tertiary","medium basic solvent","2","amines_tertiary","medium basic solvent"
"Trifluoromethylbenzene","PhCF3","98-08-8","C1=CC=C(C=C1)C(F)(F)F","C7H5F3","liquid","1.3","146.11","104.8","","","","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
"Water","H2O","7732-18-5","O","H2O","liquid","1.1","18.015","100","0","","","solvent","water","very_high protic solvent","","","","1","water","very_high protic solvent"
"Xylenes","Xylenes","1330-20-7","Cc1ccccc1C","C8H10","liquid","0.865","106.17","136","-34","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
