Example,Reactant_A,Reactant_B,Detected_A,Detected_B,Predicted_Type,Confidence,Matching_Exps,Top_Catalyst,Top_Ligand,Top_Base,Top_Solvent,Avg_Z_Score,Success_Rate
2-Br-pyrimidine + aniline,Brc1cnccn1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
4-Cl-quinoline + aniline,Clc1cccc2ncccc12,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
5-Br-indole + aniline,Brc1ccc2[nH]ccc2c1,Nc1ccccc1,"Ar-Br,AromN-H",Ar-NH2,,0.0,20,7758-89-6,,,EtOH / MeOH,-0.20775752071815534,100.0
3-Br-furan + aniline,Brc1ccco1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
2-Cl-thiophene + aniline,Clc1cccs1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
2-Br-4-methylpyrimidine + aniline,Brc1cnc(C)cn1,Nc1ccccc1,"Ar-R,Ar-Br",Ar-NH2,,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
Ph-Br + 4-methylaniline,Brc1ccccc1,Nc1ccc(C)cc1,Ar-Br,"Ar-R,Ar-NH2",,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
Ph-Br + 4-methoxyaniline,Brc1ccccc1,Nc1ccc(OC)cc1,Ar-Br,"Ar-NH2,RCH2-OR",,0.0,26,Palladium,XPhos,KOtBu,CPME / water,0.955056536499379,100.0
Ph-Br + 4-fluoroaniline,Brc1ccccc1,Nc1ccc(F)cc1,Ar-Br,"Ar-F,Ar-NH2",,0.0,15,Pd2(dba)3,tBuXPhos,NaOtBu,"1,4-Dioxane",0.09547032697824667,100.0
Ph-Br + 4-CF3-aniline,Brc1ccccc1,Nc1ccc(C(F)(F)F)cc1,Ar-Br,"Ar-R,Ar-NH2,R3C-F",,0.0,30,NiBr2,12047-27-7,Dabco,DMAc,0.4679467493402589,100.0
Ph-Br + 3-methylaniline,Brc1ccccc1,Nc1cccc(C)c1,Ar-Br,"Ar-R,Ar-NH2",,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
"Ph-Br + 3,5-dimethylaniline",Brc1ccccc1,Nc1cc(C)cc(C)c1,Ar-Br,"Ar-R,Ar-NH2",,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
Ph-Br + methylamine,Brc1ccccc1,CN,Ar-Br,RCH2-NH2,C_N_Coupling,1.0,33,,,,"1,4-Dioxane",0.5058950005974728,100.0
Ph-Br + ethylamine,Brc1ccccc1,CCN,Ar-Br,RCH2-NH2,C_N_Coupling,1.0,33,,,,"1,4-Dioxane",0.5058950005974728,100.0
Ph-Br + propylamine,Brc1ccccc1,CCCN,Ar-Br,RCH2-NH2,C_N_Coupling,1.0,33,,,,"1,4-Dioxane",0.5058950005974728,100.0
Ph-Br + isopropylamine,Brc1ccccc1,CC(C)N,Ar-Br,R2CH-NH2,C_N_Coupling,1.0,19,CuI,2876933-48-9,K2CO3,DEG,0.26349985411794796,100.0
Ph-Br + tert-butylamine,Brc1ccccc1,CC(C)(C)N,Ar-Br,R3C-NH2,No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + benzylamine,Brc1ccccc1,NCc1ccccc1,Ar-Br,Bn-NH2,C_N_Coupling,1.0,5,Zn,2468315-70-8,"2-tert-Butyl-1,1,3,3-tetramethylguanidine / NaHCO3",DMAc / EtOAc / water,-0.2998470558146831,100.0
Ph-Br + 2-methoxyethylamine,Brc1ccccc1,NCCOC,Ar-Br,"RCH2-NH2,RCH2-OR",,0.0,22,CuI,2876933-48-9,K2CO3,DEG,0.3634713474043482,100.0
4-Br-pyridine + propylamine,Brc1ccncc1,NCCC,Ar-Br,RCH2-NH2,C_N_Coupling,1.0,33,,,,"1,4-Dioxane",0.5058950005974728,100.0
4-Cl-benzonitrile + isopropylamine,Clc1ccc(C#N)cc1,CC(C)N,"Ar-Cl,Ar-CN",R2CH-NH2,No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + diethylamine,Brc1ccccc1,CCNCC,Ar-Br,RCH2-NHR,C_N_Coupling,1.0,138,NiCl2,1306-23-6,,DMAc,1.1409628114324986,100.0
Ph-Br + pyrrolidine,Brc1ccccc1,N1CCCC1,Ar-Br,RCH2-NHR,C_N_Coupling,1.0,138,NiCl2,1306-23-6,,DMAc,1.1409628114324986,100.0
Ph-Br + piperidine,Brc1ccccc1,N1CCCCC1,Ar-Br,RCH2-NHR,C_N_Coupling,1.0,138,NiCl2,1306-23-6,,DMAc,1.1409628114324986,100.0
Ph-Br + morpholine,Brc1ccccc1,N1CCOCC1,Ar-Br,"RCH2-NHR,RCH2-OR",,0.0,95,CuI,2897656-97-0,NaOMe,DMSO,0.8153684590926944,100.0
Ph-Br + N-methylpiperazine,Brc1ccccc1,N1CCN(C)CC1,Ar-Br,"RCH2-NHR,RCH2-NR2",,0.0,7,2489525-81-5,,Sodiumtrimethylsilanolate,THF,0.5982377939391874,100.0
Ph-Br + 4-hydroxypiperidine,Brc1ccccc1,N1CCC(O)CC1,Ar-Br,"RCH2-NHR,R2CH-OH",,0.0,5,,,DIPEA,n-BuOH,0.70637742897473,100.0
Ph-Br + tetrahydroisoquinoline,Brc1ccccc1,N1Cc2ccccc2C1,Ar-Br,Bn-NHR,C_N_Coupling,1.0,14,,,,,1.5869203630636433,100.0
4-Br-pyridine + pyrrolidine,Brc1ccncc1,N1CCCC1,Ar-Br,RCH2-NHR,C_N_Coupling,1.0,138,NiCl2,1306-23-6,,DMAc,1.1409628114324986,100.0
4-Cl-benzotrifluoride + morpholine,Clc1ccc(C(F)(F)F)cc1,N1CCOCC1,"Ar-R,Ar-Cl,R3C-F","RCH2-NHR,RCH2-OR",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-Br-anisole + piperidine,Brc1ccc(OC)cc1,N1CCCCC1,"Ar-Br,RCH2-OR",RCH2-NHR,,0.0,95,CuI,2897656-97-0,NaOMe,DMSO,0.8153684590926944,100.0
"1,4-dibromobenzene + aniline",Brc1ccc(Br)cc1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
2-methylbromobenzene + aniline,Brc1ccccc1C,Nc1ccccc1,"Ar-R,Ar-Br",Ar-NH2,,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
2-bromoanisole + aniline,Brc1ccccc1OC,Nc1ccccc1,"Ar-Br,RCH2-OR",Ar-NH2,,0.0,26,Palladium,XPhos,KOtBu,CPME / water,0.955056536499379,100.0
2-bromoacetophenone + aniline,Brc1ccccc1C(=O)C,Nc1ccccc1,"R-H-acidic,Ar-Br,Any-CO-R",Ar-NH2,,0.0,10,NiBr2,492-22-8,Et3N,DMAc,0.005701732449516855,100.0
"4,7-dichloroquinoline + aniline",Clc1ccc2nc(Cl)ccc2c1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
"5-bromobenzo[d][1,3]dioxole + aniline",Brc1ccc2c(c1)OCO2,Nc1ccccc1,"Ar-Br,RCH2-OR",Ar-NH2,,0.0,26,Palladium,XPhos,KOtBu,CPME / water,0.955056536499379,100.0
2-chlorobenzothiazole + aniline,Clc1nc2ccccc2s1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
2-bromobenzoxazole + aniline,Brc1nc2ccccc2o1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
2-chloroquinoxaline + aniline,Clc1cnc2ccccc2n1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
Ph-Br + pyrrole -> N-phenylpyrrole,Brc1ccccc1,c1cc[nH]c1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromotoluene + pyrrole,Brc1ccc(C)cc1,c1cc[nH]c1,"Ar-R,Ar-Br",AromN-H,,0.0,135,CuI,1-Methylimidazole,"2-Propanol,2-methyl-,lithiumsalt(1:1)",PhMe,1.444806283695503,100.0
4-chlorobenzonitrile + pyrrole,Clc1ccc(C#N)cc1,c1cc[nH]c1,"Ar-Cl,Ar-CN",AromN-H,,0.0,17,2365386-18-9,,K3PO4,MeCN,0.0016018949165377064,100.0
Ph-Br + indole -> N-phenylindole,Brc1ccccc1,c1ccc2[nH]ccc2c1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromoanisole + indole,Brc1ccc(OC)cc1,c1ccc2[nH]ccc2c1,"Ar-Br,RCH2-OR",AromN-H,,0.0,55,Cu2O,85721-33-1,Cs2CO3,MeCN / water,0.7179009784861995,100.0
4-chloropyridine + indole,Clc1ccncc1,c1ccc2[nH]ccc2c1,Ar-Cl,AromN-H,C_N_Coupling,1.0,71,,,,,1.1247102977509138,100.0
4-bromobenzotrifluoride + indole,Brc1ccc(C(F)(F)F)cc1,c1ccc2[nH]ccc2c1,"Ar-R,Ar-Br,R3C-F",AromN-H,,0.0,37,CuI,,K3PO4,PhMe,1.3199452846078361,100.0
4-iodopyridine + indole,Ic1ccncc1,c1ccc2[nH]ccc2c1,Ar-I,AromN-H,C_N_Coupling,1.0,190,CuI,phen,KOH,water,1.127632190946016,100.0
Ph-Br + pyrazole -> N-phenylpyrazole,Brc1ccccc1,c1c[nH]nc1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromochlorobenzene + pyrazole,Brc1ccc(Cl)cc1,c1c[nH]nc1,"Ar-Cl,Ar-Br",AromN-H,,0.0,46,Cu2O,85721-33-1,Cs2CO3,MeCN / water,0.9529203442710621,100.0
4-bromopyridine + pyrazole,Brc1ccncc1,c1c[nH]nc1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromonitrobenzene + pyrazole,Brc1ccc([N+](=O)[O-])cc1,c1c[nH]nc1,"Ar-Br,Ar-NO2",AromN-H,,0.0,18,7440-48-4,,K2CO3,108-29-2,0.677642202293981,100.0
Ph-Br + 3-methylpyrazole,Brc1ccccc1,c1c[nH]nc1C,Ar-Br,"Ar-R,AromN-H",,0.0,135,CuI,1-Methylimidazole,"2-Propanol,2-methyl-,lithiumsalt(1:1)",PhMe,1.444806283695503,100.0
4-chloroanisole + 3-methylpyrazole,Clc1ccc(OC)cc1,c1c[nH]nc1C,"Ar-Cl,RCH2-OR","Ar-R,AromN-H",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + imidazole -> N-phenylimidazole,Brc1ccccc1,c1cnc[nH]1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromofluorobenzene + imidazole,Brc1ccc(F)cc1,c1cnc[nH]1,"Ar-Br,Ar-F",AromN-H,,0.0,27,,,Cs2CO3,DMF,0.6904952737160944,100.0
4-chloropyridine + imidazole,Clc1ccncc1,c1cnc[nH]1,Ar-Cl,AromN-H,C_N_Coupling,1.0,71,,,,,1.1247102977509138,100.0
Ph-Br + carbazole -> N-phenylcarbazole,Brc1ccccc1,c1ccc2c(c1)c1ccccc1[nH]2,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-bromotoluene + carbazole,Brc1ccc(C)cc1,c1ccc2c(c1)c1ccccc1[nH]2,"Ar-R,Ar-Br",AromN-H,,0.0,135,CuI,1-Methylimidazole,"2-Propanol,2-methyl-,lithiumsalt(1:1)",PhMe,1.444806283695503,100.0
4-iodoanisole + carbazole,Ic1ccc(OC)cc1,c1ccc2c(c1)c1ccccc1[nH]2,"Ar-I,RCH2-OR",AromN-H,,0.0,76,CuI,2568377-50-2,K2CO3,DMSO,0.7018736411598677,100.0
"Ph-Br + 1,2,4-triazole N-phenyltriazole",Brc1ccccc1,c1nc[nH]n1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
"4-bromobenzonitrile + 1,2,4-triazole",Brc1ccc(C#N)cc1,c1nc[nH]n1,"Ar-Br,Ar-CN",AromN-H,,0.0,23,CuI,DPPP,Cs2CO3,DMF / water,-0.2562216474548987,100.0
Ph-Br + 2-aminopyrimidine,Brc1ccccc1,c1ncncc1N,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
4-chloropyridine + 2-aminopyrimidine,Clc1ccncc1,c1ncncc1N,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
"4-bromoanisole + 1,2,4-triazole",Brc1ccc(OC)cc1,c1cn[nH]c1,"Ar-Br,RCH2-OR",AromN-H,,0.0,55,Cu2O,85721-33-1,Cs2CO3,MeCN / water,0.7179009784861995,100.0
"2-bromotoluene + indole, ortho-substituted",Brc1ccccc1C,c1ccc2[nH]ccc2c1,"Ar-R,Ar-Br",AromN-H,,0.0,135,CuI,1-Methylimidazole,"2-Propanol,2-methyl-,lithiumsalt(1:1)",PhMe,1.444806283695503,100.0
"2,6-dimethylbromobenzene + indole, sterically hindered",Brc1c(C)cccc1C,c1ccc2[nH]ccc2c1,"Ar-R,Ar-Br",AromN-H,,0.0,135,CuI,1-Methylimidazole,"2-Propanol,2-methyl-,lithiumsalt(1:1)",PhMe,1.444806283695503,100.0
"2-bromoanisole + pyrrole, ortho-substituted",Brc1ccccc1OC,c1cc[nH]c1,"Ar-Br,RCH2-OR",AromN-H,,0.0,55,Cu2O,85721-33-1,Cs2CO3,MeCN / water,0.7179009784861995,100.0
"2-bromonaphthalene + indole, fused ring",Ic1ccc2ccccc2c1,c1ccc2[nH]ccc2c1,Ar-I,AromN-H,C_N_Coupling,1.0,190,CuI,phen,KOH,water,1.127632190946016,100.0
"1,4-dibromobenzene + indole, bis-coupling",Brc1ccc(Br)cc1,c1ccc2[nH]ccc2c1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
"1,3-dibromobenzene + pyrrole, bis-coupling",Brc1cccc(Br)c1,c1cc[nH]c1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
3-bromoquinoxaline + indole,Brc1cnc2ccccc2n1,c1ccc2[nH]ccc2c1,Ar-Br,AromN-H,C_N_Coupling,1.0,243,Cu2O,85721-33-1,Cs2CO3,MeCN / water,1.3422840671138239,100.0
4-chloroindole + bromobenzene,Clc1cccc2c1cc[nH]2,c1ccccc1Br,"Ar-Cl,AromN-H",Ar-Br,,0.0,46,Cu2O,85721-33-1,Cs2CO3,MeCN / water,0.9529203442710621,100.0
Ph-Br + acetamide N-phenylacetamide,Brc1ccccc1,NC(=O)C,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-bromotoluene + acetamide,Brc1ccc(C)cc1,NC(=O)C,"Ar-R,Ar-Br","R-H-acidic,Any-NH2,R-CONH2",,0.0,8,CuI,N,K2CO3,PhMe,0.0,100.0
4-chloroanisole + acetamide,Clc1ccc(OC)cc1,NC(=O)C,"Ar-Cl,RCH2-OR","R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-bromopyridine + acetamide,Brc1ccncc1,NC(=O)C,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-iodobenzotrifluoride + acetamide,Ic1ccc(C(F)(F)F)cc1,NC(=O)C,"Ar-R,Ar-I,R3C-F","R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + propionamide,Brc1ccccc1,NC(=O)CC,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-bromochlorobenzene + propionamide,Brc1ccc(Cl)cc1,NC(=O)CC,"Ar-Cl,Ar-Br","R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + benzamide N-phenylbenzamide,Brc1ccccc1,NC(=O)c1ccccc1,Ar-Br,"Ar-CONH2,Any-NH2",,0.0,3,12131-44-1,,KOH,EtOH / water,0.5735393346764044,100.0
4-bromoanisole + benzamide,Brc1ccc(OC)cc1,NC(=O)c1ccccc1,"Ar-Br,RCH2-OR","Ar-CONH2,Any-NH2",,0.0,2,12131-44-1,,KOH,EtOH / water,0.0,100.0
4-chloropyridine + benzamide,Clc1ccncc1,NC(=O)c1ccccc1,Ar-Cl,"Ar-CONH2,Any-NH2",,0.0,3,1130784-80-3,DPEPhos,K2CO3,THF,-0.5736620742793838,0.0
4-bromobenzonitrile + benzamide,Brc1ccc(C#N)cc1,NC(=O)c1ccccc1,"Ar-Br,Ar-CN","Ar-CONH2,Any-NH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + 4-methoxybenzamide,Brc1ccccc1,NC(=O)c1ccc(OC)cc1,Ar-Br,"Ar-CONH2,Any-NH2,RCH2-OR",,0.0,2,12131-44-1,,KOH,EtOH / water,0.0,100.0
4-bromofluorobenzene + 4-fluorobenzamide,Brc1ccc(F)cc1,NC(=O)c1ccc(F)cc1,"Ar-Br,Ar-F","Ar-F,Ar-CONH2,Any-NH2",,0.0,10,,,Na2CO3,EtOH / water,0.5516999568130543,100.0
Ph-Br + isobutyramide,Brc1ccccc1,NC(=O)CC(C)C,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + pivalamide,Brc1ccccc1,NC(=O)C(C)(C)C,Ar-Br,"Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-chlorobenzotrifluoride + isobutyramide,Clc1ccc(C(F)(F)F)cc1,NC(=O)CC(C)C,"Ar-R,Ar-Cl,R3C-F","R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + hydrocinnamamide,Brc1ccccc1,NC(=O)CCc1ccccc1,Ar-Br,"R-H-acidic,Ar-R,Any-NH2,R-CONH2",,0.0,8,CuI,N,K2CO3,PhMe,0.0,100.0
4-bromoanisole + hydrocinnamamide,Brc1ccc(OC)cc1,NC(=O)CCc1ccccc1,"Ar-Br,RCH2-OR","R-H-acidic,Ar-R,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + 2-pyrrolidinone N-phenyl-2-pyrrolidinone,Brc1ccccc1,C1CCNC1=O,Ar-Br,"R-H-acidic,RCH2-NHR,R-CONHR",,0.0,6,NiBr2(dme),4CzIPN,Tetramethylguanidine,MeCN,-0.8722052271146692,100.0
4-bromotoluene + 2-pyrrolidinone,Brc1ccc(C)cc1,C1CCNC1=O,"Ar-R,Ar-Br","R-H-acidic,RCH2-NHR,R-CONHR",,0.0,4,CuSO4,59-01-8,K2CO3,water,0.309634030775262,100.0
4-chloropyridine + 2-pyrrolidinone,Clc1ccncc1,C1CCNC1=O,Ar-Cl,"R-H-acidic,RCH2-NHR,R-CONHR",,0.0,7,NiCl2(dme),dtbbpy,,PhMe / THF,0.12247448713915883,100.0
Ph-Br + caprolactam N-phenylcaprolactam,Brc1ccccc1,C1CCCCNC1=O,Ar-Br,"R-H-acidic,RCH2-NHR,R-CONHR",,0.0,6,NiBr2(dme),4CzIPN,Tetramethylguanidine,MeCN,-0.8722052271146692,100.0
4-bromoanisole + caprolactam,Brc1ccc(OC)cc1,C1CCCCNC1=O,"Ar-Br,RCH2-OR","R-H-acidic,RCH2-NHR,R-CONHR",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
4-iodobenzotrifluoride + caprolactam,Ic1ccc(C(F)(F)F)cc1,C1CCCCNC1=O,"Ar-R,Ar-I,R3C-F","R-H-acidic,RCH2-NHR,R-CONHR",,0.0,32,Cu(0),1034343-98-0,K3PO4,EtOH,1.1148832107700777,100.0
"Ph-Br + acetamide, alternative",Brc1ccccc1,NC(C)=O,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + isonicotinamide,Brc1ccccc1,NC(=O)c1ccncc1,Ar-Br,"Ar-CONH2,Any-NH2",,0.0,3,12131-44-1,,KOH,EtOH / water,0.5735393346764044,100.0
4-chlorobenzonitrile + isonicotinamide,Clc1ccc(C#N)cc1,NC(=O)c1ccncc1,"Ar-Cl,Ar-CN","Ar-CONH2,Any-NH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Ph-Br + thiophene-3-carboxamide,Brc1ccccc1,NC(=O)c1cccs1,Ar-Br,"Ar-CONH2,Any-NH2",,0.0,3,12131-44-1,,KOH,EtOH / water,0.5735393346764044,100.0
4-bromoanisole + thiophene-3-carboxamide,Brc1ccc(OC)cc1,NC(=O)c1cccs1,"Ar-Br,RCH2-OR","Ar-CONH2,Any-NH2",,0.0,2,12131-44-1,,KOH,EtOH / water,0.0,100.0
Ph-Br + furan-3-carboxamide,Brc1ccccc1,NC(=O)c1ccco1,Ar-Br,"Ar-CONH2,Any-NH2",,0.0,3,12131-44-1,,KOH,EtOH / water,0.5735393346764044,100.0
"2-bromotoluene + acetamide, ortho-substituted",Brc1ccccc1C,NC(=O)C,"Ar-R,Ar-Br","R-H-acidic,Any-NH2,R-CONH2",,0.0,8,CuI,N,K2CO3,PhMe,0.0,100.0
"2,6-dimethylbromobenzene + benzamide, sterically hindered",Brc1c(C)cccc1C,NC(=O)c1ccccc1,"Ar-R,Ar-Br","Ar-CONH2,Any-NH2",,0.0,9,12131-44-1,,KOH,EtOH / water,0.9233711604431386,100.0
"2-iodonaphthalene + acetamide, fused ring",Ic1ccc2ccccc2c1,NC(=O)C,Ar-I,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
"1,4-dibromobenzene + acetamide, bis-coupling",Brc1ccc(Br)cc1,NC(=O)C,Ar-Br,"R-H-acidic,Any-NH2,R-CONH2",No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Bromobenzene + morpholine,Brc1ccccc1,O1CCNCC1,Ar-Br,"RCH2-NHR,RCH2-OR",,0.0,95,CuI,2897656-97-0,NaOMe,DMSO,0.8153684590926944,100.0
