source_row,reaction_type,example,rxn_smiles_clean,reactants_smiles,products_smiles,conditions,valid,evidence_quality,transformation_class,named_family,reaction_label,reaction_label_status,candidate_count,warnings,error
12,Suzuki,2-pyridyl MIDA slow-release,Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1>>c1ccc(-c2ccccn2)nc1,Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1,c1ccc(-c2ccccn2)nc1,,True,reactant_grammar_only,,,HeteroAr–Cl + HeteroAr–BPin →,reactant_only,1,,
13,Suzuki,Dichloropyridine,Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1,Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2,c1ccc(-c2ccc(Cl)nc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,exact_product,2,,
14,Suzuki,Mixed halide pyridine,Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1,Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2,c1ccc(-c2cc(Cl)nc(Cl)c2)nc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + HeteroAr–B(OH)2 → HeteroAr–HeteroAr,exact_product,3,,
15,Suzuki,Indole heterobiaryl,Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3,c1ccc(-c2ccc3[nH]ccc3c2)cc1,,True,reactant_grammar_only,,,(Ar–B(OH)2 + AromN–H) OR (Ar–Br + Ar–B(OH)2) →,ambiguous_reactants,2,,
16,Suzuki,Trifluoromethyl aryl chloride + pyrimidine boronate,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1,FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1,,True,reactant_grammar_only,,,(Ar–Cl + HeteroAr–B(OH)2) OR (Ar–Cl + HeteroAr–NH2) →,ambiguous_reactants,2,,
17,Suzuki,Chloropyridyl boronic acid with aryl bromide,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2,Fc1ccc(-c2cc(Cl)cnc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + HeteroAr–B(OH)2 → HeteroAr–Ar,exact_product,2,,
18,Suzuki,Bis-coupling to biphenyl,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,,True,reactant_grammar_only,,,Ar–Br + Ar–B(OH)2 →,reactant_only,2,,
19,Suzuki,Meta-dibromobenzene,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,,True,reactant_grammar_only,,,Ar–Br + Ar–B(OH)2 →,reactant_only,2,,
20,Suzuki,Pyrimidine-5-boronic acid,Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1,Brc1ccccc1.c1ncc(B(O)O)cn1,c1ccc(-c2cnccn2)cc1,,True,reactant_grammar_only,,,Ar–Br + HeteroAr–B(OH)2 →,reactant_only,1,,
21,Suzuki,Furan-2-boronic acid,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1,N#Cc1ccc(-c2ccoc2)cc1,,True,reactant_grammar_only,,,Ar–Cl + HeteroAr–B(OH)2 →,reactant_only,1,,
22,Suzuki,Thiophene-2-boronic acid,Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1,Brc1ccncc1.c1csc(B(O)O)c1,c1cc(-c2cccs2)ccn1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + HeteroAr–B(OH)2 → HeteroAr–HeteroAr,exact_product,1,,
23,Suzuki,Pyrrole-3-boronic acid,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1,COC(=O)c1ccc(-c2cc[nH]c2)cc1,,True,reactant_grammar_only,,,(Ar–I + AromN–H) OR (Ar–I + HeteroAr–B(OH)2) →,ambiguous_reactants,2,,
24,Suzuki,3-Bromoquinoxaline,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1,c1ccc(-c2cnc3ccccc3n2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,exact_product,1,,
25,Suzuki,4-Chloroindole + pyridine boronic acid,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1,c1ccc(-c2cccc3[nH]ccc23)nc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Cl + HeteroAr–B(OH)2 → HeteroAr–Ar,exact_product,2,,
26,Suzuki,2-Bromobenzothiazole,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1,Cc1ccc(-c2nc3ccccc3s2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,exact_product,1,,
27,Suzuki,2-Iodobenzoxazole,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1,COc1ccc(-c2nc3ccccc3o2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–I + Ar–B(OH)2 → HeteroAr–Ar,exact_product,1,,
28,Suzuki,Benzothiadiazole,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1,c1ccc(-c2cccc3nsnc23)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
29,Suzuki,2-Isopropyl-bromobenzene,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1,CC(C)c1ccccc1-c1ccccc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
30,Suzuki,"2,6-Dimethyl-chlorobenzene",Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1,Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1,Cc1cccc(C)c1-c1ccc(OC)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Cl + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
31,Suzuki,Ortho-ethoxy + ortho-methyl,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C,CCOc1ccccc1-c1ccccc1C,,True,reactant_grammar_only,,,Ar–Br + Ar–B(OH)2 →,reactant_only,1,,
32,Suzuki,Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1,Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,6,,
33,Suzuki,"3,5-Dichloro-bromobenzene",Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1,Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1,Clc1cc(Cl)cc(-c2ccccc2)c1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,3,,
34,Suzuki,"2,5-Dinitro-bromobenzene",Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1,c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
35,Suzuki,Ethyl ester protected,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1,CCOC(=O)c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
36,Suzuki,Boc-protected amine,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1,CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–I + Ar–B(OH)2 → Ar–Ar,exact_product,2,,
37,Suzuki,TBS-protected phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1,CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
38,Suzuki,Vinylboronic acid to styrene,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1,Brc1ccccc1.C=CB(O)O,C=Cc1ccccc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Alkenyl–B(OH)2 → Ar–Alkenyl,exact_product,1,,
39,Suzuki,(E)-Propenylboronic acid,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1,Ic1ccc(C=O)cc1.C/C=C/B(O)O,C/C=C/c1ccc(C=O)cc1,,True,reactant_grammar_only,,,Ar–I + Alkenyl–B(OH)2 →,reactant_only,1,,
40,Suzuki,Isopropenylboronic acid,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1,Brc1ccncc1.C=C(C)B(O)O,C=C(C)c1ccncc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + Alkenyl–B(OH)2 → HeteroAr–Alkenyl,exact_product,1,,
41,Suzuki,Ethynylboronic acid,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1,Brc1ccc(OC)cc1.C#CB(O)O,C#Cc1ccc(OC)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Alkynyl–B(OH)2 → Ar–Alkynyl,exact_product,2,,
42,Suzuki,Macrocyclization precursor,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1,O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1,,True,reactant_grammar_only,,,(Ar–B(OH)2 + R–C(O)–OH) OR (Ar–Br + Ar–B(OH)2) →,ambiguous_reactants,3,,
43,Suzuki,Potassium phenyltrifluoroborate,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1,c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–BF3K → Ar–Ar,exact_product,1,,
44,Suzuki,BF3K + ArCl,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1,COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Cl + Ar–BF3K → Ar–Ar,exact_product,1,,
45,Suzuki,Pyridine N-oxide,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1,[O-][n+]1ccccc1-c1ccccc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,exact_product,1,,
46,Suzuki,Cyclopropyl bromide,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1,c1ccc(C2(c3ccccc3)CC2)cc1,,True,unresolved,,,,unavailable,0,,
47,Stille,Ph-Ph,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1,c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Br + Ar–SnR3 → Ar–Ar,exact_product,1,,
48,Stille,Vinyl pyridine,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1,Ic1ccncc1.C=C[Sn](C)(C)C,C=Cc1ccncc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,HeteroAr–I + Alkenyl–SnR3 → HeteroAr–Alkenyl,exact_product,1,,
49,Sonogashira,Diphenylacetylene,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1,Brc1ccccc1.C#Cc1ccccc1,C(#Cc1ccccc1)c1ccccc1,,True,exact_product_reconstruction,terminal_alkyne_coupling,sonogashira,Ar–Br + R–C≡C–H → Ar–C≡C–R,exact_product,1,,
50,Sonogashira,Pyridine acetylene,Ic1ccncc1.C#CC>>C#Cc1ccncc1,Ic1ccncc1.C#CC,C#Cc1ccncc1,,True,reactant_grammar_only,,,HeteroAr–I + R–C≡C–H →,reactant_only,1,,
51,Sonogashira,tert-butyl,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1,Clc1ccc(C#N)cc1.C#CC(C)(C)C,CC(C)(C)C#Cc1ccc(C#N)cc1,,True,exact_product_reconstruction,terminal_alkyne_coupling,sonogashira,Ar–Cl + R–C≡C–H → Ar–C≡C–R,exact_product,1,,
52,Sonogashira,Electron-rich ArBr,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1,Brc1ccc(OC)cc1.C#Cc1ccccc1,COc1ccc(C#Cc2ccccc2)cc1,,True,exact_product_reconstruction,terminal_alkyne_coupling,sonogashira,Ar–Br + R–C≡C–H → Ar–C≡C–R,exact_product,1,,
53,Sonogashira,TMS-acetylene,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>C[Si](C)(C)C#Cc2ccc(C(F)(F)F)cc2,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C,CC(C)(C)[Si]C#Cc1ccc(C(F)(F)F)cc1,,True,exact_product_reconstruction,terminal_alkyne_coupling,sonogashira,Ar–I + R–C≡C–H → Ar–C≡C–R,exact_product,2,,
54,Sonogashira,Thiophene coupling,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1,Brc1cccs1.C#Cc1ccccc1,c1cc(C#Cc2ccccc2)sc1,,True,exact_product_reconstruction,terminal_alkyne_coupling,sonogashira,HeteroAr–Br + R–C≡C–H → HeteroAr–C≡C–R,exact_product,1,,
55,Sonogashira,Ether-substituted alkyne,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1,Clc1ccncc1.C#CCOC,COC(C)C#Cc1ccncc1,,True,reactant_grammar_only,,,HeteroAr–Cl + R–C≡C–H →,reactant_only,1,,
56,Sonogashira,Indole substrate,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1,Brc1ccc2[nH]ccc2c1.C#CC,C#Cc1ccc2[nH]ccc2c1,,True,reactant_grammar_only,,,Ar–Br + R–C≡C–H →,reactant_only,1,,
57,Heck,Simple styrene,Brc1ccccc1.C=C>>C(=Cc1ccccc1),Brc1ccccc1.C=C,C(=Cc1ccccc1),,True,unresolved,,,,unavailable,0,,
58,Heck,Acrylate,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1,Ic1ccc(C=O)cc1.C=CC(=O)OCC,CCOC(=O)/C=C/c1ccc(C=O)cc1,,True,unresolved,,,,unavailable,0,,
59,Heck,Acrylonitrile,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1,Brc1ccncc1.C=CC#N,N#C/C=C/c1ccncc1,,True,unresolved,,,,unavailable,0,,
60,Heck,Methyl acrylate,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1,Brc1ccc(OC)cc1.C=CC(=O)OC,COc1ccc(/C=C/C(=O)OC)cc1,,True,unresolved,,,,unavailable,0,,
61,Heck,Naphthyl iodide,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1),Ic1ccc2ccccc2c1.C=C,C(=Cc1ccc2ccccc2c1),,True,unresolved,,,,unavailable,0,,
62,Heck,Thiophene + acrylamide,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1,Brc1cccs1.C=CC(=O)N,NC(=O)/C=C/c1cccs1,,True,reactant_grammar_only,,,HeteroAr–Br + R–C(O)–NH2 →,reactant_only,1,,
63,Heck,Electron-poor chloride,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1,Clc1ccc(C#N)cc1.C=C,C=Cc1ccc(C#N)cc1,,True,unresolved,,,,unavailable,0,,
64,Negishi,Ph-Ph,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.c1ccc([Zn]Cl)cc1,c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Br + Ar–ZnX → Ar–Ar,exact_product,1,,
65,Negishi,Vinyl pyridine,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1,Ic1ccncc1.C=C[Zn]Br,C=Cc1ccncc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,HeteroAr–I + Alkenyl–ZnX → HeteroAr–Alkenyl,exact_product,1,,
66,Negishi,CF3 substrate,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1,FC(F)(F)c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Br + Ar–ZnX → Ar–Ar,exact_product,1,,
67,Negishi,Alkyl zinc + ArCl,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1,Clc1ccc(C#N)cc1.CC[Zn]Br,CCc1ccc(C#N)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Cl + R–ZnX → Ar–R,exact_product,1,,
68,Kumada,Ph-Ph,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.c1ccc([Mg]Br)cc1,c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Br + Ar–MgX → Ar–Ar,exact_product,1,,
69,Kumada,Vinyl pyridine,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1,Ic1ccncc1.C=C[Mg]Cl,C=Cc1ccncc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,HeteroAr–I + Alkenyl–MgX → HeteroAr–Alkenyl,exact_product,1,,
70,Kumada,Alkyl Grignard,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1,Brc1ccc(OC)cc1.CC[Mg]Br,CCc1ccc(OC)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Br + R–MgX → Ar–R,exact_product,1,,
71,Kumada,Activated ArCl,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1,N#Cc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,,Ar–Cl + Ar–MgX → Ar–Ar,exact_product,1,,
72,Buchwald-Hartwig,Diphenylamine,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,Brc1ccccc1.Nc1ccccc1,c1ccccc1Nc1ccccc1,,True,exact_product_reconstruction,sp2_c_n_substitution,,Ar–Br + Ar–NH2 → Ar–NH–Ar,exact_product,1,,
73,Buchwald-Hartwig,Pyridine ethylamine,Clc1ccncc1.NCC>>CCNc1ccncc1,Clc1ccncc1.NCC,CCNc1ccncc1,,True,exact_product_reconstruction,sp2_c_n_substitution,,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,exact_product,1,,
74,Buchwald-Hartwig amination,Cyclohexylamine,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1,FC(F)(F)c1ccc(NC2CCCCC2)cc1,,True,exact_product_reconstruction,sp2_c_n_substitution,,Ar–Br + R–NH2 → Ar–NH–R,exact_product,1,,
